ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1973,1973-10-07,4,22.119,SDG,@,PIT,L 21-38,,11,21,52.38,174,1,1,76.3,0,0,8.29,7.10,1,11,11.00,0,0,0,,0,0,0
2,1973,1973-10-14,5,22.126,SDG,,OAK,L 17-27,*,12,30,40.00,183,2,1,69.2,0,0,6.10,5.93,3,3,1.00,0,0,0,,0,0,0
3,1973,1973-10-21,6,22.133,SDG,,ATL,L 0-41,*,13,36,36.11,99,0,4,5.1,0,0,2.75,-2.25,0,0,,0,0,0,,0,0,0
4,1973,1973-10-28,7,22.140,SDG,@,CLE,T 16-16,*,8,16,50.00,135,1,1,73.7,0,0,8.44,6.88,1,16,16.00,0,0,0,,0,0,0
5,1973,1973-11-04,8,22.147,SDG,,KAN,L 0-19,*,11,29,37.93,128,0,3,12.5,0,0,4.41,-0.24,1,0,0.00,0,0,0,,0,0,0
6,1973,1973-11-18,10,22.161,SDG,,NOR,W 17-14,,1,4,25.00,1,0,0,39.6,0,0,0.25,0.25,0,0,,0,0,0,,0,0,0
7,1973,1973-11-25,11,22.168,SDG,@,OAK,L 3-31,,4,6,66.67,25,0,0,75.0,0,0,4.17,4.17,0,0,,0,0,0,,0,0,0
8,1973,1973-12-02,12,22.175,SDG,@,NWE,L 14-30,,5,7,71.43,30,0,1,39.9,0,0,4.29,-2.14,0,0,,0,0,0,,0,0,0
9,1973,1973-12-09,13,22.182,SDG,,DEN,L 28-42,*,13,31,41.94,254,2,2,65.8,0,0,8.19,6.58,0,0,,0,0,0,,0,0,0
10,1973,1973-12-16,14,22.189,SDG,@,KAN,L 6-33,*,9,14,64.29,97,0,0,84.5,0,0,6.93,6.93,1,2,2.00,0,0,0,,0,0,0
11,1974,1974-09-15,1,23.097,SDG,@,HOU,L 14-21,*,13,26,50.00,209,1,2,58.0,0,0,8.04,5.35,1,16,16.00,0,0,0,,0,0,0
12,1974,1974-09-22,2,23.104,SDG,@,CIN,W 20-17,*,13,24,54.17,173,0,0,77.3,0,0,7.21,7.21,4,3,0.75,1,0,0,,0,1,6
13,1974,1974-09-29,3,23.111,SDG,,MIA,L 21-28,*,14,22,63.64,189,1,0,106.1,0,0,8.59,9.50,2,2,1.00,0,0,0,,0,0,0
14,1974,1974-10-06,4,23.118,SDG,,PHI,L 7-13,*,13,32,40.63,134,1,3,24.7,0,0,4.19,0.59,0,0,,0,0,0,,0,0,0
15,1974,1974-10-13,5,23.125,SDG,,OAK,L 10-14,*,11,24,45.83,137,0,1,46.7,0,0,5.71,3.83,1,5,5.00,0,0,0,,0,0,0
16,1974,1974-10-20,6,23.132,SDG,@,DEN,L 7-27,*,14,29,48.28,158,0,3,25.4,0,0,5.45,0.79,0,0,,0,0,0,,0,0,0
17,1974,1974-10-27,7,23.139,SDG,,KAN,L 14-24,*,14,27,51.85,221,1,2,60.9,0,0,8.19,5.59,2,5,2.50,0,0,0,,0,0,0
18,1974,1974-11-03,8,23.146,SDG,,CLE,W 36-35,*,12,21,57.14,333,4,1,121.5,0,0,15.86,17.52,7,24,3.43,0,0,0,,0,0,0
19,1974,1974-11-10,9,23.153,SDG,@,KAN,W 14-7,*,1,6,16.67,2,0,0,39.6,0,0,0.33,0.33,1,-1,-1.00,0,0,0,,0,0,0
20,1974,1974-11-17,10,23.160,SDG,@,OAK,L 10-17,*,9,21,42.86,159,0,0,69.3,0,0,7.57,7.57,1,9,9.00,0,0,0,,0,0,0
