ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1951,1951-10-01,1,22.122,PIT,,NYG,T 13-13,,5,7,71.43,33,0,0,81.2,0,0,4.71,4.71,4,15,3.75,0,0,0,,0
2,1951,1951-10-07,2,22.128,PIT,@,GNB,L 33-35,,5,8,62.50,87,1,0,139.1,0,0,10.88,13.38,2,9,4.50,0,2,37,18.50,0
3,1951,1951-10-14,3,22.135,PIT,,SFO,L 24-28,,1,6,16.67,8,0,2,0.0,0,0,1.33,-13.67,1,9,9.00,0,0,0,,0
4,1951,1951-10-28,5,22.149,PIT,@,CRD,W 28-14,,2,4,50.00,41,1,1,86.5,0,0,10.25,4.00,1,3,3.00,0,0,0,,0
5,1951,1951-11-04,6,22.156,PIT,,PHI,L 13-34,,3,11,27.27,30,0,1,1.7,0,0,2.73,-1.36,12,62,5.17,0,0,0,,0
6,1951,1951-11-11,7,22.163,PIT,,GNB,W 28-7,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,5,33,6.60,0,0,0,,0
7,1951,1951-11-18,8,22.170,PIT,,WAS,L 7-22,,3,12,25.00,45,0,0,42.7,0,0,3.75,3.75,5,40,8.00,0,0,0,,0
8,1951,1951-11-25,9,22.177,PIT,@,PHI,W 17-13,,9,17,52.94,108,1,1,67.8,0,0,6.35,4.88,6,28,4.67,0,0,0,,0
9,1951,1951-12-02,10,22.184,PIT,@,NYG,L 0-14,,12,31,38.71,129,0,2,24.8,0,0,4.16,1.26,9,37,4.11,0,0,0,,0
10,1951,1951-12-09,11,22.191,PIT,,CLE,L 0-28,,13,27,48.15,136,0,2,32.3,0,0,5.04,1.70,11,66,6.00,0,0,0,,0
11,1951,1951-12-16,12,22.198,PIT,@,WAS,W 20-10,,3,15,20.00,54,0,4,2.5,0,0,3.60,-8.40,3,25,8.33,0,0,0,,0
12,1952,1952-10-05,2,23.126,DTX,,SFO,L 14-37,,1,5,20.00,-7,0,0,39.6,0,0,-1.40,-1.40,2,-2,-1.00,0,0,0,,0
13,1952,1952-10-12,3,23.133,DTX,@,CHI,L 20-38,*,2,4,50.00,65,0,1,56.2,0,0,16.25,5.00,2,5,2.50,0,0,0,,0
14,1952,1952-10-18,4,23.139,DTX,,GNB,L 14-24,*,2,6,33.33,15,0,0,42.4,0,0,2.50,2.50,4,21,5.25,0,0,0,,0
