ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1979,1979-09-02,1,22.257,NYJ,,CLE,L 22-25,,,,,,,,,
2,1979,1979-09-09,2,22.264,NYJ,@,NWE,L 3-56,,,,,,,,,
3,1979,1979-09-16,3,22.271,NYJ,,DET,W 31-10,,,,,,,,,
4,1979,1979-09-23,4,22.278,NYJ,@,BUF,L 31-46,,,,,,,,,
5,1979,1979-09-30,5,22.285,NYJ,,MIA,W 33-27,,,,,,,,,
6,1979,1979-10-07,6,22.292,NYJ,@,BAL,L 8-10,,,,,,,,,
7,1979,1979-10-15,7,22.300,NYJ,,MIN,W 14-7,,,,,,,,,
8,1979,1979-10-21,8,22.306,NYJ,,OAK,W 28-19,0,0,,0,0,0,1,32,0
9,1979,1979-10-28,9,22.313,NYJ,@,HOU,L 24-27,,,,,,,,,
10,1979,1979-11-04,10,22.320,NYJ,@,GNB,W 27-22,0,0,,0,0,0,1,14,0
11,1979,1979-11-11,11,22.327,NYJ,,BUF,L 12-14,,,,,,,,,
12,1979,1979-11-18,12,22.334,NYJ,@,CHI,L 13-23,,,,,,,,,
13,1979,1979-11-26,13,22.342,NYJ,@,SEA,L 7-30,,,,,,,,,
14,1979,1979-12-02,14,22.348,NYJ,,BAL,W 30-17,,,,,,,,,
15,1979,1979-12-09,15,22.355,NYJ,,NWE,W 27-26,,,,,,,,,
16,1979,1979-12-15,16,22.361,NYJ,@,MIA,W 27-24,,,,,,,,,
17,1981,1981-09-06,1,24.261,NYJ,@,BUF,L 0-31,,,,,,,,,
18,1981,1981-09-13,2,24.268,NYJ,,CIN,L 30-31,,,,,,,,,
19,1981,1981-09-20,3,24.275,NYJ,@,PIT,L 10-38,,,,,,,,,
20,1981,1981-09-27,4,24.282,NYJ,,HOU,W 33-17,0,0,,0,0,0,1,0,0
21,1981,1981-10-04,5,24.289,NYJ,@,MIA,T 28-28,,,,,,,,,
22,1981,1981-10-11,6,24.296,NYJ,,NWE,W 28-24,0,0,,0,0,0,1,67,0
23,1981,1981-10-18,7,24.303,NYJ,,BUF,W 33-14,0,0,,0,0,0,1,9,0
24,1981,1981-10-25,8,24.310,NYJ,,SEA,L 3-19,,,,,,,,,
25,1981,1981-11-01,9,24.317,NYJ,@,NYG,W 26-7,,,,,,,,,
26,1981,1981-11-15,11,24.331,NYJ,@,NWE,W 17-6,,,,,,,,,
27,1981,1981-11-22,12,24.338,NYJ,,MIA,W 16-15,,,,,,,,,
28,1981,1981-11-29,13,24.345,NYJ,,BAL,W 25-0,,,,,,,,,
29,1981,1981-12-20,16,25.001,NYJ,,GNB,W 28-3,,,,,,,,,
30,1982,1982-09-12,1,25.267,NYJ,,MIA,L 28-45,,,,,,,,,
31,1982,1982-09-19,2,25.274,NYJ,@,NWE,W 31-7,,,,,,,,,
32,1982,1982-11-21,3,25.337,NYJ,,BAL,W 37-0,0,0,,0,0,0,1,3,0
33,1982,1982-11-28,4,25.344,NYJ,,GNB,W 15-13,,,,,,,,,
34,1982,1982-12-06,5,25.352,NYJ,@,DET,W 28-13,,,,,,,,,
35,1982,1982-12-12,6,25.358,NYJ,,TAM,W 32-17,,,,,,,,,
36,1982,1982-12-18,7,25.364,NYJ,@,MIA,L 19-20,,,,,,,,,
37,1982,1982-12-26,8,26.007,NYJ,@,MIN,W 42-14,,,,,,,,,
38,1983,1983-09-04,1,26.259,NYJ,@,SDG,W 41-29,0,0,,0,0,0,1,15,0
39,1983,1983-09-11,2,26.266,NYJ,,SEA,L 10-17,,,,,,,,,
40,1983,1983-09-18,3,26.273,NYJ,@,NWE,L 13-23,,,,,,,,,
41,1983,1983-09-25,4,26.280,NYJ,,RAM,W 27-24,,,,,,,,,
42,1983,1983-10-03,5,26.288,NYJ,@,BUF,W 34-10,,,,,,,0,7,0
43,1983,1983-10-09,6,26.294,NYJ,@,CLE,L 7-10,,,,,,,,,
44,1983,1983-10-16,7,26.301,NYJ,,MIA,L 14-32,,,,,,,,,
45,1983,1983-10-23,8,26.308,NYJ,,ATL,L 21-27,,,,,,,,,
46,1983,1983-10-30,9,26.315,NYJ,@,SFO,W 27-13,,,,,,,,,
47,1983,1983-11-06,10,26.322,NYJ,,BAL,L 14-17,,,,,,,,,
48,1983,1983-11-13,11,26.329,NYJ,,BUF,L 17-24,0,0,,0,1,6,1,42,1
49,1983,1983-11-21,12,26.337,NYJ,@,NOR,W 31-28,,,,,,,,,
50,1983,1983-11-27,13,26.343,NYJ,,NWE,W 26-3,,,,,,,,,
51,1983,1983-12-04,14,26.350,NYJ,@,BAL,W 10-6,,,,,,,,,
52,1983,1983-12-10,15,26.356,NYJ,,PIT,L 7-34,0,0,,0,0,0,1,6,0
53,1983,1983-12-16,16,26.362,NYJ,@,MIA,L 14-34,,,,,,,,,
54,1984,1984-09-02,1,27.258,NYJ,@,IND,W 23-14,0,0,,0,0,0,1,0,0
55,1984,1984-09-06,2,27.262,NYJ,,PIT,L 17-23,,,,,,,,,
56,1984,1984-09-16,3,27.272,NYJ,,CIN,W 43-23,0,0,,0,0,0,1,16,0
57,1984,1984-09-23,4,27.279,NYJ,@,BUF,W 28-26,,,,,,,,,
58,1984,1984-09-30,5,27.286,NYJ,,NWE,L 21-28,,,,,,,,,
59,1984,1984-10-07,6,27.293,NYJ,@,KAN,W 17-16,,,,,,,,,
60,1984,1984-10-14,7,27.300,NYJ,@,CLE,W 24-20,,,,,,,,,
61,1984,1984-10-21,8,27.307,NYJ,,KAN,W 28-7,,,,,,,,,
62,1984,1984-10-28,9,27.314,NYJ,@,NWE,L 20-30,,,,,,,,,
63,1984,1984-11-04,10,27.321,NYJ,,MIA,L 17-31,,,,,,,,,
64,1984,1984-11-26,13,27.343,NYJ,@,MIA,L 17-28,,,,,,,,,
65,1984,1984-12-02,14,27.349,NYJ,,NYG,L 10-20,,,,,,,,,
66,1984,1984-12-08,15,27.355,NYJ,,BUF,W 21-17,,,,,,,,,
67,1984,1984-12-16,16,27.363,NYJ,@,TAM,L 21-41,,,,,,,,,
68,1985,1985-09-08,1,28.263,NYJ,@,RAI,L 0-31,,,,,,,,,
69,1985,1985-09-15,2,28.270,NYJ,,BUF,W 42-3,0,0,,0,0,0,1,0,0
70,1985,1985-09-29,4,28.284,NYJ,,IND,W 25-20,,,,,,,,,
71,1985,1985-10-06,5,28.291,NYJ,@,CIN,W 29-20,,,,,,,,,
