ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1963,1963-10-06,4,23.030,DEN,,SDG,W 50-34,0,0,,0,0,0,,0,0,0,1,1,0,0,0,,0
2,1963,1963-12-22,14,23.107,DEN,@,SDG,L 20-58,0,0,,0,0,0,,0,0,0,1,31,0,0,0,,0
3,1964,1964-11-01,8,24.056,DEN,@,KAN,L 39-49,0,0,,0,0,0,,0,1,6,1,22,1,0,0,,0
4,1964,1964-12-13,13,24.098,DEN,,BUF,L 19-30,0,0,,0,0,0,,0,0,0,0,0,0,10,374,37.40,0
5,1966,1966-09-25,4,26.019,BUF,,HOU,W 27-20,0,0,,0,0,0,,0,0,0,1,14,0,0,0,,0
6,1966,1966-10-02,5,26.026,BUF,@,KAN,W 29-14,0,0,,0,0,0,,0,0,0,2,26,0,0,0,,0
7,1966,1966-11-06,9,26.061,BUF,@,MIA,W 29-0,0,0,,0,0,0,,0,0,0,1,6,0,0,0,,0
8,1966,1966-11-20,11,26.075,BUF,@,HOU,W 42-20,0,0,,0,0,0,,0,1,6,2,43,1,0,0,,0
9,1966,1966-12-18,14,26.103,BUF,,DEN,W 38-21,0,0,,0,0,0,,0,1,6,2,47,1,0,0,,0
10,1967,1967-10-15,6,27.039,BUF,,OAK,L 20-24,0,0,,0,0,0,,0,0,0,2,23,0,0,0,,0
11,1967,1967-11-05,8,27.060,BUF,,MIA,W 35-13,0,0,,0,0,0,,0,1,6,1,19,1,0,0,,0
12,1967,1967-11-12,9,27.067,BUF,@,NYJ,L 10-20,0,0,,0,0,0,,0,0,0,1,30,0,0,0,,0
13,1967,1967-11-26,11,27.081,BUF,@,MIA,L 14-17,0,0,,0,0,0,,0,0,0,1,6,0,0,0,,0
14,1967,1967-12-03,12,27.088,BUF,@,KAN,L 13-23,0,0,,0,0,0,,0,0,0,1,46,0,0,0,,0
15,1967,1967-12-09,13,27.094,BUF,@,BOS,W 44-16,0,0,,0,0,0,,0,1,6,3,87,1,0,0,,0
