ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2013,2013-09-08,1,24.030,MIA,@,CLE,W 23-10,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,,0
2,2013,2013-09-15,2,24.037,MIA,@,IND,W 24-20,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,0
3,2013,2013-09-22,3,24.044,MIA,,ATL,W 27-23,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,,0
4,2013,2013-09-30,4,24.052,MIA,@,NOR,L 17-38,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,,0
5,2013,2013-10-06,5,24.058,MIA,,BAL,L 23-26,,2,2,100.0,3,4,75.0,0,11,0.0,1,0,0,0,,0
6,2013,2013-10-20,6,24.072,MIA,,BUF,L 21-23,,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,0,,0
7,2013,2013-10-27,7,24.079,MIA,@,NWE,L 17-27,,2,2,100.0,1,3,33.3,0,5,0.0,0,0,0,0,,0
8,2013,2013-10-31,8,24.083,MIA,,CIN,W 22-20,,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,0,,0
9,2013,2013-11-11,9,24.094,MIA,@,TAM,L 19-22,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,,0
10,2013,2013-11-17,10,24.100,MIA,,SDG,W 20-16,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,,0
11,2013,2013-11-24,11,24.107,MIA,,CAR,L 16-20,,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,0,,0
12,2013,2013-12-01,12,24.114,MIA,@,NYJ,W 23-3,,2,2,100.0,3,4,75.0,0,11,0.0,0,1,0,0,,0
13,2013,2013-12-08,13,24.121,MIA,@,PIT,W 34-28,,4,4,100.0,2,3,66.7,0,10,0.0,0,0,0,0,,0
14,2013,2013-12-15,14,24.128,MIA,,NWE,W 24-20,,3,3,100.0,1,1,100.0,0,6,0.0,1,0,0,0,,0
15,2013,2013-12-22,15,24.135,MIA,@,BUF,L 0-19,,,,,,,,,,,,,,,,
16,2013,2013-12-29,16,24.142,MIA,,NYJ,L 7-20,,1,1,100.0,,,,0,1,0.0,0,0,0,0,,0
17,2014,2014-09-07,1,25.029,MIA,,NWE,W 33-20,,3,3,100.0,4,4,100.0,0,15,0.0,0,0,0,0,,0
18,2014,2014-09-14,2,25.036,MIA,@,BUF,L 10-29,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0
19,2014,2014-09-21,3,25.043,MIA,,KAN,L 15-34,,1,1,100.0,2,3,66.7,0,7,0.0,1,0,0,0,,0
20,2014,2014-09-28,4,25.050,MIA,@,OAK,W 38-14,,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,0,,0
21,2014,2014-10-12,5,25.064,MIA,,GNB,L 24-27,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,0
22,2014,2014-10-19,6,25.071,MIA,@,CHI,W 27-14,,3,3,100.0,2,4,50.0,0,9,0.0,1,0,0,0,,0
23,2014,2014-10-26,7,25.078,MIA,@,JAX,W 27-13,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,,0
24,2014,2014-11-02,8,25.085,MIA,,SDG,W 37-0,,4,4,100.0,3,4,75.0,0,13,0.0,0,0,0,0,,0
25,2014,2014-11-09,9,25.092,MIA,@,DET,L 16-20,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,,0
26,2014,2014-11-13,10,25.096,MIA,,BUF,W 22-9,,2,2,100.0,2,2,100.0,0,8,0.0,1,0,0,0,,0
27,2014,2014-11-23,11,25.106,MIA,@,DEN,L 36-39,,4,4,100.0,,,,0,4,0.0,0,0,0,0,,0
28,2014,2014-12-01,12,25.114,MIA,@,NYJ,W 16-13,,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,0,,0
29,2014,2014-12-07,13,25.120,MIA,,BAL,L 13-28,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,,0
30,2014,2014-12-14,14,25.127,MIA,@,NWE,L 13-41,,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,0,,0
31,2014,2014-12-21,15,25.134,MIA,,MIN,W 37-35,,5,5,100.0,,1,0.0,0,5,0.0,0,0,0,0,,0
32,2014,2014-12-28,16,25.141,MIA,,NYJ,L 24-37,,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,,0
33,2015,2015-10-04,4,26.056,PHI,@,WAS,L 20-23,,2,3,66.7,,1,0.0,0,2,0.0,0,0,0,0,,0
34,2015,2015-10-11,5,26.063,PHI,,NOR,W 39-17,,3,4,75.0,4,4,100.0,0,15,0.0,0,0,0,0,,0
35,2015,2015-10-19,6,26.071,PHI,,NYG,W 27-7,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,,0
36,2015,2015-10-25,7,26.077,PHI,@,CAR,L 16-27,,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,0,,0
37,2015,2015-11-08,8,26.091,PHI,@,DAL,W 33-27,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,,0
38,2015,2015-11-15,9,26.098,PHI,,MIA,L 19-20,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,0,,0
39,2015,2015-11-22,10,26.105,PHI,,TAM,L 17-45,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,,0
