ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1993,1993-11-01,7,22.018,WAS,@,BUF,L 10-24,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
2,1993,1993-11-07,8,22.024,WAS,,IND,W 30-24,,4,4,31,7.75,0,100.0%,7.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
3,1993,1993-11-14,9,22.031,WAS,@,NYG,L 6-20,,6,3,14,4.67,0,50.0%,2.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
4,1993,1993-11-21,10,22.038,WAS,@,RAM,L 6-10,,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
5,1993,1993-11-28,11,22.045,WAS,,PHI,L 14-17,,2,2,34,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
6,1993,1993-12-05,12,22.052,WAS,@,TAM,W 23-17,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,,
7,1993,1993-12-11,13,22.058,WAS,,NYJ,L 0-3,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,,
8,1993,1993-12-19,14,22.066,WAS,,ATL,W 30-17,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,,
9,1993,1993-12-26,15,22.073,WAS,@,DAL,L 3-38,,6,4,16,4.00,0,66.7%,2.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
10,1994,1994-09-04,1,22.325,WAS,,SEA,L 7-28,,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
11,1994,1994-09-11,2,22.332,WAS,@,NOR,W 38-24,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,0,0,,0,,
12,1994,1994-09-18,3,22.339,WAS,@,NYG,L 23-31,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,
13,1994,1994-09-25,4,22.346,WAS,,ATL,L 20-27,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,
14,1994,1994-10-02,5,22.353,WAS,,DAL,L 7-34,,2,1,8,8.00,1,50.0%,4.00,0,0,,0,0,0,,0,0,0,,,,,,1,20,20.00,0,1,6
15,1994,1994-10-09,6,22.360,WAS,@,PHI,L 17-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,43,43.00,0,0,0
16,1994,1994-10-16,7,23.002,WAS,,ARI,L 16-19,,2,1,20,20.00,0,50.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,1,8,8.00,0,0,0
17,1994,1994-10-23,8,23.009,WAS,@,IND,W 41-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,13,13.00,0,0,0
18,1994,1994-11-20,11,23.037,WAS,@,DAL,L 7-31,,4,3,13,4.33,0,75.0%,3.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
19,1995,1995-09-03,1,23.324,HOU,@,JAX,W 10-3,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
20,1995,1995-09-10,2,23.331,HOU,,PIT,L 17-34,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,,,,,0,
21,1995,1995-09-17,3,23.338,HOU,,CLE,L 7-14,,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
22,1995,1995-09-24,4,23.345,HOU,@,CIN,W 38-28,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,,,,,0,
23,1995,1995-10-01,5,23.352,HOU,,JAX,L 16-17,,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
24,1995,1995-10-08,6,23.359,HOU,@,MIN,L 17-23,,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
25,1995,1995-10-22,7,24.008,HOU,@,CHI,L 32-35,,0,0,0,,0,0.0%,,1,1,1.00,1,0,0,,0,0,0,,,,,,0,0,,0,1,6
26,1995,1995-10-29,8,24.015,HOU,,TAM,W 19-7,,4,4,27,6.75,0,100.0%,6.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
27,1995,1995-11-05,9,24.022,HOU,@,CLE,W 37-10,,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
28,1995,1995-11-12,10,24.029,HOU,,CIN,L 25-32,,3,2,39,19.50,0,66.7%,13.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
29,1995,1995-11-19,11,24.036,HOU,@,KAN,L 13-20,,5,5,44,8.80,0,100.0%,8.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
30,1995,1995-11-26,12,24.043,HOU,,DEN,W 42-33,,5,4,51,12.75,0,80.0%,10.20,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
31,1995,1995-12-03,13,24.050,HOU,@,PIT,L 7-21,,5,3,50,16.67,0,60.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
32,1995,1995-12-10,14,24.057,HOU,,DET,L 17-24,,6,5,71,14.20,0,83.3%,11.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
33,1995,1995-12-17,15,24.064,HOU,,NYJ,W 23-6,,4,3,35,11.67,0,75.0%,8.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
