ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring
1,2015,2015-11-08,8,22.146,MIA,@,BUF,L 17-33,,5,41,8.20,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
2,2015,2015-11-15,9,22.153,MIA,@,PHI,W 20-19,,6,48,8.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
3,2015,2015-11-22,10,22.160,MIA,,DAL,L 14-24,,4,13,3.25,0,2,2,23,11.50,0,100.0%,11.50,0,0,,0,,0,0
4,2015,2015-11-29,11,22.167,MIA,@,NYJ,L 20-38,,3,6,2.00,0,6,4,52,13.00,0,66.7%,8.67,0,0,,0,,0,0
5,2015,2015-12-06,12,22.174,MIA,,BAL,W 15-13,,4,12,3.00,0,0,0,0,,0,0.0%,,0,0,,0,1,0,2
6,2015,2015-12-14,13,22.182,MIA,,NYG,L 24-31,,5,15,3.00,0,0,0,0,,0,0.0%,,1,20,20.00,0,,0,0
7,2015,2015-12-20,14,22.188,MIA,@,SDG,L 14-30,,6,27,4.50,1,3,1,15,15.00,0,33.3%,5.00,0,0,,0,,1,6
8,2015,2015-12-27,15,22.195,MIA,,IND,L 12-18,,9,23,2.56,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
9,2015,2016-01-03,16,22.202,MIA,,NWE,W 20-10,,7,2,0.29,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
10,2016,2016-09-18,2,23.095,MIA,@,NWE,L 24-31,,5,14,2.80,0,4,4,31,7.75,0,100.0%,7.75,0,0,,0,,0,0
11,2016,2016-09-25,3,23.102,MIA,,CLE,W 30-24,,7,28,4.00,1,0,0,0,,0,0.0%,,0,0,,0,,1,6
12,2016,2016-09-29,4,23.106,MIA,@,CIN,L 7-22,,6,33,5.50,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,,0,0
13,2016,2016-10-09,5,23.116,MIA,,TEN,L 17-30,*,13,42,3.23,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6
14,2016,2016-10-16,6,23.123,MIA,,PIT,W 30-15,*,25,204,8.16,2,2,1,3,3.00,0,50.0%,1.50,0,0,,0,,2,12
15,2016,2016-10-23,7,23.130,MIA,,BUF,W 28-25,*,28,214,7.64,1,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,1,6
16,2016,2016-11-06,8,23.144,MIA,,NYJ,W 27-23,*,24,111,4.63,1,4,3,19,6.33,0,75.0%,4.75,0,0,,0,,1,6
17,2016,2016-11-13,9,23.151,MIA,@,SDG,W 31-24,*,19,79,4.16,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,0,0
18,2016,2016-11-20,10,23.158,MIA,@,LAR,W 14-10,*,16,77,4.81,0,4,3,7,2.33,0,75.0%,1.75,0,0,,0,,0,0
19,2016,2016-11-27,11,23.165,MIA,,SFO,W 31-24,*,18,45,2.50,1,2,1,11,11.00,0,50.0%,5.50,0,0,,0,,1,6
20,2016,2016-12-04,12,23.172,MIA,@,BAL,L 6-38,*,12,61,5.08,0,7,6,26,4.33,0,85.7%,3.71,0,0,,0,,0,0
21,2016,2016-12-11,13,23.179,MIA,,ARI,W 26-23,*,20,48,2.40,0,3,1,15,15.00,0,33.3%,5.00,0,0,,0,,0,0
22,2016,2016-12-17,14,23.185,MIA,@,NYJ,W 34-13,*,19,51,2.68,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
23,2016,2016-12-24,15,23.192,MIA,@,BUF,W 34-31,*,32,206,6.44,1,1,1,3,3.00,0,100.0%,3.00,0,0,,0,,1,6
24,2016,2017-01-01,16,23.200,MIA,,NWE,L 14-35,*,16,59,3.69,0,3,3,20,6.67,0,100.0%,6.67,0,0,,0,,0,0
25,2017,2017-09-17,1,24.094,MIA,@,LAC,W 19-17,*,28,122,4.36,0,2,2,4,2.00,0,100.0%,2.00,0,0,,0,,0,0
26,2017,2017-09-24,2,24.101,MIA,@,NYJ,L 6-20,*,11,16,1.45,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,,0,0
27,2017,2017-10-01,3,24.108,MIA,,NOR,L 0-20,*,12,46,3.83,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,,0,0
28,2017,2017-10-08,4,24.115,MIA,,TEN,W 16-10,*,25,77,3.08,0,3,2,2,1.00,0,66.7%,0.67,0,0,,0,,0,0
29,2017,2017-10-15,5,24.122,MIA,@,ATL,W 20-17,*,26,130,5.00,0,3,0,0,,0,0.0%,0.00,0,0,,0,,0,0
30,2017,2017-10-22,6,24.129,MIA,,NYJ,W 31-28,*,23,51,2.22,0,4,3,26,8.67,0,75.0%,6.50,0,0,,0,,0,0
31,2017,2017-10-26,7,24.133,MIA,@,BAL,L 0-40,*,13,23,1.77,0,4,4,18,4.50,0,100.0%,4.50,0,0,,0,,0,0
32,2017,2017-11-05,9,24.143,PHI,,DEN,W 51-23,,8,77,9.63,1,0,0,0,,0,0.0%,,0,0,,0,,1,6
33,2017,2017-11-19,10,24.157,PHI,@,DAL,W 37-9,,7,91,13.00,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,,0,0
34,2017,2017-11-26,11,24.164,PHI,,CHI,W 31-3,,5,26,5.20,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,,0,0
35,2017,2017-12-03,12,24.171,PHI,@,SEA,L 10-24,,9,35,3.89,0,4,3,11,3.67,0,75.0%,2.75,0,0,,0,,0,0
36,2017,2017-12-10,13,24.178,PHI,@,LAR,W 43-35,,15,78,5.20,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,,0,0
37,2017,2017-12-17,14,24.185,PHI,@,NYG,W 34-29,,12,49,4.08,0,2,2,40,20.00,0,100.0%,20.00,0,0,,0,,0,0
38,2017,2017-12-25,15,24.193,PHI,,OAK,W 19-10,*,14,52,3.71,0,3,2,21,10.50,1,66.7%,7.00,0,0,,0,,1,6
39,2018,2018-09-06,1,25.083,PHI,,ATL,W 18-12,,15,62,4.13,2,0,0,0,,0,0.0%,,0,0,,0,1,2,14
40,2018,2018-09-16,2,25.093,PHI,@,TAM,L 21-27,*,7,23,3.29,1,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,1,6
