ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2009,2009-09-13,1,22.225,DEN,@,CIN,W 12-7,,,,,,,,,
2,2009,2009-10-04,4,22.246,DEN,,DAL,W 17-10,,2,49,24.50,0,0,0,,0
3,2009,2009-10-11,5,22.253,DEN,,NWE,W 20-17,,1,25,25.00,0,0,0,,0
4,2009,2009-11-09,8,22.282,DEN,,PIT,L 10-28,,2,39,19.50,0,0,0,,0
5,2009,2009-11-15,9,22.288,DEN,@,WAS,L 17-27,,,,,,,,,
6,2009,2009-12-13,13,22.316,DEN,@,IND,L 16-28,,0,0,,0,0,0,,0
7,2009,2009-12-20,14,22.323,DEN,,OAK,L 19-20,,1,23,23.00,0,3,32,10.67,0
8,2009,2009-12-27,15,22.330,DEN,@,PHI,L 27-30,,1,22,22.00,0,0,0,,0
