ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2004,2004-09-12,1,23.298,OAK,@,PIT,L 21-24,,2,1,13,13.00,0,50.0%,6.50,0,0
2,2004,2004-09-19,2,23.305,OAK,,BUF,W 13-10,,0,,,,,0.0%,,,
3,2004,2004-09-26,3,23.312,OAK,,TAM,W 30-20,,3,1,8,8.00,0,33.3%,2.67,0,0
4,2004,2004-10-03,4,23.319,OAK,@,HOU,L 17-30,,4,3,37,12.33,0,75.0%,9.25,0,0
5,2004,2004-10-10,5,23.326,OAK,@,IND,L 14-35,*,4,3,38,12.67,1,75.0%,9.50,1,6
6,2004,2004-10-17,6,23.333,OAK,,DEN,L 3-31,*,2,2,34,17.00,0,100.0%,17.00,0,0
7,2004,2004-10-24,7,23.340,OAK,,NOR,L 26-31,*,2,2,17,8.50,0,100.0%,8.50,0,0
8,2004,2004-10-31,8,23.347,OAK,@,SDG,L 14-42,,1,1,28,28.00,0,100.0%,28.00,0,0
9,2004,2004-11-07,9,23.354,OAK,@,CAR,W 27-24,*,3,,,,,0.0%,,,
10,2005,2005-09-08,1,24.293,OAK,@,NWE,L 20-30,*,4,3,18,6.00,2,75.0%,4.50,2,12
11,2005,2005-09-18,2,24.303,OAK,,KAN,L 17-23,*,,0,0,,0,0.0%,,0,0
12,2005,2005-09-25,3,24.310,OAK,@,PHI,L 20-23,*,9,5,100,20.00,0,55.6%,11.11,0,0
13,2005,2005-10-02,4,24.317,OAK,,DAL,W 19-13,*,3,2,32,16.00,0,66.7%,10.67,0,0
14,2005,2005-10-16,5,24.331,OAK,,SDG,L 14-27,*,6,2,14,7.00,0,33.3%,2.33,0,0
15,2005,2005-10-23,6,24.338,OAK,,BUF,W 38-17,*,0,0,0,,0,0.0%,,0,0
16,2005,2005-10-30,7,24.345,OAK,@,TEN,W 34-25,*,1,0,0,,0,0.0%,0.00,0,0
17,2005,2005-11-06,8,24.352,OAK,@,KAN,L 23-27,*,5,2,26,13.00,0,40.0%,5.20,0,0
18,2005,2005-11-13,9,24.359,OAK,,DEN,L 17-31,,2,1,18,18.00,0,50.0%,9.00,0,0
19,2005,2005-11-20,10,25.001,OAK,@,WAS,W 16-13,*,4,2,15,7.50,0,50.0%,3.75,0,0
20,2005,2005-11-27,11,25.008,OAK,,MIA,L 21-33,*,7,5,50,10.00,0,71.4%,7.14,0,0
21,2005,2005-12-04,12,25.015,OAK,@,SDG,L 10-34,*,3,1,16,16.00,1,33.3%,5.33,1,6
22,2005,2005-12-11,13,25.022,OAK,@,NYJ,L 10-26,*,3,1,14,14.00,0,33.3%,4.67,0,0
23,2005,2005-12-18,14,25.029,OAK,,CLE,L 7-9,*,1,0,0,,0,0.0%,0.00,0,0
24,2006,2006-09-11,1,25.296,OAK,,SDG,L 0-27,*,4,1,9,9.00,0,25.0%,2.25,0,0
25,2006,2006-09-17,2,25.302,OAK,@,BAL,L 6-28,*,3,2,26,13.00,0,66.7%,8.67,0,0
26,2006,2006-10-01,3,25.316,OAK,,CLE,L 21-24,*,2,1,8,8.00,0,50.0%,4.00,0,0
27,2006,2006-10-08,4,25.323,OAK,@,SFO,L 20-34,,2,1,8,8.00,1,50.0%,4.00,1,6
28,2006,2006-10-15,5,25.330,OAK,@,DEN,L 3-13,*,4,3,56,18.67,0,75.0%,14.00,0,0
29,2006,2006-10-22,6,25.337,OAK,,ARI,W 22-9,*,4,3,55,18.33,0,75.0%,13.75,0,0
30,2006,2006-10-29,7,25.344,OAK,,PIT,W 20-13,*,2,0,0,,0,0.0%,0.00,0,0
31,2006,2006-11-06,8,25.352,OAK,@,SEA,L 0-16,*,2,0,0,,0,0.0%,0.00,0,0
32,2006,2006-11-12,9,25.358,OAK,,DEN,L 13-17,,1,0,0,,0,0.0%,0.00,0,0
33,2006,2006-11-19,10,26.000,OAK,@,KAN,L 13-17,*,4,3,15,5.00,1,75.0%,3.75,1,6
34,2006,2006-11-26,11,26.007,OAK,@,SDG,L 14-21,*,,0,0,,0,0.0%,,0,0
35,2006,2006-12-03,12,26.014,OAK,,HOU,L 14-23,,2,2,18,9.00,0,100.0%,9.00,0,0
36,2006,2006-12-10,13,26.021,OAK,@,CIN,L 10-27,*,2,1,12,12.00,0,50.0%,6.00,0,0
37,2006,2006-12-17,14,26.028,OAK,,STL,L 0-20,*,4,4,52,13.00,0,100.0%,13.00,0,0
38,2006,2006-12-23,15,26.034,OAK,,KAN,L 9-20,,7,4,26,6.50,0,57.1%,3.71,0,0
39,2006,2006-12-31,16,26.042,OAK,@,NYJ,L 3-23,,,0,0,,0,0.0%,,0,0
40,2007,2007-10-07,5,26.322,DET,@,WAS,L 3-34,,0,0,0,,0,0.0%,,0,0
41,2007,2007-10-21,6,26.336,DET,,TAM,W 23-16,,,0,0,,0,0.0%,,0,0
42,2007,2007-11-04,8,26.350,DET,,DEN,W 44-7,,,0,0,,0,0.0%,,0,0
43,2007,2007-11-11,9,26.357,DET,@,ARI,L 21-31,,,0,0,,0,0.0%,,0,0
44,2007,2007-11-22,11,27.003,ATL,,IND,L 13-31,,,0,0,,0,0.0%,,0,0
45,2007,2007-12-02,12,27.013,ATL,@,STL,L 16-28,,,0,0,,0,0.0%,,0,0
