ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1963,1963-09-14,1,22.316,STL,@,DAL,W 34-7,0,0,,0,4,4,100.0,2,2,100.0,0,10,0,0,,0
2,1963,1963-09-22,2,22.324,STL,@,PHI,W 28-24,0,0,,0,4,4,100.0,,2,0.0,0,4,0,0,,0
3,1963,1963-09-29,3,22.331,STL,@,PIT,L 10-23,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
4,1963,1963-10-06,4,22.338,STL,@,MIN,W 56-14,0,0,,0,8,8,100.0,,1,0.0,0,8,0,0,,0
5,1963,1963-10-13,5,22.345,STL,,PIT,W 24-23,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
6,1963,1963-10-20,6,22.352,STL,,GNB,L 7-30,0,0,,0,1,1,100.0,,1,0.0,0,1,0,0,,0
7,1963,1963-10-27,7,22.359,STL,@,WAS,W 21-7,0,0,,0,3,3,100.0,,,,0,3,,,,
8,1963,1963-11-03,8,23.001,STL,,NYG,L 21-38,0,0,,0,3,3,100.0,,,,0,3,,,,
9,1963,1963-11-10,9,23.008,STL,,WAS,W 24-20,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
10,1963,1963-11-17,10,23.015,STL,@,CLE,W 20-14,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
11,1963,1963-11-24,11,23.022,STL,@,NYG,W 24-17,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
12,1963,1963-12-01,12,23.029,STL,,CLE,L 10-24,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
13,1963,1963-12-08,13,23.036,STL,,PHI,W 38-14,0,0,,0,5,5,100.0,1,2,50.0,0,8,0,0,,0
14,1963,1963-12-15,14,23.043,STL,,DAL,L 24-28,0,0,,0,3,3,100.0,1,4,25.0,0,6,0,0,,0
15,1964,1964-09-12,1,23.315,STL,@,DAL,W 16-6,0,0,,0,1,1,100.0,3,5,60.0,0,10,0,0,,0
16,1964,1964-09-20,2,23.323,STL,@,CLE,T 33-33,0,0,,0,3,3,100.0,4,4,100.0,0,15,0,0,,0
17,1964,1964-09-27,3,23.330,STL,@,SFO,W 23-13,0,0,,0,2,2,100.0,3,4,75.0,0,11,0,0,,0
