ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,23.327,MIA,,NYJ,L 14-20,,,,,,,0.0%,,,,,,,,
2,2008,2008-10-05,4,23.355,MIA,,SDG,W 17-10,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
3,2008,2008-10-12,5,23.362,MIA,@,HOU,L 28-29,,,,,,,0.0%,,,,,,,,
4,2008,2008-10-19,6,24.003,MIA,,BAL,L 13-27,,,,,,,0.0%,,,,,,,,
5,2008,2008-10-26,7,24.010,MIA,,BUF,W 25-16,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0.0,0,0
6,2008,2008-11-02,8,24.017,MIA,@,DEN,W 26-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
7,2008,2008-11-09,9,24.024,MIA,,SEA,W 21-19,*,,,,,,0.0%,,,,,,,,
8,2008,2008-11-16,10,24.031,MIA,,OAK,W 17-15,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1
9,2008,2008-11-23,11,24.038,MIA,,NWE,L 28-48,,,,,,,0.0%,,,,,,,,
10,2008,2008-11-30,12,24.045,MIA,@,STL,W 16-12,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0.0,0,0
11,2008,2008-12-07,13,24.052,MIA,@,BUF,W 16-3,,0,0,0,,0,0.0%,,1,17,17.00,0,0.0,0,0
12,2008,2008-12-14,14,24.059,MIA,,SFO,W 14-9,,0,,,,,0.0%,,,,,,,,
13,2008,2008-12-21,15,24.066,MIA,@,KAN,W 38-31,,1,0,0,,0,0.0%,0.00,1,11,11.00,0,0.0,0,0
14,2008,2008-12-28,16,24.073,MIA,@,NYJ,W 24-17,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0.0,0,0
