ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,sacks,def_int,def_int_yds,def_int_td
1,1979,1979-09-02,1,23.278,RAM,,OAK,L 17-24,,,,,,,,
2,1979,1979-09-06,2,23.282,RAM,@,DEN,W 13-9,,,,,,,,
3,1979,1979-09-16,3,23.292,RAM,,SFO,W 27-24,,,,,,,,
4,1979,1979-09-23,4,23.299,RAM,@,TAM,L 6-21,,,,,,,,
5,1979,1979-09-30,5,23.306,RAM,,STL,W 21-0,,,,,,,,
6,1979,1979-10-07,6,23.313,RAM,@,NOR,W 35-17,,,,,,,,
7,1979,1979-10-14,7,23.320,RAM,@,DAL,L 6-30,,,,,,,,
8,1979,1979-10-21,8,23.327,RAM,,SDG,L 16-40,,,,,,,,
9,1979,1979-10-28,9,23.334,RAM,,NYG,L 14-20,1,2,2.00,0,0.0,0,0,0
10,1979,1979-11-04,10,23.341,RAM,@,SEA,W 24-0,,,,,,,,
11,1979,1979-11-11,11,23.348,RAM,@,CHI,L 23-27,,,,,,,,
12,1979,1979-11-19,12,23.356,RAM,,ATL,W 20-14,,,,,,,,
13,1979,1979-11-25,13,23.362,RAM,@,SFO,W 26-20,,,,,,,,
14,1979,1979-12-02,14,24.004,RAM,,MIN,W 27-21,,,,,,,,
15,1979,1979-12-09,15,24.011,RAM,@,ATL,W 34-13,,,,,,,,
16,1979,1979-12-16,16,24.018,RAM,,NOR,L 14-29,,,,,,,,
17,1980,1980-09-28,4,24.305,RAM,@,NYG,W 28-7,,,,,,,,
18,1980,1980-10-05,5,24.312,RAM,,SFO,W 48-26,,,,,,,,
19,1980,1980-10-12,6,24.319,RAM,@,STL,W 21-13,,,,,,,,
20,1980,1980-10-19,7,24.326,RAM,@,SFO,W 31-17,,,,,,,,
21,1980,1980-10-26,8,24.333,RAM,@,ATL,L 10-13,,,,,,,,
22,1980,1980-11-02,9,24.340,RAM,,NOR,W 45-31,,,,,,,,
23,1980,1980-11-09,10,24.347,RAM,,MIA,L 14-35,,,,,,,,
24,1980,1980-11-16,11,24.354,RAM,@,NWE,W 17-14,,,,,,,,
25,1980,1980-11-24,12,24.362,RAM,@,NOR,W 27-7,,,,,,,,
26,1980,1980-11-30,13,25.002,RAM,,NYJ,W 38-13,,,,,,,,
27,1980,1980-12-07,14,25.009,RAM,@,BUF,L 7-10,,,,,,,,
28,1980,1980-12-15,15,25.017,RAM,,DAL,W 38-14,,,,,,,,
29,1980,1980-12-21,16,25.023,RAM,,ATL,W 20-17,,,,,,,,
30,1981,1981-09-06,1,25.282,RAM,,HOU,L 20-27,,,,,,,,
31,1981,1981-09-13,2,25.289,RAM,@,NOR,L 17-23,,,,,,,,
32,1981,1981-09-20,3,25.296,RAM,,GNB,W 35-23,,,,,,,,
33,1981,1981-09-28,4,25.304,RAM,@,CHI,W 24-7,,,,,,,,
34,1981,1981-10-11,6,25.317,RAM,@,ATL,W 37-35,,,,,,,,
35,1981,1981-10-18,7,25.324,RAM,@,DAL,L 17-29,,,,,,,,
36,1981,1981-10-25,8,25.331,RAM,@,SFO,L 17-20,,,,,,,,
37,1981,1981-11-01,9,25.338,RAM,,DET,W 20-13,,,,,,,,
38,1981,1981-11-08,10,25.345,RAM,,NOR,L 13-21,,,,,,,,
