ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1993,1993-09-26,4,24.098,CLE,@,IND,L 10-23,,,,,,,,,,,
2,1993,1993-10-10,5,24.112,CLE,,MIA,L 14-24,,,,,,,,,,,
3,1993,1993-11-07,8,24.140,CLE,,DEN,L 14-29,,,,,,,,,,,
4,1993,1993-11-14,9,24.147,CLE,@,SEA,L 5-22,,,,,,,,,,,
5,1993,1993-11-21,10,24.154,CLE,,HOU,L 20-27,,,,,,,,,,,
6,1993,1993-11-28,11,24.161,CLE,@,ATL,L 14-17,,,,,,,,,,,
7,1993,1993-12-05,12,24.168,CLE,,NOR,W 17-13,,,,,,,,,,,
8,1993,1993-12-12,13,24.175,CLE,@,HOU,L 17-19,,,,,,,,,,,
9,1993,1993-12-19,14,24.182,CLE,,NWE,L 17-20,,,,,,,,,,,
10,1993,1993-12-26,15,24.189,CLE,@,RAM,W 42-14,,,,,,,,,,,
11,1993,1994-01-02,16,24.196,CLE,@,PIT,L 9-16,,,,,,,,,,,
12,1994,1994-09-04,1,25.076,CLE,@,CIN,W 28-20,,,,,,,,,,,
13,1994,1994-09-11,2,25.083,CLE,,PIT,L 10-17,,,,,,,,,,,
14,1994,1994-09-18,3,25.090,CLE,,ARI,W 32-0,,,,,,,,,,,
15,1994,1994-09-25,4,25.097,CLE,@,IND,W 21-14,,,,,,,,,,,
16,1994,1994-10-02,5,25.104,CLE,,NYJ,W 27-7,,,,,,,,,,,
17,1994,1994-10-13,6,25.115,CLE,@,HOU,W 11-8,,,,,,,,,,,
18,1994,1994-10-23,7,25.125,CLE,,CIN,W 37-13,,,,,,,,,,,
19,1994,1994-10-30,8,25.132,CLE,@,DEN,L 14-26,,,,,,,,,,,
20,1994,1994-11-06,9,25.139,CLE,,NWE,W 13-6,,,,,,,,,,,
21,1994,1994-11-13,10,25.146,CLE,@,PHI,W 26-7,,,,,,,,,,,
22,1994,1994-11-20,11,25.153,CLE,@,KAN,L 13-20,,,,,,,,,,,
23,1994,1994-11-27,12,25.160,CLE,,HOU,W 34-10,,0,0,,0,0,0,1.0,0,0,0
24,1994,1994-12-04,13,25.167,CLE,,NYG,L 13-16,,,,,,,,,,,
25,1994,1994-12-10,14,25.173,CLE,@,DAL,W 19-14,,,,,,,,,,,
26,1994,1994-12-18,15,25.181,CLE,@,PIT,L 7-17,,,,,,,,,,,
27,1994,1994-12-24,16,25.187,CLE,,SEA,W 35-9,,,,,,,,,,,
28,1995,1995-09-03,1,26.075,CLE,@,NWE,L 14-17,,0,0,,0,,,,,,
29,1995,1995-09-10,2,26.082,CLE,,TAM,W 22-6,,0,0,,0,,,,,,
30,1995,1995-09-17,3,26.089,CLE,@,HOU,W 14-7,,0,0,,0,,,,,,
31,1995,1995-09-24,4,26.096,CLE,,KAN,W 35-17,,0,0,,0,1,6,0.0,1,18,1
32,1995,1995-10-02,5,26.104,CLE,,BUF,L 19-22,,0,0,,0,,,,,,
33,1995,1995-10-08,6,26.110,CLE,@,DET,L 20-38,,0,0,,0,,,,,,
34,1995,1995-10-22,7,26.124,CLE,,JAX,L 15-23,,0,0,,0,,,,,,
35,1995,1995-10-29,8,26.131,CLE,@,CIN,W 29-26,,0,0,,0,0,0,0.0,1,30,0
36,1995,1995-11-05,9,26.138,CLE,,HOU,L 10-37,,1,10,10.00,0,0,0,0.0,0,0,0
37,1995,1995-11-13,10,26.146,CLE,@,PIT,L 3-20,,0,0,,0,,,,,,
38,1995,1995-11-19,11,26.152,CLE,,GNB,L 20-31,,0,0,,0,,,,,,
39,1995,1995-11-26,12,26.159,CLE,,PIT,L 17-20,,0,0,,0,,,,,,
40,1995,1995-12-03,13,26.166,CLE,@,SDG,L 13-31,,0,0,,0,,,,,,
41,1995,1995-12-09,14,26.172,CLE,@,MIN,L 11-27,,0,0,,0,,,,,,
42,1995,1995-12-17,15,26.180,CLE,,CIN,W 26-10,,0,0,,0,,,,,,
43,1995,1995-12-24,16,26.187,CLE,@,JAX,L 21-24,,0,0,,0,,,,,,
44,1996,1996-09-01,1,27.073,CIN,@,STL,L 16-26,,,,,,,,,,,
45,1996,1996-09-08,2,27.080,CIN,@,SDG,L 14-27,,,,,,,,,,,
46,1996,1996-09-15,3,27.087,CIN,,NOR,W 30-15,,,,,,,,,,,
47,1996,1996-09-29,4,27.101,CIN,,DEN,L 10-14,,,,,,,,,,,
48,1996,1996-10-06,5,27.108,CIN,,HOU,L 27-30,,,,,,,,,,,
49,1996,1996-10-13,6,27.115,CIN,@,PIT,L 10-20,,,,,,,,,,,
50,1996,1996-10-20,7,27.122,CIN,@,SFO,L 21-28,,,,,,,,,,,
51,1996,1996-10-27,8,27.129,CIN,,JAX,W 28-21,,,,,,,,,,,
52,1996,1996-11-03,9,27.136,SDG,@,IND,W 26-19,,,,,,,,,,,
53,1996,1996-11-10,10,27.143,CIN,,PIT,W 34-24,,,,,,,,,,,
54,1996,1996-11-17,11,27.150,CIN,@,BUF,L 17-31,,,,,,,,,,,
55,1996,1996-11-24,12,27.157,CIN,,ATL,W 41-31,,,,,,,,,,,
56,1996,1996-12-01,13,27.164,CIN,@,JAX,L 27-30,,,,,,,,,,,
57,1996,1996-12-15,15,27.178,CIN,@,HOU,W 21-13,,,,,,,,,,,
58,1996,1996-12-22,16,27.185,CIN,,IND,W 31-24,,0,0,,0,0,0,0.0,1,10,0
59,1997,1997-08-31,1,28.072,CIN,,ARI,W 24-21,,,,,,,,,,,
60,1997,1997-09-07,2,28.079,NWE,@,IND,W 31-6,,,,,,,,,,,
61,1997,1997-09-21,3,28.093,CIN,@,DEN,L 20-38,,0,0,,0,0,0,1.0,0,0,0
62,1997,1997-10-05,5,28.107,CIN,@,JAX,L 13-21,,0,0,,0,0,0,1.0,0,0,0
63,1997,1997-10-12,6,28.114,CIN,@,TEN,L 7-30,,,,,,,,,,,
64,1997,1997-10-19,7,28.121,CIN,,PIT,L 10-26,,,,,,,,,,,
65,1997,1997-10-26,8,28.128,CIN,@,NYG,L 27-29,,,,,,,,,,,
66,1997,1997-11-02,9,28.135,CIN,,SDG,W 38-31,,0,0,,0,0,0,2.0,0,0,0
67,1997,1997-11-09,10,28.142,CIN,@,IND,W 28-13,,,,,,,,,,,
68,1997,1997-11-16,11,28.149,CIN,@,PIT,L 3-20,,,,,,,,,,,
69,1997,1997-11-23,12,28.156,CIN,,JAX,W 31-26,,,,,,,,,,,
70,1997,1997-11-30,13,28.163,CIN,@,PHI,L 42-44,,,,,,,,,,,
