ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1991,1991-09-01,1,23.191,DEN,,CIN,W 45-14,0,0,,0,,,,,,,,,,,,,,,,,,,,
2,1991,1991-09-08,2,23.198,DEN,@,RAI,L 13-16,0,0,,0,,,,,,,,,,,,,,,,,,,,
3,1991,1991-09-15,3,23.205,DEN,,SEA,W 16-10,0,0,,0,,,,,,,,,,,,,,,,,,,,
4,1991,1991-09-22,4,23.212,DEN,,SDG,W 27-19,1,3,3.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
5,1991,1991-09-29,5,23.219,DEN,@,MIN,W 13-6,0,0,,0,,,,,,,,,,,,,,,,,,,,
6,1991,1991-10-06,6,23.226,DEN,@,HOU,L 14-42,0,0,,0,,,,,,,,,,,,,,,,,,,,
7,1991,1991-10-20,7,23.240,DEN,,KAN,W 19-16,0,0,,0,,,,,,,,,,,,,,,,,,,,
8,1991,1991-10-27,8,23.247,DEN,@,NWE,W 9-6,0,0,,0,,,,,,,,,,,,,,,,,,,,
9,1991,1991-11-03,9,23.254,DEN,,PIT,W 20-13,0,0,,0,,,,,,,,,,,,,,,,,,,,
10,1991,1991-11-10,10,23.261,DEN,,RAI,L 16-17,0,0,,0,,,,,,,,,,,,,,,,,,,,
11,1991,1991-11-17,11,23.268,DEN,@,KAN,W 24-20,0,0,,0,,,,,,,,,,,,,,,,,,,,
12,1991,1991-11-24,12,23.275,DEN,@,SEA,L 10-13,0,0,,0,,,,,,,,,,,,,,,,,,,,
13,1991,1991-12-01,13,23.282,DEN,,NWE,W 20-3,0,0,,0,,,,,,,,,,,,,,,,,,,,
14,1991,1991-12-08,14,23.289,DEN,@,CLE,W 17-7,0,0,,0,,,,,,,,,,,,,,,,,,,,
15,1991,1991-12-15,15,23.296,DEN,,PHO,W 24-19,1,2,2.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
16,1991,1991-12-22,16,23.303,DEN,@,SDG,W 17-14,0,0,,0,,,,,,,,,,,,,,,,,,,,
17,1992,1992-09-06,1,24.197,DEN,,RAI,W 17-13,1,1,1.00,1,1,1,24,24.00,0,100.0%,24.00,0,0,,0,0,0,,,,,,1,6
18,1992,1992-09-13,2,24.204,DEN,,SDG,W 21-13,4,21,5.25,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
19,1992,1992-09-20,3,24.211,DEN,@,PHI,L 0-30,2,0,0.00,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
20,1992,1992-09-27,4,24.218,DEN,@,CLE,W 12-0,8,66,8.25,0,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,,,,,0,0
21,1992,1992-10-04,5,24.225,DEN,,KAN,W 20-19,6,34,5.67,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,,,,,0,0
22,1992,1992-10-12,6,24.233,DEN,@,WAS,L 3-34,4,5,1.25,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0
23,1992,1992-10-18,7,24.239,DEN,,HOU,W 27-21,1,20,20.00,1,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,,,,,1,6
24,1992,1992-10-25,8,24.246,DEN,@,SDG,L 21-24,3,12,4.00,0,11,9,76,8.44,0,81.8%,6.91,0,0,,0,0,0,,,,,,0,0
25,1992,1992-11-08,9,24.260,DEN,,NYJ,W 27-16,7,27,3.86,0,3,3,13,4.33,0,100.0%,4.33,0,0,,0,0,0,,,,,,0,0
26,1992,1992-11-15,10,24.267,DEN,,NYG,W 27-13,5,6,1.20,1,6,5,70,14.00,0,83.3%,11.67,0,0,,0,0,0,,,,,,1,6
27,1992,1992-11-22,11,24.274,DEN,@,RAI,L 0-24,5,8,1.60,0,6,5,46,9.20,0,83.3%,7.67,0,0,,0,0,0,,,,,,0,0
28,1992,1992-11-30,12,24.282,DEN,@,SEA,L 13-16,9,12,1.33,0,5,1,16,16.00,0,20.0%,3.20,0,0,,0,0,0,,,,,,0,0
29,1992,1992-12-06,13,24.288,DEN,,DAL,L 27-31,3,8,2.67,0,8,4,38,9.50,1,50.0%,4.75,0,0,,0,0,0,,,,,,1,6
30,1992,1992-12-12,14,24.294,DEN,@,BUF,L 17-27,8,21,2.63,0,6,2,22,11.00,0,33.3%,3.67,0,0,,0,0,0,,,,,,0,0
31,1992,1992-12-20,15,24.302,DEN,,SEA,W 10-6,4,17,4.25,0,7,7,51,7.29,0,100.0%,7.29,0,0,,0,0,0,,,,,,0,0
32,1992,1992-12-27,16,24.309,DEN,@,KAN,L 20-42,4,24,6.00,0,2,2,38,19.00,0,100.0%,19.00,0,0,,0,0,0,,,,,,0,0
33,1993,1993-09-05,1,25.195,DEN,@,NYJ,W 26-20,1,0,0.00,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,0,0
34,1993,1993-09-12,2,25.202,DEN,,SDG,W 34-17,2,3,1.50,0,3,2,24,12.00,1,66.7%,8.00,0,0,,0,0,0,,,,,,1,6
35,1993,1993-09-20,3,25.210,DEN,@,KAN,L 7-15,0,0,,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,,,,,0,0
36,1993,1993-10-03,4,25.223,DEN,,IND,W 35-13,1,4,4.00,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
37,1993,1993-10-10,5,25.230,DEN,@,GNB,L 27-30,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,
38,1993,1993-10-18,6,25.238,DEN,,RAI,L 20-23,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,
39,1993,1993-10-31,7,25.251,DEN,,SEA,W 28-17,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,
40,1993,1993-11-07,8,25.258,DEN,@,CLE,W 29-14,3,7,2.33,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
41,1993,1993-11-14,9,25.265,DEN,,MIN,L 23-26,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,
42,1993,1993-11-21,10,25.272,DEN,,PIT,W 37-13,1,3,3.00,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
43,1993,1993-11-28,11,25.279,DEN,@,SEA,W 17-9,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,
44,1993,1993-12-05,12,25.286,DEN,@,SDG,L 10-13,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,
45,1993,1993-12-12,13,25.293,DEN,,KAN,W 27-21,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,
46,1993,1993-12-18,14,25.299,DEN,@,CHI,W 13-3,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,
47,1993,1993-12-26,15,25.307,DEN,,TAM,L 10-17,4,27,6.75,1,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,6
48,1993,1994-01-02,16,25.314,DEN,@,RAI,L 30-33,3,6,2.00,0,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,,,,,,0,0
49,1994,1994-09-04,1,26.194,DEN,,SDG,L 34-37,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,
50,1994,1994-09-11,2,26.201,DEN,@,NYJ,L 22-25,1,0,0.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0
51,1994,1994-09-18,3,26.208,DEN,,RAI,L 16-48,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,
52,1994,1994-09-26,4,26.216,DEN,@,BUF,L 20-27,0,0,,0,5,4,37,9.25,0,80.0%,7.40,0,0,,0,0,0,,0,,,,0,0
53,1994,1994-10-09,5,26.229,DEN,@,SEA,W 16-9,10,24,2.40,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0
54,1994,1994-10-17,6,26.237,DEN,,KAN,L 28-31,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,
55,1994,1994-10-23,7,26.243,DEN,@,SDG,W 20-15,4,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0
56,1994,1994-10-30,8,26.250,DEN,,CLE,W 26-14,6,20,3.33,0,3,3,27,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,,,0,0
57,1994,1994-11-06,9,26.257,DEN,@,RAM,L 21-27,1,2,2.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0
58,1994,1994-11-13,10,26.264,DEN,,SEA,W 17-10,2,-4,-2.00,0,3,3,19,6.33,0,100.0%,6.33,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
59,1994,1994-11-20,11,26.271,DEN,,ATL,W 32-28,1,1,1.00,1,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,,,,1,6
60,1994,1994-11-27,12,26.278,DEN,,CIN,W 15-13,2,12,6.00,0,2,2,3,1.50,0,100.0%,1.50,0,0,,0,0,0,,0,,,,0,0
61,1994,1994-12-04,13,26.285,DEN,@,KAN,W 20-17,7,25,3.57,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,1,6
62,1994,1994-12-11,14,26.292,DEN,@,RAI,L 13-23,6,-4,-0.67,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,,,0,0
63,1994,1994-12-17,15,26.298,DEN,@,SFO,L 19-42,2,6,3.00,0,3,2,5,2.50,0,66.7%,1.67,0,0,,0,0,0,,0,,,,0,0
64,1994,1994-12-24,16,26.305,DEN,,NOR,L 28-30,1,1,1.00,0,4,4,25,6.25,0,100.0%,6.25,0,0,,0,0,0,,0,,,,0,0
