ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-26,3,23.218,IND,@,DEN,W 27-13,,6,3,27,9.00,1,50.0%,4.50,0,0,,0,1,6,0.0,0,0
2,2010,2010-10-03,4,23.225,IND,@,JAX,L 28-31,,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,0.0,1,0
3,2010,2010-10-10,5,23.232,IND,,KAN,W 19-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
4,2010,2010-10-17,6,23.239,IND,@,WAS,W 27-24,,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,0.0,0,0
5,2010,2010-11-01,7,23.254,IND,,HOU,W 30-17,,0,0,0,,0,0.0%,,3,40,13.33,0,0,0,0.0,0,0
6,2010,2010-11-07,8,23.260,IND,@,PHI,L 24-26,,5,3,42,14.00,0,60.0%,8.40,0,0,,0,0,0,0.0,1,0
7,2010,2010-11-21,10,23.274,IND,@,NWE,L 28-31,,7,5,42,8.40,2,71.4%,6.00,0,0,,0,2,12,0.0,1,0
8,2010,2010-11-28,11,23.281,IND,,SDG,L 14-36,*,6,4,34,8.50,1,66.7%,5.67,0,0,,0,1,6,0.0,0,0
9,2010,2010-12-05,12,23.288,IND,,DAL,L 35-38,*,6,4,32,8.00,0,66.7%,5.33,2,22,11.00,0,0,0,0.0,0,0
10,2010,2010-12-09,13,23.292,IND,@,TEN,W 30-28,*,8,7,52,7.43,0,87.5%,6.50,1,0,0.00,0,0,0,0.0,0,0
11,2010,2010-12-19,14,23.302,IND,,JAX,W 34-24,,2,1,16,16.00,0,50.0%,8.00,1,3,3.00,0,0,0,0.0,0,0
12,2010,2010-12-26,15,23.309,IND,@,OAK,W 31-26,,5,2,20,10.00,1,40.0%,4.00,3,15,5.00,0,1,6,0.0,0,0
13,2010,2011-01-02,16,23.316,IND,,TEN,W 23-20,*,7,4,51,12.75,0,57.1%,7.29,0,0,,0,0,0,0.0,0,0
14,2011,2011-09-18,2,24.210,IND,,CLE,L 19-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
15,2011,2011-09-25,3,24.217,IND,,PIT,L 20-23,,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,0.0,0,0
16,2011,2011-10-03,4,24.225,IND,@,TAM,L 17-24,,0,0,0,,0,0.0%,,2,0,0.00,0,0,0,0.0,0,0
17,2011,2011-10-09,5,24.231,IND,,KAN,L 24-28,,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,0.0,0,0
18,2011,2011-10-16,6,24.238,IND,@,CIN,L 17-27,,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,0.0,0,0
19,2011,2011-10-23,7,24.245,IND,@,NOR,L 7-62,,0,0,0,,0,0.0%,,1,13,13.00,0,0,0,0.0,0,0
20,2011,2011-10-30,8,24.252,IND,@,TEN,L 10-27,,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,0.0,0,0
