ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,def_int,def_int_yds,def_int_td
1,2002,2002-10-20,7,22.221,BUF,@,MIA,W 23-10,,,,
2,2002,2002-10-27,8,22.228,BUF,,DET,W 24-17,,,,
3,2002,2002-11-03,9,22.235,BUF,,NWE,L 7-38,*,,,
4,2002,2002-11-17,10,22.249,BUF,@,KAN,L 16-17,,,,
5,2002,2002-12-22,15,22.284,BUF,@,GNB,L 0-10,,,,
6,2002,2002-12-29,16,22.291,BUF,,CIN,W 27-9,*,1,13,0
