ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1969,1969-11-09,8,22.091,CLE,@,MIN,L 3-51,2,33,16.50,0,0,0,,0
2,1970,1970-09-21,1,23.042,CLE,,NYJ,W 31-21,,,,,,,,
3,1970,1970-09-27,2,23.048,CLE,@,SFO,L 31-34,,,,,,,,
4,1970,1970-10-03,3,23.054,CLE,,PIT,W 15-7,,,,,,,,
5,1970,1970-10-11,4,23.062,CLE,,CIN,W 30-27,,,,,,,,
6,1970,1970-10-18,5,23.069,CLE,,DET,L 24-41,,,,,,,,
7,1970,1970-10-25,6,23.076,CLE,@,MIA,W 28-0,,,,,,,,
8,1970,1970-11-01,7,23.083,CLE,,SDG,L 10-27,,,,,,,,
9,1970,1970-11-08,8,23.090,CLE,@,OAK,L 20-23,,,,,,,,
10,1970,1970-11-15,9,23.097,CLE,@,CIN,L 10-14,,,,,,,,
11,1970,1970-11-22,10,23.104,CLE,,HOU,W 28-14,,,,,,,,
12,1970,1970-11-29,11,23.111,CLE,@,PIT,L 9-28,,,,,,,,
13,1970,1970-12-07,12,23.119,CLE,@,HOU,W 21-10,,,,,,,,
14,1970,1970-12-12,13,23.124,CLE,,DAL,L 2-6,,,,,,,,
15,1970,1970-12-20,14,23.132,CLE,@,DEN,W 27-13,,,,,,,,
16,1971,1971-09-19,1,24.040,CLE,,HOU,W 31-0,,,,,,,,
17,1971,1971-09-26,2,24.047,CLE,@,BAL,W 14-13,0,0,,0,2,20,10.00,0
18,1971,1971-10-04,3,24.055,CLE,,OAK,L 20-34,0,0,,0,1,0,0.00,0
19,1971,1971-10-10,4,24.061,CLE,,PIT,W 27-17,0,0,,0,2,8,4.00,0
20,1971,1971-10-17,5,24.068,CLE,@,CIN,W 27-24,,,,,,,,
21,1971,1971-10-24,6,24.075,CLE,,DEN,L 0-27,,,,,,,,
22,1971,1971-10-31,7,24.082,CLE,,ATL,L 14-31,,,,,,,,
23,1971,1971-11-07,8,24.089,CLE,@,PIT,L 9-26,0,0,,0,2,20,10.00,0
24,1971,1971-11-14,9,24.096,CLE,@,KAN,L 7-13,,,,,,,,
25,1971,1971-11-21,10,24.103,CLE,,NWE,W 27-7,,,,,,,,
26,1971,1971-11-28,11,24.110,CLE,@,HOU,W 37-24,4,66,16.50,0,0,0,,0
27,1971,1971-12-05,12,24.117,CLE,,CIN,W 31-27,,,,,,,,
28,1971,1971-12-12,13,24.124,CLE,@,NOR,W 21-17,0,0,,0,2,15,7.50,0
29,1971,1971-12-19,14,24.131,CLE,@,WAS,W 20-13,,,,,,,,
