ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1995,1995-09-03,1,25.134,WAS,,ARI,W 27-7,1,0,0,,0,0.0%,0.00,,
2,1995,1995-09-10,2,25.141,WAS,,OAK,L 8-20,1,1,3,3.00,0,100.0%,3.00,0,0
3,1995,1995-09-17,3,25.148,WAS,@,DEN,L 31-38,3,3,31,10.33,0,100.0%,10.33,0,0
4,1995,1995-09-24,4,25.155,WAS,@,TAM,L 6-14,6,2,32,16.00,0,33.3%,5.33,0,0
5,1995,1995-10-01,5,25.162,WAS,,DAL,W 27-23,1,0,0,,0,0.0%,0.00,,
6,1995,1995-10-08,6,25.169,WAS,@,PHI,L 34-37,2,1,5,5.00,0,50.0%,2.50,0,0
7,1995,1995-10-15,7,25.176,WAS,@,ARI,L 20-24,3,3,42,14.00,1,100.0%,14.00,1,6
8,1995,1995-10-22,8,25.183,WAS,,DET,W 36-30,2,1,12,12.00,0,50.0%,6.00,0,0
9,1995,1995-10-29,9,25.190,WAS,,NYG,L 15-24,3,2,17,8.50,0,66.7%,5.67,0,0
10,1995,1995-11-05,10,25.197,WAS,@,KAN,L 3-24,3,1,24,24.00,0,33.3%,8.00,0,0
11,1995,1995-12-03,13,25.225,WAS,@,DAL,W 24-17,,0,0,,0,0.0%,,,
