ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1985,1985-09-08,1,23.304,NOR,,KAN,L 27-47,,2,31,15.50,0,,,0,0,,0,4,121,30.25,0,0,0,,0,0,0
2,1985,1985-09-15,2,23.311,NOR,@,DEN,L 23-34,,2,19,9.50,0,,,0,0,,0,1,16,16.00,0,0,0,,0,0,0
3,1985,1985-09-22,3,23.318,NOR,,TAM,W 20-13,,4,53,13.25,0,,,0,0,,0,1,51,51.00,0,3,27,9.00,0,0,0
4,1985,1985-09-29,4,23.325,NOR,@,SFO,W 20-17,,2,25,12.50,0,,,0,0,,0,1,19,19.00,0,3,26,8.67,0,0,0
5,1985,1985-10-06,5,23.332,NOR,,PHI,W 23-21,,3,49,16.33,0,,,0,0,,0,3,54,18.00,0,1,0,0.00,0,0,0
6,1985,1985-10-13,6,23.339,NOR,@,RAI,L 13-23,,1,9,9.00,0,,,1,11,11.00,0,2,37,18.50,0,1,0,0.00,0,0,0
7,1985,1985-10-20,7,23.346,NOR,@,ATL,L 24-31,,3,82,27.33,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
8,1985,1985-10-27,8,23.353,NOR,,NYG,L 13-21,,2,31,15.50,1,,,0,0,,0,0,0,,0,0,0,,0,1,6
9,1985,1985-11-03,9,23.360,NOR,@,RAM,L 10-28,,4,54,13.50,1,,,1,-12,-12.00,0,0,0,,0,0,0,,0,1,6
10,1985,1985-11-10,10,24.002,NOR,,SEA,L 3-27,,2,27,13.50,0,,,0,0,,0,2,38,19.00,0,0,0,,0,0,0
11,1985,1985-11-17,11,24.009,NOR,@,GNB,L 14-38,,3,41,13.67,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
12,1985,1985-11-24,12,24.016,NOR,@,MIN,W 30-23,,2,14,7.00,0,,,0,0,,0,1,48,48.00,0,0,0,,0,0,0
13,1985,1985-12-01,13,24.023,NOR,,RAM,W 29-3,,2,53,26.50,1,,,0,0,,0,0,0,,0,0,0,,0,1,6
14,1985,1985-12-08,14,24.030,NOR,@,STL,L 16-28,,1,7,7.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
