ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-12,1,23.003,PHI,,GNB,L 20-27,,,,,,,0.0%,,,,,,,,,,,,,,,
2,2010,2010-09-19,2,23.010,PHI,@,DET,W 35-32,,3,1,20,20.00,0,33.3%,6.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
3,2010,2010-09-26,3,23.017,PHI,@,JAX,W 28-3,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
4,2010,2010-10-03,4,23.024,PHI,,WAS,L 12-17,,,,,,,0.0%,,,,,,,,,,,,,,,
5,2010,2010-10-24,7,23.045,PHI,@,TEN,L 19-37,*,6,3,51,17.00,1,50.0%,8.50,0,0,,0,0,0,,0,,1,6,0.0,0,0
6,2010,2010-11-07,8,23.059,PHI,,IND,W 26-24,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
7,2010,2010-11-15,9,23.067,PHI,@,WAS,W 59-28,,1,,,,,0.0%,,,,,,,,,,,,,,,
8,2010,2010-11-21,10,23.073,PHI,,NYG,W 27-17,,,,,,,0.0%,,,,,,,,,,,,,,,
9,2010,2010-11-28,11,23.080,PHI,@,CHI,L 26-31,,2,1,29,29.00,0,50.0%,14.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
10,2010,2010-12-12,13,23.094,PHI,@,DAL,W 30-27,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
11,2010,2010-12-19,14,23.101,PHI,@,NYG,W 38-31,,,0,0,,0,0.0%,,0,0,,0,0,9,,0,,0,0,0.0,0,0
12,2010,2010-12-28,15,23.110,PHI,,MIN,L 14-24,,0,,,,,0.0%,,,,,,,,,,,,,,,
13,2010,2011-01-02,16,23.115,PHI,,DAL,L 13-14,*,4,1,5,5.00,0,25.0%,1.25,0,0,,0,0,0,,0,,0,0,0.0,0,0
14,2011,2011-09-11,1,24.002,PHI,@,STL,W 31-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
15,2011,2011-09-18,2,24.009,PHI,@,ATL,L 31-35,,,,,,,0.0%,,,,,,,,,,,,,,,
16,2011,2011-09-25,3,24.016,PHI,,NYG,L 16-29,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
17,2011,2011-10-02,4,24.023,PHI,,SFO,L 23-24,,,,,,,0.0%,,,,,,,,,,,,,,,
18,2011,2011-10-09,5,24.030,PHI,@,BUF,L 24-31,,0,0,0,,0,0.0%,,0,0,,0,1,16,16.00,0,,0,0,0.0,0,1
19,2011,2011-10-16,6,24.037,PHI,@,WAS,W 20-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
20,2011,2011-10-30,7,24.051,PHI,,DAL,W 34-7,,,,,,,0.0%,,,,,,,,,,,,,,,
21,2011,2011-11-07,8,24.059,PHI,,CHI,L 24-30,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
22,2011,2011-11-13,9,24.065,PHI,,ARI,L 17-21,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
23,2011,2011-11-20,10,24.072,PHI,@,NYG,W 17-10,*,12,5,75,15.00,1,41.7%,6.25,0,0,,0,0,0,,0,,1,6,0.0,0,0
24,2011,2011-11-27,11,24.079,PHI,,NWE,L 20-38,*,5,3,71,23.67,0,60.0%,14.20,0,0,,0,0,0,,0,,0,0,0.0,0,0
25,2011,2011-12-01,12,24.083,PHI,@,SEA,L 14-31,*,10,5,94,18.80,0,50.0%,9.40,0,0,,0,0,0,,0,,0,0,0.0,0,0
26,2011,2011-12-11,13,24.093,PHI,@,MIA,W 26-10,,3,1,29,29.00,0,33.3%,9.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
27,2011,2011-12-18,14,24.100,PHI,,NYJ,W 45-19,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
28,2011,2011-12-24,15,24.106,PHI,@,DAL,W 20-7,,1,1,28,28.00,0,100.0%,28.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
29,2011,2012-01-01,16,24.114,PHI,,WAS,W 34-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
30,2012,2012-10-14,6,25.035,PHI,,DET,L 23-26,,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
31,2012,2012-10-28,7,25.049,PHI,,ATL,L 17-30,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
32,2012,2012-11-05,8,25.057,PHI,@,NOR,L 13-28,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
33,2012,2012-11-11,9,25.063,PHI,,DAL,L 23-38,,3,2,24,12.00,1,66.7%,8.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
34,2012,2012-11-18,10,25.070,PHI,@,WAS,L 6-31,,8,5,61,12.20,0,62.5%,7.63,0,0,,0,1,14,14.00,0,,0,0,0.0,0,0
35,2012,2012-11-26,11,25.078,PHI,,CAR,L 22-30,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
36,2012,2012-12-02,12,25.084,PHI,@,DAL,L 33-38,*,5,2,31,15.50,1,40.0%,6.20,0,0,,0,0,0,,0,,1,6,0.0,0,0
37,2012,2012-12-09,13,25.091,PHI,@,TAM,W 23-21,*,9,4,37,9.25,0,44.4%,4.11,0,0,,0,0,0,,0,,0,0,0.0,0,0
38,2012,2012-12-13,14,25.095,PHI,,CIN,L 13-34,*,7,3,20,6.67,1,42.9%,2.86,0,0,,0,0,0,,0,,1,6,0.0,0,0
39,2012,2012-12-23,15,25.105,PHI,,WAS,L 20-27,*,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
40,2012,2012-12-30,16,25.112,PHI,@,NYG,L 7-42,*,6,3,32,10.67,0,50.0%,5.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
41,2013,2013-09-09,1,26.000,PHI,@,WAS,W 33-27,*,6,2,14,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
42,2013,2013-09-15,2,26.006,PHI,,SDG,L 30-33,*,4,2,25,12.50,1,50.0%,6.25,0,0,,0,0,0,,0,,1,6,0.0,0,0
43,2013,2013-09-19,3,26.010,PHI,,KAN,L 16-26,*,7,2,29,14.50,0,28.6%,4.14,0,0,,0,0,0,,0,,0,0,0.0,0,0
44,2013,2013-09-29,4,26.020,PHI,@,DEN,L 20-52,*,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
45,2013,2013-10-06,5,26.027,PHI,@,NYG,W 36-21,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
46,2013,2013-10-13,6,26.034,PHI,@,TAM,W 31-20,*,6,4,120,30.00,1,66.7%,20.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
47,2013,2013-10-20,7,26.041,PHI,,DAL,L 3-17,*,7,6,88,14.67,0,85.7%,12.57,0,0,,0,0,0,,0,,0,0,0.0,0,0
48,2013,2013-10-27,8,26.048,PHI,,NYG,L 7-15,*,5,2,13,6.50,0,40.0%,2.60,0,0,,0,0,0,,0,,0,0,0.0,0,0
49,2013,2013-11-03,9,26.055,PHI,@,OAK,W 49-20,*,6,5,139,27.80,3,83.3%,23.17,0,18,,0,0,0,,0,,3,18,0.0,0,0
50,2013,2013-11-10,10,26.062,PHI,@,GNB,W 27-13,*,5,3,102,34.00,2,60.0%,20.40,0,0,,0,0,0,,0,,2,12,0.0,0,0
51,2013,2013-11-17,11,26.069,PHI,,WAS,W 24-16,*,7,3,37,12.33,0,42.9%,5.29,0,0,,0,0,0,,0,,0,0,0.0,0,0
52,2013,2013-12-01,12,26.083,PHI,,ARI,W 24-21,*,6,3,48,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
53,2013,2013-12-08,13,26.090,PHI,,DET,W 34-20,*,9,3,74,24.67,0,33.3%,8.22,0,0,,0,0,0,,0,1,0,2,0.0,0,0
54,2013,2013-12-15,14,26.097,PHI,@,MIN,L 30-48,*,7,4,29,7.25,0,57.1%,4.14,0,0,,0,0,0,,0,1,0,2,0.0,1,0
55,2013,2013-12-22,15,26.104,PHI,,CHI,W 54-11,,3,3,53,17.67,1,100.0%,17.67,0,0,,0,1,-4,-4.00,0,,1,6,0.0,0,0
56,2013,2013-12-29,16,26.111,PHI,@,DAL,W 24-22,*,3,3,39,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
57,2014,2014-09-07,1,26.363,PHI,,JAX,W 34-17,*,8,4,29,7.25,0,50.0%,3.63,0,0,,0,0,0,,0,,0,0,0.0,0,0
58,2014,2014-09-15,2,27.006,PHI,@,IND,W 30-27,*,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
59,2014,2014-09-21,3,27.012,PHI,,WAS,W 37-34,*,7,4,34,8.50,0,57.1%,4.86,0,0,,0,0,0,,0,,0,0,0.0,0,0
60,2014,2014-09-28,4,27.019,PHI,@,SFO,L 21-26,*,8,6,54,9.00,0,75.0%,6.75,0,0,,0,0,0,,0,,0,0,0.0,1,0
61,2014,2014-10-05,5,27.026,PHI,,STL,W 34-28,*,5,4,33,8.25,1,80.0%,6.60,0,0,,0,0,0,,0,,1,6,0.0,0,0
62,2014,2014-10-12,6,27.033,PHI,,NYG,W 27-0,*,7,5,59,11.80,0,71.4%,8.43,0,0,,0,0,0,,0,,0,0,0.0,0,0
63,2014,2014-10-26,7,27.047,PHI,@,ARI,L 20-24,*,9,5,88,17.60,0,55.6%,9.78,0,0,,0,0,0,,0,,0,0,0.0,0,0
64,2014,2014-11-02,8,27.054,PHI,@,HOU,W 31-21,*,6,2,26,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,,0,0,0.0,1,0
65,2014,2014-11-10,9,27.062,PHI,,CAR,W 45-21,*,4,1,6,6.00,0,25.0%,1.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
66,2014,2014-11-16,10,27.068,PHI,@,GNB,L 20-53,*,6,4,39,9.75,0,66.7%,6.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
67,2014,2014-11-23,11,27.075,PHI,,TEN,W 43-24,*,6,3,49,16.33,0,50.0%,8.17,0,0,,0,0,0,,0,,0,0,0.0,1,0
68,2014,2014-11-27,12,27.079,PHI,@,DAL,W 33-10,*,7,4,32,8.00,0,57.1%,4.57,0,0,,0,0,0,,0,,0,0,0.0,0,0
69,2014,2014-12-07,13,27.089,PHI,,SEA,L 14-24,*,5,3,13,4.33,0,60.0%,2.60,0,0,,0,0,0,,0,,0,0,0.0,1,0
70,2014,2014-12-14,14,27.096,PHI,,DAL,L 27-38,*,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,,0,0,0.0,0,0
71,2014,2014-12-20,15,27.102,PHI,@,WAS,L 24-27,*,7,5,53,10.60,2,71.4%,7.57,0,0,,0,0,0,,0,,2,12,0.0,0,0
72,2014,2014-12-28,16,27.110,PHI,@,NYG,W 34-26,*,3,2,37,18.50,0,66.7%,12.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
73,2015,2015-09-14,1,28.005,PHI,@,ATL,L 24-26,*,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,,0,,0,0,0.0,0,0
74,2015,2015-09-20,2,28.011,PHI,,DAL,L 10-20,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
75,2015,2015-09-27,3,28.018,PHI,@,NYJ,W 24-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
76,2015,2015-10-04,4,28.025,PHI,@,WAS,L 20-23,*,3,2,72,36.00,1,66.7%,24.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
77,2015,2015-10-11,5,28.032,PHI,,NOR,W 39-17,*,8,3,32,10.67,0,37.5%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
78,2015,2015-10-19,6,28.040,PHI,,NYG,W 27-7,*,6,3,76,25.33,1,50.0%,12.67,0,0,,0,1,12,12.00,0,,1,6,0.0,0,0
79,2015,2015-10-25,7,28.046,PHI,@,CAR,L 16-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
80,2015,2015-11-08,8,28.060,PHI,@,DAL,W 33-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
81,2015,2015-11-15,9,28.067,PHI,,MIA,L 19-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
82,2015,2015-11-22,10,28.074,PHI,,TAM,L 17-45,,3,2,42,21.00,0,66.7%,14.00,0,0,,0,1,16,16.00,0,,0,0,0.0,0,0
83,2015,2015-11-26,11,28.078,PHI,@,DET,L 14-45,*,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
84,2015,2015-12-06,12,28.088,PHI,@,NWE,W 35-28,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
85,2015,2015-12-13,13,28.095,PHI,,BUF,W 23-20,*,6,3,28,9.33,0,50.0%,4.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
86,2015,2015-12-20,14,28.102,PHI,,ARI,L 17-40,*,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
87,2015,2015-12-26,15,28.108,PHI,,WAS,L 24-38,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
88,2015,2016-01-03,16,28.116,PHI,@,NYG,W 35-30,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
