ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,22.268,PHI,@,CLE,W 17-16,,,,,,,,,,,0.0%,,,,,,,,,,
2,2012,2012-09-16,2,22.275,PHI,,BAL,W 24-23,,,,,,,,,,,0.0%,,,,,,,,,,
3,2012,2012-09-23,3,22.282,PHI,@,ARI,L 6-27,,,,,,,,,,,0.0%,,,,,,,,,,
4,2012,2012-09-30,4,22.289,PHI,,NYG,W 19-17,,,,,,,,,,,0.0%,,,,,,,,,,
5,2012,2012-10-14,6,22.303,PHI,,DET,L 23-26,,,,,,,,,,,0.0%,,,,,,,,,,
6,2012,2012-10-28,7,22.317,PHI,,ATL,L 17-30,,0,0,,0,,0,0,,0,0.0%,,1,0,0.00,0,0,0,0.0,0,0
7,2012,2012-11-05,8,22.325,PHI,@,NOR,L 13-28,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
8,2013,2013-09-09,1,23.267,PHI,@,WAS,W 33-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
9,2013,2013-09-15,2,23.273,PHI,,SDG,L 30-33,,,,,,,,,,,0.0%,,,,,,,,,,
10,2013,2013-09-19,3,23.277,PHI,,KAN,L 16-26,,,,,,,,,,,0.0%,,,,,,,,,,
11,2013,2013-09-29,4,23.287,PHI,@,DEN,L 20-52,,3,33,11.00,1,2,2,19,9.50,0,100.0%,9.50,0,0,,0,1,6,0.0,0,0
12,2013,2013-10-06,5,23.294,PHI,@,NYG,W 36-21,,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
13,2013,2013-10-13,6,23.301,PHI,@,TAM,W 31-20,,,,,,,,,,,0.0%,,,,,,,,,,
14,2013,2013-10-27,8,23.315,PHI,,NYG,L 7-15,,,,,,,,,,,0.0%,,,,,,,,,,
15,2013,2013-11-03,9,23.322,PHI,@,OAK,W 49-20,,,,,,,,,,,0.0%,,,,,,,,,,
16,2013,2013-11-10,10,23.329,PHI,@,GNB,W 27-13,,,,,,,,,,,0.0%,,,,,,,,,,
17,2013,2013-11-17,11,23.336,PHI,,WAS,W 24-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
18,2013,2013-12-01,12,23.350,PHI,,ARI,W 24-21,,,,,,,,,,,0.0%,,,,,,,,,,
19,2013,2013-12-08,13,23.357,PHI,,DET,W 34-20,,4,50,12.50,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,0,0
20,2013,2013-12-15,14,23.364,PHI,@,MIN,L 30-48,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,1
21,2013,2013-12-22,15,24.006,PHI,,CHI,W 54-11,,2,12,6.00,1,1,1,8,8.00,0,100.0%,8.00,1,8,8.00,0,1,6,0.0,1,0
22,2013,2013-12-29,16,24.013,PHI,@,DAL,W 24-22,,0,0,,0,1,1,34,34.00,0,100.0%,34.00,0,0,,0,0,0,0.0,0,0
23,2014,2014-09-15,2,24.273,PHI,@,IND,W 30-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
24,2014,2014-09-21,3,24.279,PHI,,WAS,W 37-34,,0,0,,0,0,0,0,,0,0.0%,,2,137,68.50,1,0,6,0.0,1,0
25,2014,2014-09-28,4,24.286,PHI,@,SFO,L 21-26,,0,0,,0,0,0,0,,0,0.0%,,3,65,21.67,0,0,0,0.0,1,1
26,2014,2014-10-05,5,24.293,PHI,,STL,W 34-28,,,,,,,,,,,0.0%,,,,,,,,,,
27,2014,2014-10-26,7,24.314,PHI,@,ARI,L 20-24,,3,13,4.33,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,0.0,1,0
28,2014,2014-11-02,8,24.321,PHI,@,HOU,W 31-21,,8,50,6.25,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,0,0
29,2014,2014-11-10,9,24.329,PHI,,CAR,W 45-21,,5,11,2.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
