ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1990,1990-09-09,1,24.183,RAM,@,GNB,L 24-36,0,0,,0,5,239,47.80,0
2,1990,1990-09-16,2,24.190,RAM,@,TAM,W 35-14,0,0,,0,3,115,38.33,0
3,1990,1990-09-23,3,24.197,RAM,,PHI,L 21-27,0,0,,0,4,142,35.50,0
4,1990,1990-10-07,4,24.211,RAM,,CIN,L 31-34,0,0,,0,6,252,42.00,0
5,1990,1990-10-14,5,24.218,RAM,@,CHI,L 9-38,0,0,,0,4,152,38.00,0
6,1990,1990-10-21,6,24.225,RAM,,ATL,W 44-24,1,-8,-8.00,0,2,90,45.00,0
7,1990,1990-10-29,7,24.233,RAM,@,PIT,L 10-41,1,-11,-11.00,0,5,198,39.60,0
8,1990,1990-11-04,8,24.239,RAM,,HOU,W 17-13,0,0,,0,2,72,36.00,1
9,1990,1990-11-11,9,24.246,RAM,,NYG,L 7-31,0,0,,0,5,201,40.20,0
10,1990,1990-11-18,10,24.253,RAM,,DAL,L 21-24,0,0,,0,7,296,42.29,0
11,1990,1990-11-25,11,24.260,RAM,@,SFO,W 28-17,0,0,,0,7,261,37.29,0
12,1990,1990-12-02,12,24.267,RAM,@,CLE,W 38-23,0,0,,0,1,26,26.00,0
13,1990,1990-12-09,13,24.274,RAM,,NOR,L 20-24,0,0,,0,3,103,34.33,0
14,1990,1990-12-17,14,24.282,RAM,,SFO,L 10-26,0,0,,0,4,115,28.75,0
15,1990,1990-12-23,15,24.288,RAM,@,ATL,L 13-20,0,0,,0,4,165,41.25,0
16,1990,1990-12-31,16,24.296,RAM,@,NOR,L 17-20,0,0,,0,6,236,39.33,0
