ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,def_int,def_int_yds,def_int_td
1,1987,1987-10-04,3,25.294,TAM,@,DET,W 31-27,1,6,2,17,1
2,1987,1987-10-11,4,25.301,TAM,,SDG,L 13-17,,,,,
3,1987,1987-10-18,5,25.308,TAM,,MIN,W 20-10,0,0,1,0,0
4,1987,1987-10-25,6,25.315,TAM,,CHI,L 26-27,,,,,
5,1987,1987-11-01,7,25.322,TAM,@,GNB,W 23-17,,,,,
6,1987,1987-11-08,8,25.329,TAM,@,STL,L 28-31,,,,,
7,1987,1987-11-15,9,25.336,TAM,@,MIN,L 17-23,,,,,
8,1987,1987-11-22,10,25.343,TAM,,SFO,L 10-24,,,,,
9,1987,1987-11-29,11,25.350,TAM,@,RAM,L 3-35,,,,,
10,1987,1987-12-06,12,25.357,TAM,@,NOR,L 34-44,,,,,
11,1987,1987-12-13,13,25.364,TAM,,DET,L 10-20,,,,,
12,1987,1987-12-20,14,26.006,TAM,,STL,L 14-31,,,,,
13,1987,1987-12-27,15,26.013,TAM,@,IND,L 6-24,,,,,
