ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2003,2003-09-22,3,23.056,OAK,@,DEN,L 10-31,,,,,,,,,,,,,,,
2,2004,2004-10-17,6,24.081,OAK,,DEN,L 3-31,,,,,,,,,,,,,,,
3,2004,2004-10-24,7,24.088,OAK,,NOR,L 26-31,,,,,,,,,,,,,,,
4,2004,2004-10-31,8,24.095,OAK,@,SDG,L 14-42,,,,,,,,,,,,,,,
5,2004,2004-11-07,9,24.102,OAK,@,CAR,W 27-24,,,,,,,,,,,,,,,
6,2004,2004-11-21,10,24.116,OAK,,SDG,L 17-23,*,,,,,,,,,,,,,,
7,2004,2004-11-28,11,24.123,OAK,@,DEN,W 25-24,,,,,,,,,,,,,,,
8,2004,2004-12-05,12,24.130,OAK,,KAN,L 27-34,*,,,,,,,,,,,,,,
9,2004,2004-12-12,13,24.137,OAK,@,ATL,L 10-35,*,,,,,,,,,,,,,,
10,2004,2004-12-19,14,24.144,OAK,,TEN,W 40-35,*,,,,,,,,,,,,,,
11,2006,2006-09-11,1,26.045,OAK,,SDG,L 0-27,*,,,,,,,,,,,,,,
12,2006,2006-10-01,3,26.065,OAK,,CLE,L 21-24,*,,,,,,,,,,,,,,
13,2006,2006-10-08,4,26.072,OAK,@,SFO,L 20-34,,,,,,,,,,,,,,,
14,2006,2006-10-15,5,26.079,OAK,@,DEN,L 3-13,*,,,,,,,,,,,,,,
15,2006,2006-10-22,6,26.086,OAK,,ARI,W 22-9,,,,,,,,,,,,,,,
16,2006,2006-10-29,7,26.093,OAK,,PIT,W 20-13,*,,,,,,,,,,,,,,
17,2006,2006-11-06,8,26.101,OAK,@,SEA,L 0-16,*,0,0,,0,0,0,,0,1.0,,,0,0,0
18,2006,2006-11-12,9,26.107,OAK,,DEN,L 13-17,*,,,,,,,,,,,,,,
19,2006,2006-11-19,10,26.114,OAK,@,KAN,L 13-17,*,,,,,,,,,,,,,,
20,2006,2006-11-26,11,26.121,OAK,@,SDG,L 14-21,*,,,,,,,,,,,,,,
21,2006,2006-12-03,12,26.128,OAK,,HOU,L 14-23,*,,,,,,,,,,,,,,
22,2006,2006-12-10,13,26.135,OAK,@,CIN,L 10-27,*,,,,,,,,,,,,,,
23,2006,2006-12-17,14,26.142,OAK,,STL,L 0-20,*,,,,,,,,,,,,,,
24,2006,2006-12-23,15,26.148,OAK,,KAN,L 9-20,*,,,,,,,,,,,,,,
25,2006,2006-12-31,16,26.156,OAK,@,NYJ,L 3-23,,,,,,,,,,,,,,,
26,2007,2007-09-09,1,27.043,OAK,,DET,L 21-36,*,,,,,,,,,,,,,,
27,2007,2007-09-16,2,27.050,OAK,@,DEN,L 20-23,*,,,,,,,,,,,,,,
28,2007,2007-09-23,3,27.057,OAK,,CLE,W 26-24,*,,,,,,,,,,,,,,
29,2007,2007-09-30,4,27.064,OAK,@,MIA,W 35-17,*,,,,,,,,,,,,,,
30,2007,2007-11-18,10,27.113,OAK,@,MIN,L 22-29,,,,,,,,,,,,,,,
31,2007,2007-11-25,11,27.120,OAK,@,KAN,W 20-17,,,,,,,,,,,,,,,
32,2007,2007-12-02,12,27.127,OAK,,DEN,W 34-20,,,,,,,,,,,,,,,
