ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2010,2010-09-19,2,23.329,KAN,@,CLE,W 16-14,,0,0,,0,0,0,,0
2,2010,2010-09-26,3,23.336,KAN,,SFO,W 31-10,,,,,,,,,
3,2010,2010-10-17,5,23.357,KAN,@,HOU,L 31-35,,0,0,,0,0,0,,0
4,2011,2011-09-25,3,24.335,KAN,@,SDG,L 17-20,,,,,,,,,
5,2011,2011-10-02,4,24.342,KAN,,MIN,W 22-17,,,,,,,,,
6,2011,2011-10-09,5,24.349,KAN,@,IND,W 28-24,,,,,,,,,
7,2011,2011-11-21,10,25.027,KAN,@,NWE,L 3-34,,1,5,5.00,0,1,24,24.00,0
8,2011,2011-11-27,11,25.033,KAN,,PIT,L 9-13,,0,0,,0,1,20,20.00,0
9,2011,2011-12-04,12,25.040,KAN,@,CHI,W 10-3,,0,0,,0,0,0,,0
10,2011,2011-12-18,14,25.054,KAN,,GNB,W 19-14,,0,0,,0,0,0,,0
11,2011,2011-12-24,15,25.060,KAN,,OAK,L 13-16,,,,,,,,,
12,2011,2012-01-01,16,25.068,KAN,@,DEN,W 7-3,,,,,,,,,
