ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-10-27,8,22.259,DEN,,WAS,W 45-21,,4,22,5.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
2,2013,2013-11-10,9,22.273,DEN,@,SDG,W 28-20,,,,,,,,,,,0.0%,,,,,,,
3,2013,2013-11-17,10,22.280,DEN,,KAN,W 27-17,,,,,,,,,,,0.0%,,,,,,,
4,2013,2013-11-24,11,22.287,DEN,@,NWE,L 31-34,,3,16,5.33,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
5,2013,2013-12-08,13,22.301,DEN,,TEN,W 51-28,,,,,,,,,,,0.0%,,,,,,,
6,2014,2014-09-07,1,23.209,DEN,,IND,W 31-24,,4,27,6.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
7,2014,2014-09-14,2,23.216,DEN,,KAN,W 24-17,,5,31,6.20,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
8,2014,2014-09-21,3,23.223,DEN,@,SEA,L 20-26,,2,-3,-1.50,0,1,1,1,1.00,0,100.0%,1.00,,0,0,0.0,0,0
9,2014,2014-10-12,5,23.244,DEN,@,NYJ,W 31-17,,,,,,,,,,,0.0%,,,,,,,
10,2014,2014-10-19,6,23.251,DEN,,SFO,W 42-17,,2,9,4.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
11,2014,2014-10-23,7,23.255,DEN,,SDG,W 35-21,,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
12,2014,2014-11-02,8,23.265,DEN,@,NWE,L 21-43,,3,18,6.00,0,4,3,33,11.00,0,75.0%,8.25,,0,0,0.0,0,0
13,2014,2014-11-09,9,23.272,DEN,@,OAK,W 41-17,,13,90,6.92,0,7,4,73,18.25,1,57.1%,10.43,,1,6,0.0,0,0
14,2014,2014-11-16,10,23.279,DEN,@,STL,L 7-22,*,9,29,3.22,0,10,8,86,10.75,0,80.0%,8.60,,0,0,0.0,1,0
15,2014,2014-11-23,11,23.286,DEN,,MIA,W 39-36,*,27,167,6.19,1,4,4,28,7.00,0,100.0%,7.00,,1,6,0.0,0,0
16,2014,2014-11-30,12,23.293,DEN,@,KAN,W 29-16,*,32,168,5.25,0,3,2,17,8.50,1,66.7%,5.67,,1,6,0.0,0,0
17,2014,2014-12-07,13,23.300,DEN,,BUF,W 24-17,*,21,58,2.76,3,0,0,0,,0,0.0%,,,3,18,0.0,0,0
18,2014,2014-12-14,14,23.307,DEN,@,SDG,W 22-10,*,29,85,2.93,0,2,2,11,5.50,0,100.0%,5.50,,0,0,0.0,0,0
19,2014,2014-12-22,15,23.315,DEN,@,CIN,L 28-37,*,18,83,4.61,1,10,8,55,6.88,0,80.0%,5.50,,1,6,0.0,0,0
20,2014,2014-12-28,16,23.321,DEN,,OAK,W 47-14,*,13,87,6.69,3,3,2,20,10.00,0,66.7%,6.67,,3,18,0.0,0,0
21,2015,2015-09-13,1,24.215,DEN,,BAL,W 19-13,*,12,29,2.42,0,8,4,19,4.75,0,50.0%,2.38,,0,0,0.0,0,0
22,2015,2015-09-17,2,24.219,DEN,@,KAN,W 31-24,*,12,27,2.25,0,1,1,2,2.00,0,100.0%,2.00,,0,0,0.0,0,0
23,2015,2015-09-27,3,24.229,DEN,@,DET,W 24-12,*,8,18,2.25,0,1,1,9,9.00,0,100.0%,9.00,,0,0,0.0,0,0
24,2015,2015-10-04,4,24.236,DEN,,MIN,W 23-20,*,11,43,3.91,0,1,1,27,27.00,0,100.0%,27.00,,0,0,0.0,0,0
25,2015,2015-10-11,5,24.243,DEN,@,OAK,W 16-10,,11,22,2.00,0,2,2,18,9.00,0,100.0%,9.00,,0,0,0.0,0,0
26,2015,2015-10-18,6,24.250,DEN,@,CLE,W 26-23,*,13,41,3.15,0,4,4,25,6.25,0,100.0%,6.25,,0,0,0.0,0,0
27,2015,2015-11-01,7,24.264,DEN,,GNB,W 29-10,,14,101,7.21,1,1,1,5,5.00,0,100.0%,5.00,,1,6,0.0,0,0
28,2015,2015-11-08,8,24.271,DEN,@,IND,L 24-27,,7,34,4.86,0,2,1,4,4.00,0,50.0%,2.00,,0,0,0.0,0,0
29,2015,2015-11-15,9,24.278,DEN,,KAN,L 13-29,,2,9,4.50,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
30,2015,2015-11-22,10,24.285,DEN,@,CHI,W 17-15,,12,59,4.92,0,2,2,13,6.50,0,100.0%,6.50,,0,0,0.0,0,0
31,2015,2015-11-29,11,24.292,DEN,,NWE,W 30-24,,15,113,7.53,2,4,4,40,10.00,0,100.0%,10.00,,2,12,0.0,0,0
32,2015,2015-12-06,12,24.299,DEN,@,SDG,W 17-3,,7,42,6.00,0,1,1,12,12.00,0,100.0%,12.00,,0,0,0.0,0,0
33,2015,2015-12-20,14,24.313,DEN,@,PIT,L 27-34,,4,14,3.50,0,3,1,6,6.00,0,33.3%,2.00,,0,0,0.0,0,0
34,2015,2015-12-28,15,24.321,DEN,,CIN,W 20-17,,9,73,8.11,1,2,1,8,8.00,0,50.0%,4.00,,1,6,0.0,0,0
35,2015,2016-01-03,16,24.327,DEN,,SDG,W 27-20,,15,95,6.33,1,3,1,-5,-5.00,0,33.3%,-1.67,,1,6,0.0,0,0
36,2016,2016-09-08,1,25.211,DEN,,CAR,W 21-20,*,20,92,4.60,1,5,4,47,11.75,1,80.0%,9.40,,2,12,0.0,0,0
37,2016,2016-09-18,2,25.221,DEN,,IND,W 34-20,*,20,74,3.70,1,5,3,19,6.33,0,60.0%,3.80,,1,6,0.0,0,0
38,2016,2016-09-25,3,25.228,DEN,@,CIN,W 29-17,*,14,37,2.64,0,4,1,4,4.00,0,25.0%,1.00,,0,0,0.0,0,0
39,2016,2016-10-02,4,25.235,DEN,@,TAM,W 27-7,*,19,49,2.58,1,1,1,3,3.00,0,100.0%,3.00,,1,6,0.0,0,0
40,2016,2016-10-09,5,25.242,DEN,,ATL,L 16-23,*,11,41,3.73,0,4,3,21,7.00,0,75.0%,5.25,,0,0,0.0,0,0
41,2016,2016-10-13,6,25.246,DEN,@,SDG,L 13-21,*,10,37,3.70,0,5,4,34,8.50,0,80.0%,6.80,,0,0,0.0,0,0
42,2016,2016-10-24,7,25.257,DEN,,HOU,W 27-9,*,16,107,6.69,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0
