ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1995,1995-09-10,2,25.276,MIN,,DET,W 20-10,0,0,,0,2,37,18.50,0
2,1995,1995-09-17,3,25.283,MIN,,DAL,L 17-23,0,0,,0,0,0,,0
3,1995,1995-09-24,4,25.290,MIN,@,PIT,W 44-24,5,12,2.40,0,1,23,23.00,0
4,1995,1995-10-08,5,25.304,MIN,,HOU,W 23-17,0,0,,0,0,0,,0
5,1995,1995-11-19,11,25.346,MIN,,NOR,W 43-24,2,4,2.00,0,0,0,,0
6,1995,1995-11-23,12,25.350,MIN,@,DET,L 38-44,0,0,,0,0,0,,0
7,1995,1995-12-03,13,25.360,MIN,,TAM,W 31-17,1,0,0.00,0,0,0,,0
8,1995,1995-12-09,14,26.001,MIN,,CLE,W 27-11,6,10,1.67,0,1,0,0.00,0
