ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1983,1983-09-03,1,23.091,PHI,@,SFO,W 22-17,,,,,0,0,,0,
2,1983,1983-09-11,2,23.099,PHI,,WAS,L 13-23,,,,,0,0,,0,
3,1983,1983-09-18,3,23.106,PHI,@,DEN,W 13-10,,,,,0,0,,0,
4,1983,1983-09-25,4,23.113,PHI,,STL,L 11-14,,,,,0,0,,0,
5,1983,1983-10-02,5,23.120,PHI,@,ATL,W 28-24,,,,,0,0,,0,
6,1983,1983-10-09,6,23.127,PHI,@,NYG,W 17-13,,,,,0,0,,0,
7,1983,1983-10-16,7,23.134,PHI,@,DAL,L 7-37,,,,,0,0,,0,
8,1983,1983-10-23,8,23.141,PHI,,CHI,L 6-7,0,0,,0,1,3,3.00,0,0.0
9,1983,1983-10-30,9,23.148,PHI,,BAL,L 21-22,,,,,0,0,,0,
10,1983,1983-11-06,10,23.155,PHI,,DAL,L 20-27,,,,,0,0,,0,
11,1983,1983-11-13,11,23.162,PHI,@,CHI,L 14-17,,,,,0,0,,0,
12,1983,1983-11-20,12,23.169,PHI,,NYG,L 0-23,,,,,0,0,,0,
13,1983,1983-11-27,13,23.176,PHI,@,WAS,L 24-28,,,,,0,0,,0,
14,1983,1983-12-04,14,23.183,PHI,,RAM,W 13-9,,,,,0,0,,0,
15,1983,1983-12-11,15,23.190,PHI,,NOR,L 17-20,,,,,0,0,,0,
16,1983,1983-12-18,16,23.197,PHI,@,STL,L 7-31,0,0,,0,1,0,0.00,0,1.0
17,1984,1984-09-02,1,24.090,PHI,@,NYG,L 27-28,,,,,,,,,
18,1984,1984-09-09,2,24.097,PHI,,MIN,W 19-17,,,,,,,,,
19,1984,1984-09-16,3,24.104,PHI,@,DAL,L 17-23,,,,,,,,,
20,1984,1984-09-23,4,24.111,PHI,,SFO,L 9-21,,,,,,,,,
21,1984,1984-09-30,5,24.118,PHI,@,WAS,L 0-20,,,,,,,,,
22,1984,1984-10-07,6,24.125,PHI,@,BUF,W 27-17,,,,,,,,,
23,1984,1984-10-14,7,24.132,PHI,,IND,W 16-7,,,,,,,,,
24,1984,1984-10-21,8,24.139,PHI,,NYG,W 24-10,,,,,,,,,
25,1984,1984-10-28,9,24.146,PHI,,STL,L 14-34,,,,,,,,,
26,1984,1984-11-04,10,24.153,PHI,@,DET,T 23-23,0,0,,0,0,0,,0,1.0
27,1984,1984-11-11,11,24.160,PHI,@,MIA,L 23-24,,,,,,,,,
28,1984,1984-11-18,12,24.167,PHI,,WAS,W 16-10,,,,,,,,,
29,1984,1984-11-25,13,24.174,PHI,@,STL,L 16-17,0,0,,0,0,0,,0,0.5
30,1984,1984-12-02,14,24.181,PHI,,DAL,L 10-26,,,,,,,,,
31,1984,1984-12-09,15,24.188,PHI,,NWE,W 27-17,0,0,,0,0,0,,0,1.5
32,1984,1984-12-16,16,24.195,PHI,@,ATL,L 10-26,0,0,,0,0,0,,0,2.0
33,1985,1985-09-08,1,25.096,PHI,@,NYG,L 0-21,0,0,,0,0,0,,0,1.0
34,1985,1985-09-15,2,25.103,PHI,,RAM,L 6-17,,,,,,,,,
35,1985,1985-09-22,3,25.110,PHI,@,WAS,W 19-6,,,,,,,,,
36,1985,1985-11-10,10,25.159,PHI,,ATL,W 23-17,,,,,,,,,
37,1985,1985-11-17,11,25.166,PHI,@,STL,W 24-14,,,,,,,,,
38,1985,1985-11-24,12,25.173,PHI,@,DAL,L 17-34,,,,,,,,,
39,1985,1985-12-01,13,25.180,PHI,,MIN,L 23-28,,,,,,,,,
40,1985,1985-12-08,14,25.187,PHI,,WAS,L 12-17,0,0,,0,0,0,,0,0.5
41,1985,1985-12-15,15,25.194,PHI,@,SDG,L 14-20,,,,,,,,,
42,1985,1985-12-22,16,25.201,PHI,@,MIN,W 37-35,,,,,,,,,
43,1986,1986-09-07,1,26.095,PHI,@,WAS,L 14-41,0,0,,0,,,,,
44,1986,1986-09-14,2,26.102,PHI,@,CHI,L 10-13,0,0,,0,,,,,
45,1986,1986-09-21,3,26.109,PHI,,DEN,L 7-33,0,0,,0,0,0,,0,1.0
46,1986,1986-09-28,4,26.116,PHI,,RAM,W 34-20,0,0,,0,,,,,
47,1986,1986-10-05,5,26.123,PHI,@,ATL,W 16-0,0,0,,0,,,,,
48,1986,1986-10-12,6,26.130,PHI,@,NYG,L 3-35,0,0,,0,,,,,
49,1986,1986-10-19,7,26.137,PHI,,DAL,L 14-17,0,0,,0,,,,,
50,1986,1986-10-26,8,26.144,PHI,,SDG,W 23-7,0,0,,0,,,,,
51,1986,1986-11-02,9,26.151,PHI,@,STL,L 10-13,0,0,,0,,,,,
52,1986,1986-11-09,10,26.158,PHI,,NYG,L 14-17,0,0,,0,,,,,
53,1986,1986-11-16,11,26.165,PHI,,DET,L 11-13,0,0,,0,,,,,
54,1986,1986-11-23,12,26.172,PHI,@,SEA,L 20-24,0,0,,0,,,,,
55,1986,1986-11-30,13,26.179,PHI,@,RAI,W 33-27,0,0,,0,,,,,
