ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1993,1993-09-05,1,25.088,DEN,@,NYJ,W 26-20,,0,0,,0,3,117,39.00,0
2,1993,1993-09-12,2,25.095,DEN,,SDG,W 34-17,,0,0,,0,4,197,49.25,0
3,1993,1993-09-20,3,25.103,DEN,@,KAN,L 7-15,,0,0,,0,8,377,47.13,0
4,1993,1993-10-03,4,25.116,DEN,,IND,W 35-13,,0,0,,0,1,40,40.00,0
5,1993,1993-10-10,5,25.123,DEN,@,GNB,L 27-30,,0,0,,0,3,120,40.00,0
6,1993,1993-10-18,6,25.131,DEN,,RAI,L 20-23,,1,0,0.00,0,4,195,48.75,0
7,1993,1993-10-31,7,25.144,DEN,,SEA,W 28-17,,0,0,,0,3,125,41.67,0
8,1993,1993-11-07,8,25.151,DEN,@,CLE,W 29-14,,0,0,,0,3,103,34.33,0
9,1993,1993-11-14,9,25.158,DEN,,MIN,L 23-26,,0,0,,0,5,201,40.20,0
10,1993,1993-11-21,10,25.165,DEN,,PIT,W 37-13,,0,0,,0,3,148,49.33,0
11,1993,1993-11-28,11,25.172,DEN,@,SEA,W 17-9,,0,0,,0,8,379,47.38,0
12,1993,1993-12-05,12,25.179,DEN,@,SDG,L 10-13,,0,0,,0,6,303,50.50,0
13,1993,1993-12-12,13,25.186,DEN,,KAN,W 27-21,,0,0,,0,3,138,46.00,0
14,1993,1993-12-18,14,25.192,DEN,@,CHI,W 13-3,,0,0,,0,5,198,39.60,0
15,1993,1993-12-26,15,25.200,DEN,,TAM,L 10-17,,0,0,,0,5,241,48.20,0
16,1993,1994-01-02,16,25.207,DEN,@,RAI,L 30-33,,0,0,,0,3,135,45.00,1
17,1994,1994-09-04,1,26.087,DEN,,SDG,L 34-37,,0,0,,0,1,59,59.00,0
18,1994,1994-09-11,2,26.094,DEN,@,NYJ,L 22-25,,0,0,,0,4,165,41.25,0
19,1994,1994-09-18,3,26.101,DEN,,RAI,L 16-48,,0,0,,0,4,161,40.25,0
20,1994,1994-09-26,4,26.109,DEN,@,BUF,L 20-27,,0,0,,0,2,100,50.00,0
21,1994,1994-10-09,5,26.122,DEN,@,SEA,W 16-9,,0,0,,0,6,266,44.33,0
22,1994,1994-10-17,6,26.130,DEN,,KAN,L 28-31,,0,0,,0,7,279,39.86,0
23,1994,1994-10-23,7,26.136,DEN,@,SDG,W 20-15,,0,0,,0,4,176,44.00,0
24,1994,1994-10-30,8,26.143,DEN,,CLE,W 26-14,,0,0,,0,4,164,41.00,0
25,1994,1994-11-06,9,26.150,DEN,@,RAM,L 21-27,,0,0,,0,4,167,41.75,0
26,1994,1994-11-13,10,26.157,DEN,,SEA,W 17-10,,0,0,,0,5,185,37.00,0
27,1994,1994-11-20,11,26.164,DEN,,ATL,W 32-28,,0,0,,0,3,128,42.67,0
28,1994,1994-11-27,12,26.171,DEN,,CIN,W 15-13,,0,0,,0,7,297,42.43,0
29,1994,1994-12-04,13,26.178,DEN,@,KAN,W 20-17,,0,0,,0,7,330,47.14,0
30,1994,1994-12-11,14,26.185,DEN,@,RAI,L 13-23,,0,0,,0,8,337,42.13,0
31,1994,1994-12-17,15,26.191,DEN,@,SFO,L 19-42,,0,0,,0,4,160,40.00,0
32,1994,1994-12-24,16,26.198,DEN,,NOR,L 28-30,,0,0,,0,6,284,47.33,0
33,1995,1995-09-03,1,27.086,DEN,,BUF,W 22-7,,0,0,,0,4,191,47.75,0
34,1995,1995-09-10,2,27.093,DEN,@,DAL,L 21-31,,0,0,,0,5,232,46.40,0
35,1995,1995-09-17,3,27.100,DEN,,WAS,W 38-31,,0,0,,0,2,105,52.50,0
36,1995,1995-09-24,4,27.107,DEN,@,SDG,L 6-17,,0,0,,0,5,199,39.80,0
37,1995,1995-10-01,5,27.114,DEN,@,SEA,L 10-27,,0,0,,0,3,120,40.00,0
38,1995,1995-10-08,6,27.121,DEN,@,NWE,W 37-3,,0,0,,0,5,166,33.20,0
39,1995,1995-10-16,7,27.129,DEN,,OAK,W 27-0,,0,0,,0,3,168,56.00,0
40,1995,1995-10-22,8,27.135,DEN,,KAN,L 7-21,,0,0,,0,4,165,41.25,0
41,1995,1995-11-05,9,27.149,DEN,,ARI,W 38-6,,0,0,,0,1,42,42.00,0
42,1995,1995-11-12,10,27.156,DEN,@,PHI,L 13-31,,0,0,,0,4,149,37.25,0
43,1995,1995-11-19,11,27.163,DEN,,SDG,W 30-27,,0,0,,0,2,96,48.00,0
44,1995,1995-11-26,12,27.170,DEN,@,HOU,L 33-42,,0,0,,0,1,58,58.00,0
45,1995,1995-12-03,13,27.177,DEN,,JAX,W 31-23,,0,0,,0,2,87,43.50,1
46,1995,1995-12-10,14,27.184,DEN,,SEA,L 27-31,,0,0,,0,2,76,38.00,0
47,1995,1995-12-17,15,27.191,DEN,@,KAN,L 17-20,,0,0,,0,7,294,42.00,0
48,1995,1995-12-24,16,27.198,DEN,@,OAK,W 31-28,,0,0,,0,2,44,22.00,0
49,1996,1996-09-01,1,28.084,DEN,,NYJ,W 31-6,,0,0,,0,7,315,45.00,0
50,1996,1996-09-08,2,28.091,DEN,@,SEA,W 30-20,,0,0,,0,5,176,35.20,0
51,1996,1996-09-15,3,28.098,DEN,,TAM,W 27-23,,0,0,,0,3,146,48.67,0
52,1996,1996-09-22,4,28.105,DEN,@,KAN,L 14-17,,0,0,,0,4,179,44.75,0
53,1996,1996-09-29,5,28.112,DEN,@,CIN,W 14-10,,0,0,,0,5,217,43.40,0
54,1996,1996-10-06,6,28.119,DEN,,SDG,W 28-17,,0,0,,0,5,205,41.00,0
55,1996,1996-10-20,7,28.133,DEN,,BAL,W 45-34,,0,0,,0,2,91,45.50,0
56,1996,1996-10-27,8,28.140,DEN,,KAN,W 34-7,,0,0,,0,3,120,40.00,0
57,1996,1996-11-04,9,28.148,DEN,@,OAK,W 22-21,,0,0,,0,4,176,44.00,0
