ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1970,1970-09-20,1,22.032,CIN,,OAK,W 31-21,,,,,,,,,,,,,,,,,,
2,1970,1970-09-27,2,22.039,CIN,@,DET,L 3-38,,,,,,,,,,,,,,,,,,
3,1970,1970-10-04,3,22.046,CIN,,HOU,L 13-20,0,0,,0,0,0,,0,1,22,22.00,0,0,0,0,0,,0
4,1970,1970-10-11,4,22.053,CIN,@,CLE,L 27-30,,,,,,,,,,,,,,,,,,
5,1970,1970-10-18,5,22.060,CIN,,KAN,L 19-27,0,0,,0,0,0,,0,1,18,18.00,0,0,0,0,0,,0
6,1970,1970-10-25,6,22.067,CIN,@,WAS,L 0-20,,,,,,,,,,,,,,,,,,
7,1970,1970-11-02,7,22.075,CIN,@,PIT,L 10-21,,,,,,,,,,,,,,,,,,
8,1970,1970-11-08,8,22.081,CIN,@,BUF,W 43-14,6,23,3.83,0,0,0,,0,0,0,,0,0,0,0,0,,0
9,1970,1970-11-15,9,22.088,CIN,,CLE,W 14-10,,,,,,,,,,,,,,,,,,
10,1970,1970-11-22,10,22.095,CIN,,PIT,W 34-7,4,22,5.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
11,1970,1970-11-29,11,22.102,CIN,,NOR,W 26-6,1,2,2.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
12,1970,1970-12-06,12,22.109,CIN,@,SDG,W 17-14,,,,,,,,,,,,,,,,,,
13,1970,1970-12-13,13,22.116,CIN,@,HOU,W 30-20,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,,0
14,1970,1970-12-20,14,22.123,CIN,,BOS,W 45-7,7,30,4.29,0,0,0,,0,1,8,8.00,0,0,0,0,0,,0
15,1971,1971-09-19,1,23.031,CIN,,PHI,W 37-14,4,13,3.25,0,0,0,,0,0,0,,0,0,0,0,0,,0
16,1971,1971-09-26,2,23.038,CIN,@,PIT,L 10-21,0,0,,0,0,0,,0,1,20,20.00,0,0,0,0,0,,0
17,1971,1971-10-03,3,23.045,CIN,@,GNB,L 17-20,,,,,,,,,,,,,,,,,,
18,1971,1971-10-10,4,23.052,CIN,,MIA,L 13-23,0,0,,0,1,9,9.00,0,0,0,,0,0,0,0,0,,0
19,1971,1971-10-17,5,23.059,CIN,,CLE,L 24-27,,,,,,,,,,,,,,,,,,
20,1971,1971-10-24,6,23.066,CIN,@,OAK,L 27-31,2,3,1.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
21,1971,1971-10-31,7,23.073,CIN,@,HOU,L 6-10,,,,,,,,,,,,,,,,,,
22,1971,1971-11-07,8,23.080,CIN,,ATL,L 6-9,,,,,,,,,,,,,,,,,,
23,1971,1971-11-14,9,23.087,CIN,@,DEN,W 24-10,11,52,4.73,0,2,44,22.00,0,0,0,,0,0,0,0,0,,0
24,1971,1971-11-21,10,23.094,CIN,,HOU,W 28-13,8,25,3.13,0,1,8,8.00,0,0,0,,0,0,0,0,0,,0
25,1971,1971-11-28,11,23.101,CIN,,SDG,W 31-0,9,28,3.11,0,2,-4,-2.00,0,0,0,,0,0,0,0,0,,0
26,1971,1971-12-05,12,23.108,CIN,@,CLE,L 27-31,12,39,3.25,1,6,26,4.33,0,0,0,,0,1,6,0,0,,0
27,1971,1971-12-12,13,23.115,CIN,,PIT,L 13-21,3,18,6.00,0,2,14,7.00,0,0,0,,0,0,0,0,0,,0
28,1971,1971-12-19,14,23.122,CIN,@,NYJ,L 21-35,5,26,5.20,0,5,48,9.60,0,0,0,,0,0,0,1,34,34.00,0
