ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1996,1996-09-01,1,22.355,CIN,@,STL,L 16-26,,14,14,1.00,0,6,5,22,4.40,0,83.3%,3.67,0,0,,0,0,0,,,,,,0,0,,0,0,0
2,1996,1996-09-08,2,22.362,CIN,@,SDG,L 14-27,,7,13,1.86,0,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,,,,,0,0,,0,0,0
3,1996,1996-09-15,3,23.003,CIN,,NOR,W 30-15,,19,63,3.32,1,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,,,,,0,0,,0,1,6
4,1996,1996-09-29,4,23.017,CIN,,DEN,L 10-14,,5,13,2.60,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,,,,,0,0,,0,0,0
5,1996,1996-10-06,5,23.024,CIN,,HOU,L 27-30,,2,3,1.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
6,1996,1996-10-13,6,23.031,CIN,@,PIT,L 10-20,,2,13,6.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0
7,1996,1996-10-20,7,23.038,CIN,@,SFO,L 21-28,,4,14,3.50,0,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,,,,,,0,0,,0,0,0
8,1996,1996-10-27,8,23.045,CIN,,JAX,W 28-21,,8,27,3.38,2,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,2,12
9,1996,1996-11-03,9,23.052,CIN,@,BAL,W 24-21,,3,3,1.00,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,1,6
10,1996,1996-11-10,10,23.059,CIN,,PIT,W 34-24,,4,6,1.50,1,1,1,12,12.00,1,100.0%,12.00,0,0,,0,0,0,,,,,,0,0,,0,2,12
11,1996,1996-11-17,11,23.066,CIN,@,BUF,L 17-31,,6,12,2.00,1,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,1,6
12,1996,1996-11-24,12,23.073,CIN,,ATL,W 41-31,,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,
13,1996,1996-12-01,13,23.080,CIN,@,JAX,L 27-30,,4,36,9.00,0,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
14,1996,1996-12-08,14,23.087,CIN,,BAL,W 21-14,,2,4,2.00,0,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,,,,,,0,0,,0,0,0
15,1996,1996-12-15,15,23.094,CIN,@,HOU,W 21-13,,4,25,6.25,1,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,,,,,,0,0,,0,1,6
16,1996,1996-12-22,16,23.101,CIN,,IND,W 31-24,,7,18,2.57,1,3,2,8,4.00,0,66.7%,2.67,0,0,,0,0,0,,,,,,0,0,,0,1,6
17,1997,1997-08-31,1,23.353,CIN,,ARI,W 24-21,,19,76,4.00,2,4,2,40,20.00,0,50.0%,10.00,0,0,,0,0,0,,0,,,,0,0,,0,2,12
18,1997,1997-09-07,2,23.360,CIN,@,BAL,L 10-23,,10,22,2.20,0,4,2,9,4.50,0,50.0%,2.25,0,0,,0,0,0,,0,,,,0,0,,0,0,0
19,1997,1997-09-21,3,24.009,CIN,@,DEN,L 20-38,,13,104,8.00,1,2,1,-3,-3.00,0,50.0%,-1.50,0,0,,0,0,0,,0,,,,0,0,,0,1,6
20,1997,1997-10-05,5,24.023,CIN,@,JAX,L 13-21,,9,26,2.89,1,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,,,,0,0,,0,1,6
21,1997,1997-10-12,6,24.030,CIN,@,TEN,L 7-30,,5,14,2.80,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
22,1997,1997-10-19,7,24.037,CIN,,PIT,L 10-26,,16,63,3.94,1,3,3,26,8.67,0,100.0%,8.67,0,0,,0,0,0,,0,,,,0,0,,0,1,6
23,1997,1997-10-26,8,24.044,CIN,@,NYG,L 27-29,,17,70,4.12,0,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
24,1997,1997-11-02,9,24.051,CIN,,SDG,W 38-31,,9,25,2.78,0,2,1,5,5.00,0,50.0%,2.50,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
25,1997,1997-11-09,10,24.058,CIN,@,IND,W 28-13,,4,7,1.75,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
26,1997,1997-11-16,11,24.065,CIN,@,PIT,L 3-20,,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
27,1997,1997-11-23,12,24.072,CIN,,JAX,W 31-26,,5,11,2.20,1,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,,,,0,0,,0,1,6
28,1997,1997-11-30,13,24.079,CIN,@,PHI,L 42-44,,4,0,0.00,1,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,,,,0,0,,0,1,6
29,1997,1997-12-04,14,24.083,CIN,,TEN,W 41-14,,11,29,2.64,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
30,1997,1997-12-14,15,24.093,CIN,,DAL,W 31-24,,3,2,0.67,0,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,,,,1,9,9.00,0,0,0
