ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1995,1995-09-03,1,23.348,ARI,@,WAS,L 7-27,0,0,0,,0,0.0%,,5,123,24.60,0
2,1995,1995-09-10,2,23.355,ARI,,PHI,L 19-31,0,0,0,,0,0.0%,,4,133,33.25,0
3,1995,1995-09-17,3,23.362,ARI,@,DET,W 20-17,0,0,0,,0,0.0%,,3,47,15.67,0
4,1995,1995-09-24,4,24.004,ARI,@,DAL,L 20-34,0,0,0,,0,0.0%,,7,149,21.29,0
5,1995,1995-10-01,5,24.011,ARI,,KAN,L 3-24,0,0,0,,0,0.0%,,5,93,18.60,0
6,1995,1995-10-08,6,24.018,ARI,@,NYG,L 21-27,0,0,0,,0,0.0%,,3,50,16.67,0
7,1995,1995-10-15,7,24.025,ARI,,WAS,W 24-20,0,0,0,,0,0.0%,,2,34,17.00,0
8,1995,1995-11-05,9,24.046,ARI,@,DEN,L 6-38,,,,,,0.0%,,,,,
9,1995,1995-11-12,10,24.053,ARI,,MIN,L 24-30,,,,,,0.0%,,,,,
10,1995,1995-11-19,11,24.060,ARI,@,CAR,L 7-27,,,,,,0.0%,,,,,
11,1995,1995-11-26,12,24.067,ARI,,ATL,W 40-37,0,0,0,,0,0.0%,,3,64,21.33,0
12,1995,1995-11-30,13,24.071,ARI,,NYG,L 6-10,0,0,0,,0,0.0%,,2,40,20.00,0
13,1995,1995-12-09,14,24.080,ARI,@,SDG,L 25-28,0,0,0,,0,0.0%,,2,45,22.50,0
14,1995,1995-12-17,15,24.088,ARI,@,PHI,L 20-21,0,0,0,,0,0.0%,,1,30,30.00,0
15,1995,1995-12-25,16,24.096,ARI,,DAL,L 13-37,,,,,,0.0%,,,,,
16,1996,1996-09-01,1,24.347,ARI,@,IND,L 13-20,1,1,0,0.00,0,100.0%,0.00,0,0,,0
17,1996,1996-09-08,2,24.354,ARI,,MIA,L 10-38,0,0,0,,0,0.0%,,1,30,30.00,0
18,1996,1996-09-15,3,24.361,ARI,@,NWE,L 0-31,0,0,0,,0,0.0%,,2,25,12.50,0
19,1996,1996-09-22,4,25.002,ARI,@,NOR,W 28-14,,,,,,0.0%,,,,,
20,1996,1996-09-29,5,25.009,ARI,,STL,W 31-28,0,0,0,,0,0.0%,,1,29,29.00,0
