ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1990,1990-09-09,1,22.329,NWE,,MIA,L 24-27,,1,13,13.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
2,1990,1990-09-16,2,22.336,NWE,@,IND,W 16-14,,0,0,,0,,,,,,,,,,,,,,,,,,,
3,1990,1990-09-23,3,22.343,NWE,@,CIN,L 7-41,,2,33,16.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
4,1990,1990-09-30,4,22.350,NWE,,NYJ,L 13-37,,3,9,3.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
5,1990,1990-10-07,5,22.357,NWE,,SEA,L 20-33,,0,0,,0,,,,,,,,,,,,,,,,,,,
6,1990,1990-10-18,6,23.003,NWE,@,MIA,L 10-17,,3,46,15.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
7,1990,1990-10-28,7,23.013,NWE,,BUF,L 10-27,,1,4,4.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
8,1990,1990-11-04,8,23.020,NWE,@,PHI,L 20-48,,2,29,14.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
9,1990,1990-11-11,9,23.027,NWE,,IND,L 10-13,,0,0,,0,,,,,,,,,,,,,,,,,,,
10,1990,1990-11-18,10,23.034,NWE,@,BUF,L 0-14,,2,25,12.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
11,1990,1990-11-25,11,23.041,NWE,@,PHO,L 14-34,,3,30,10.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
12,1990,1990-12-02,12,23.048,NWE,,KAN,L 7-37,,2,15,7.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
13,1990,1990-12-23,15,23.069,NWE,@,NYJ,L 7-42,,3,36,12.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
14,1991,1991-09-01,1,23.321,NWE,@,IND,W 16-7,,0,0,,0,,,,,,,,,,,,,,,,,,,
15,1991,1991-09-08,2,23.328,NWE,,CLE,L 0-20,,1,13,13.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
16,1991,1991-09-15,3,23.335,NWE,@,PIT,L 6-20,,0,0,,0,,,,,,,,,,,,,,,,,,,
17,1991,1991-09-22,4,23.342,NWE,,HOU,W 24-20,,3,58,19.33,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
18,1991,1991-09-29,5,23.349,NWE,@,PHO,L 10-24,,2,31,15.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
19,1991,1991-10-06,6,23.356,NWE,,MIA,L 10-20,,3,47,15.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
20,1991,1991-10-20,7,24.005,NWE,,MIN,W 26-23,,3,69,23.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
21,1991,1991-10-27,8,24.012,NWE,,DEN,L 6-9,,3,34,11.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
22,1991,1991-11-03,9,24.019,NWE,@,BUF,L 17-22,,1,40,40.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
23,1991,1991-11-10,10,24.026,NWE,@,MIA,L 20-30,,3,44,14.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
24,1991,1991-11-17,11,24.033,NWE,,NYJ,L 21-28,,7,94,13.43,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
25,1991,1991-11-24,12,24.040,NWE,,BUF,W 16-13,,3,27,9.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
26,1991,1991-12-01,13,24.047,NWE,@,DEN,L 3-20,,4,38,9.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
27,1991,1991-12-08,14,24.054,NWE,,IND,W 23-17,,8,119,14.88,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
28,1991,1991-12-15,15,24.061,NWE,@,NYJ,W 6-3,,0,0,,0,,,,,,,,,,,,,,,,,,,
29,1992,1992-09-13,1,24.334,NWE,@,RAM,L 0-14,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,0,
