ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1950,1950-09-24,1,24.063,CRD,,PHI,L 7-45,5,33,6.60,0,0,0,,0,0,0,,0,0,,,,,,
2,1950,1950-10-15,4,24.084,CRD,@,CLE,L 24-34,1,18,18.00,0,0,0,,0,0,0,,0,0,,,,,,
3,1950,1950-11-23,10,24.123,CRD,,PIT,L 17-28,3,7,2.33,0,0,0,,0,0,0,,0,0,,,,,,
4,1950,1950-12-03,11,24.133,CRD,,CHI,W 20-10,0,0,,0,1,35,35.00,1,0,0,,0,0,,,,,,
5,1950,1950-12-10,12,24.140,CRD,@,PIT,L 7-28,2,3,1.50,0,0,0,,0,0,0,,0,0,,,,,,
6,1951,1951-10-07,2,25.076,CRD,,CHI,W 28-14,1,68,68.00,1,1,6,6.00,0,0,0,,0,0,,,,,,
7,1951,1951-10-14,3,25.083,CRD,@,NYG,L 17-28,0,0,,0,3,68,22.67,2,0,0,,0,0,,,,,,
8,1951,1951-10-21,4,25.090,CRD,@,WAS,L 3-7,7,22,3.14,0,6,66,11.00,0,0,0,,0,0,,,,,,
9,1951,1951-10-28,5,25.097,CRD,,PIT,L 14-28,6,35,5.83,0,3,75,25.00,0,0,0,,0,0,,,,,,
10,1951,1951-11-11,7,25.111,CRD,@,RAM,L 21-45,2,4,2.00,0,2,12,6.00,0,0,0,,0,0,,,,,,
11,1951,1951-11-18,8,25.118,CRD,@,SFO,W 27-21,5,21,4.20,1,0,0,,0,0,0,,0,0,,,,,,
12,1951,1951-12-02,10,25.132,CRD,@,CLE,L 28-49,0,0,,0,2,68,34.00,1,0,0,,0,0,,,,,,
13,1951,1951-12-09,11,25.139,CRD,,WAS,L 17-20,1,15,15.00,1,0,0,,0,0,0,,0,0,,,,,,
14,1951,1951-12-16,12,25.146,CRD,@,CHI,W 24-14,0,0,,0,2,28,14.00,0,0,0,,0,0,,,,,,
15,1952,1952-11-16,8,26.116,CRD,@,PHI,L 7-10,3,15,5.00,0,0,0,,0,0,0,,0,0,,,,,,
16,1952,1952-11-23,9,26.123,CRD,@,PIT,L 14-17,2,13,6.50,0,1,9,9.00,1,0,0,,0,0,,,,,,
17,1953,1953-09-27,1,27.066,CRD,,WAS,L 13-24,3,44,14.67,0,2,11,5.50,0,1,1,100.00,13,0,0,118.7,0,0,13.00,13.00
18,1953,1953-10-04,2,27.073,CRD,,CLE,L 7-27,3,9,3.00,0,2,16,8.00,0,0,0,,0,0,,,,,,
19,1953,1953-11-01,6,27.101,CRD,,NYG,L 20-23,0,0,,0,1,27,27.00,0,0,0,,0,0,,,,,,
20,1953,1953-11-15,8,27.115,CRD,,RAM,T 24-24,1,8,8.00,0,1,17,17.00,1,0,0,,0,0,,,,,,
21,1953,1953-11-29,10,27.129,CRD,@,CLE,L 16-27,2,5,2.50,0,1,4,4.00,0,0,0,,0,0,,,,,,
22,1953,1953-12-06,11,27.136,CRD,,PIT,L 17-21,1,1,1.00,0,5,27,5.40,1,0,0,,0,0,,,,,,
23,1953,1953-12-13,12,27.143,CRD,@,CHI,W 24-17,0,0,,0,3,50,16.67,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
