ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-12-04,12,22.123,BAL,@,CLE,W 24-10,,0,0,,0,0,0,,0,0,,,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
2,2011,2011-12-11,13,22.130,BAL,,IND,W 24-10,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,
3,2011,2011-12-18,14,22.137,BAL,@,SDG,L 14-34,,1,1,100.00,18,0,0,118.7,2,3,18.00,18.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
4,2012,2012-09-10,1,23.038,BAL,,CIN,W 44-13,,2,3,66.67,30,0,0,99.3,0,0,10.00,10.00,1,7,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
5,2012,2012-09-27,4,23.055,BAL,,CLE,W 23-16,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,
6,2012,2012-10-07,5,23.065,BAL,@,KAN,W 9-6,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,
7,2012,2012-11-04,8,23.093,BAL,@,CLE,W 25-15,,0,0,,0,0,0,,0,0,,,1,4,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
8,2012,2012-11-11,9,23.100,BAL,,OAK,W 55-20,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
9,2012,2012-12-23,15,23.142,BAL,,NYG,W 33-14,,0,0,,0,0,0,,0,0,,,3,-3,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
10,2012,2012-12-30,16,23.149,BAL,@,CIN,L 17-23,,15,25,60.00,149,0,1,60.2,3,30,5.96,4.16,9,65,7.22,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0
11,2013,2013-11-10,9,24.099,BAL,,CIN,W 20-17,,0,0,,0,0,0,,0,0,,,1,18,18.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
12,2013,2013-11-24,11,24.113,BAL,,NYJ,W 19-3,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,4,7,1.75,0,1,1,6,6.00,0,100.0%,6.00,,0,0,0.0,0,0
13,2013,2013-12-22,15,24.141,BAL,,NWE,L 7-41,,1,4,25.00,2,0,1,0.0,0,0,0.50,-10.75,3,39,13.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
14,2014,2014-10-12,6,25.070,BAL,@,TAM,W 48-17,,0,0,,0,0,0,,0,0,,,4,-3,-0.75,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0
15,2015,2015-09-13,1,26.041,BUF,,IND,W 27-14,*,14,19,73.68,195,1,0,123.8,0,0,10.26,11.32,9,41,4.56,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
16,2015,2015-09-20,2,26.048,BUF,,NWE,L 32-40,*,23,30,76.67,242,3,3,93.3,8,53,8.07,5.57,5,43,8.60,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0
17,2015,2015-09-27,3,26.055,BUF,@,MIA,W 41-14,*,21,29,72.41,277,3,0,136.7,0,0,9.55,11.62,3,12,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
18,2015,2015-10-04,4,26.062,BUF,,NYG,L 10-24,*,28,42,66.67,274,1,1,82.8,2,16,6.52,5.93,6,15,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
19,2015,2015-10-11,5,26.069,BUF,@,TEN,W 14-13,*,10,17,58.82,109,1,0,97.4,4,31,6.41,7.59,8,76,9.50,1,1,1,4,4.00,0,100.0%,4.00,,1,6,0.0,0,0
20,2015,2015-11-08,8,26.097,BUF,,MIA,W 33-17,*,11,12,91.67,181,1,0,146.5,3,27,15.08,16.75,10,44,4.40,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
21,2015,2015-11-12,9,26.101,BUF,@,NYJ,W 22-17,*,17,27,62.96,158,1,0,91.3,4,26,5.85,6.59,6,12,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
22,2015,2015-11-23,10,26.112,BUF,@,NWE,L 13-20,*,20,36,55.56,233,0,0,75.3,2,8,6.47,6.47,4,1,0.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
23,2015,2015-11-29,11,26.118,BUF,@,KAN,L 22-30,*,21,38,55.26,291,3,0,106.4,1,5,7.66,9.24,5,46,9.20,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
24,2015,2015-12-06,12,26.125,BUF,,HOU,W 30-21,*,11,21,52.38,211,3,0,127.2,1,8,10.05,12.90,7,28,4.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0
