ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1999,1999-09-12,1,24.222,CHI,,KAN,W 20-17,,3,2,28,14.00,0,66.7%,9.33,0,0,,0
2,1999,1999-09-19,2,24.229,CHI,,SEA,L 13-14,*,1,1,15,15.00,0,100.0%,15.00,0,0,,0
3,1999,1999-09-26,3,24.236,CHI,@,OAK,L 17-24,,4,3,51,17.00,0,75.0%,12.75,0,0,,0
4,1999,1999-10-03,4,24.243,CHI,,NOR,W 14-10,,4,1,4,4.00,0,25.0%,1.00,0,0,,0
5,1999,1999-10-10,5,24.250,CHI,@,MIN,W 24-22,,2,1,6,6.00,0,50.0%,3.00,0,0,,0
6,1999,1999-10-17,6,24.257,CHI,,PHI,L 16-20,,2,,,,,0.0%,,,,,
7,1999,1999-10-24,7,24.264,CHI,@,TAM,L 3-6,,4,3,23,7.67,0,75.0%,5.75,1,7,7.00,0
8,1999,1999-10-31,8,24.271,CHI,@,WAS,L 22-48,*,5,2,23,11.50,0,40.0%,4.60,0,0,,0
9,1999,1999-11-07,9,24.278,CHI,@,GNB,W 14-13,,2,1,10,10.00,0,50.0%,5.00,0,0,,0
10,2000,2000-09-03,1,25.214,CHI,@,MIN,L 27-30,,1,,,,,0.0%,,,,,
11,2000,2000-09-10,2,25.221,CHI,@,TAM,L 0-41,,2,2,19,9.50,0,100.0%,9.50,0,0,,0
12,2000,2000-09-17,3,25.228,CHI,,NYG,L 7-14,,6,3,26,8.67,0,50.0%,4.33,0,0,,0
13,2000,2000-09-24,4,25.235,CHI,,DET,L 14-21,*,3,2,15,7.50,0,66.7%,5.00,0,0,,0
14,2000,2000-10-01,5,25.242,CHI,@,GNB,W 27-24,*,0,,,,,0.0%,,,,,
15,2000,2000-10-08,6,25.249,CHI,,NOR,L 10-31,,7,2,33,16.50,0,28.6%,4.71,0,0,,0
16,2000,2000-10-15,7,25.256,CHI,,MIN,L 16-28,,4,3,25,8.33,0,75.0%,6.25,0,0,,0
17,2000,2000-10-22,8,25.263,CHI,@,PHI,L 9-13,*,7,5,29,5.80,0,71.4%,4.14,0,0,,0
18,2000,2000-11-05,9,25.277,CHI,,IND,W 27-24,,4,2,16,8.00,0,50.0%,4.00,0,0,,0
19,2000,2000-11-12,10,25.284,CHI,@,BUF,L 3-20,,4,1,9,9.00,0,25.0%,2.25,0,0,,0
20,2000,2000-11-19,11,25.291,CHI,,TAM,W 13-10,,3,3,16,5.33,0,100.0%,5.33,0,0,,0
21,2000,2000-11-26,12,25.298,CHI,@,NYJ,L 10-17,,3,2,19,9.50,0,66.7%,6.33,0,0,,0
22,2000,2000-12-03,13,25.305,CHI,,GNB,L 6-28,,1,,,,,0.0%,,,,,
23,2000,2000-12-10,14,25.312,CHI,,NWE,W 24-17,,2,1,9,9.00,0,50.0%,4.50,0,0,,0
24,2000,2000-12-17,15,25.319,CHI,@,SFO,L 0-17,,2,,,,,0.0%,,,,,
25,2000,2000-12-24,16,25.326,CHI,@,DET,W 23-20,,1,,,,,0.0%,,,,,
