ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2012,2012-10-14,6,25.042,WAS,,MIN,W 38-26,,5,5,100.0,1,1,100.0,0,8
2,2012,2012-10-21,7,25.049,WAS,@,NYG,L 23-27,,2,2,100.0,3,3,100.0,0,11
3,2012,2012-10-28,8,25.056,WAS,@,PIT,L 12-27,,,1,0.0,2,2,100.0,0,6
4,2012,2012-11-04,9,25.063,WAS,,CAR,L 13-21,,1,1,100.0,2,2,100.0,0,7
5,2012,2012-11-18,10,25.077,WAS,,PHI,W 31-6,,4,4,100.0,1,1,100.0,0,7
6,2012,2012-11-22,11,25.081,WAS,@,DAL,W 38-31,,5,5,100.0,1,1,100.0,0,8
7,2012,2012-12-03,12,25.092,WAS,,NYG,W 17-16,,2,2,100.0,1,1,100.0,0,5
8,2012,2012-12-09,13,25.098,WAS,,BAL,W 31-28,,2,2,100.0,3,3,100.0,0,11
9,2012,2012-12-16,14,25.105,WAS,@,CLE,W 38-21,,5,5,100.0,1,1,100.0,0,8
10,2012,2012-12-23,15,25.112,WAS,@,PHI,W 27-20,,3,3,100.0,2,2,100.0,0,9
11,2012,2012-12-30,16,25.119,WAS,,DAL,W 28-18,,4,4,100.0,,1,0.0,0,4
12,2013,2013-09-09,1,26.007,WAS,,PHI,L 27-33,,3,3,100.0,,1,0.0,0,3
13,2013,2013-10-13,5,26.041,WAS,@,DAL,L 16-31,,1,1,100.0,3,4,75.0,0,10
14,2013,2013-10-20,6,26.048,WAS,,CHI,W 45-41,,6,6,100.0,1,1,100.0,0,9
15,2013,2013-10-27,7,26.055,WAS,@,DEN,L 21-45,,3,3,100.0,,,,0,3
16,2013,2013-11-03,8,26.062,WAS,,SDG,W 30-24,,3,3,100.0,1,3,33.3,0,6
17,2013,2013-11-07,9,26.066,WAS,@,MIN,L 27-34,,3,3,100.0,2,2,100.0,0,9
18,2013,2013-11-17,10,26.076,WAS,@,PHI,L 16-24,,,,,,,,,
19,2013,2013-11-25,11,26.084,WAS,,SFO,L 6-27,,,,,2,2,100.0,0,6
20,2013,2013-12-01,12,26.090,WAS,,NYG,L 17-24,,2,2,100.0,1,1,100.0,0,5
21,2013,2013-12-08,13,26.097,WAS,,KAN,L 10-45,,1,1,100.0,1,1,100.0,0,4
22,2013,2013-12-15,14,26.104,WAS,@,ATL,L 26-27,,2,2,100.0,2,2,100.0,0,8
23,2013,2013-12-22,15,26.111,WAS,,DAL,L 23-24,,2,2,100.0,3,3,100.0,0,11
24,2013,2013-12-29,16,26.118,WAS,@,NYG,L 6-20,,,,,2,2,100.0,0,6
25,2014,2014-09-07,1,27.005,WAS,@,HOU,L 6-17,,,1,0.0,,,,0,0
26,2014,2014-09-14,2,27.012,WAS,,JAX,W 41-10,,5,5,100.0,2,2,100.0,0,11
27,2014,2014-09-21,3,27.019,WAS,@,PHI,L 34-37,,4,4,100.0,2,3,66.7,0,10
28,2014,2014-09-25,4,27.023,WAS,,NYG,L 14-45,,2,2,100.0,,,,0,2
29,2014,2014-10-06,5,27.034,WAS,,SEA,L 17-27,,2,2,100.0,1,1,100.0,0,5
30,2014,2014-10-12,6,27.040,WAS,@,ARI,L 20-30,,2,2,100.0,2,2,100.0,0,8
31,2014,2014-10-19,7,27.047,WAS,,TEN,W 19-17,,1,1,100.0,4,4,100.0,0,13
32,2014,2014-10-27,8,27.055,WAS,@,DAL,W 20-17,,2,2,100.0,2,2,100.0,0,8
33,2014,2014-11-02,9,27.061,WAS,@,MIN,L 26-29,,2,2,100.0,2,2,100.0,0,8
34,2014,2014-11-16,10,27.075,WAS,,TAM,L 7-27,,1,1,100.0,,2,0.0,0,1
35,2014,2014-11-23,11,27.082,WAS,@,SFO,L 13-17,,1,1,100.0,2,2,100.0,0,7
36,2014,2014-11-30,12,27.089,WAS,@,IND,L 27-49,,3,3,100.0,2,2,100.0,0,9
37,2014,2014-12-07,13,27.096,WAS,,STL,L 0-24,,,,,,,,,
38,2014,2014-12-14,14,27.103,WAS,@,NYG,L 13-24,,1,1,100.0,2,2,100.0,0,7
39,2014,2014-12-20,15,27.109,WAS,,PHI,W 27-24,,3,3,100.0,2,2,100.0,0,9
40,2014,2014-12-28,16,27.117,WAS,,DAL,L 17-44,,2,2,100.0,1,1,100.0,0,5
41,2015,2015-09-13,1,28.011,WAS,,MIA,L 10-17,,1,1,100.0,1,2,50.0,0,4
42,2015,2015-10-25,7,28.053,NOR,@,IND,W 27-21,,3,4,75.0,,,,0,3
43,2015,2015-11-01,8,28.060,NOR,,NYG,W 52-49,,7,7,100.0,1,1,100.0,0,10
44,2015,2015-11-08,9,28.067,NOR,,TEN,L 28-34,,4,4,100.0,,1,0.0,0,4
45,2015,2015-11-15,10,28.074,NOR,@,WAS,L 14-47,,2,2,100.0,,,,0,2
46,2015,2015-11-29,11,28.088,NOR,@,HOU,L 6-24,,,,,2,2,100.0,0,6
47,2015,2015-12-06,12,28.095,NOR,,CAR,L 38-41,,4,4,100.0,,1,0.0,0,4
48,2015,2015-12-13,13,28.102,NOR,@,TAM,W 24-17,,3,3,100.0,1,1,100.0,0,6
49,2015,2015-12-21,14,28.110,NOR,,DET,L 27-35,,3,3,100.0,2,2,100.0,0,9
50,2015,2015-12-27,15,28.116,NOR,,JAX,W 38-27,,5,5,100.0,1,3,33.3,0,8
