ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1993,1993-09-05,1,24.258,DEN,@,NYJ,W 26-20,,,,,,,,,,,0.0%,
2,1993,1993-09-12,2,24.265,DEN,,SDG,W 34-17,,,,,,,,,,,0.0%,
3,1993,1993-09-20,3,24.273,DEN,@,KAN,L 7-15,,,,,,,,,,,0.0%,
4,1993,1993-10-03,4,24.286,DEN,,IND,W 35-13,,,,,,,,,,,0.0%,
5,1993,1993-10-10,5,24.293,DEN,@,GNB,L 27-30,,,,,,,,,,,0.0%,
6,1993,1993-10-18,6,24.301,DEN,,RAI,L 20-23,,,,,,,,,,,0.0%,
7,1993,1993-10-31,7,24.314,DEN,,SEA,W 28-17,,,,,,,,,,,0.0%,
8,1993,1993-11-14,9,24.328,DEN,,MIN,L 23-26,,,,,,,,,,,0.0%,
9,1993,1993-12-05,12,24.349,DEN,@,SDG,L 10-13,,,,,,,,,,,0.0%,
10,1993,1993-12-12,13,24.356,DEN,,KAN,W 27-21,,,,,,,,,,,0.0%,
11,1993,1993-12-18,14,24.362,DEN,@,CHI,W 13-3,,,,,,,,,,,0.0%,
12,1993,1993-12-26,15,25.005,DEN,,TAM,L 10-17,,,,,,,,,,,0.0%,
13,1993,1994-01-02,16,25.012,DEN,@,RAI,L 30-33,,,,,,,,,,,0.0%,
14,1995,1995-09-03,1,26.256,SFO,@,NOR,W 24-22,,0,0,,0,,,,,,0.0%,
15,1995,1995-09-10,2,26.263,SFO,,ATL,W 41-10,,1,5,5.00,0,0,0,0,,0,0.0%,
16,1995,1995-09-17,3,26.270,SFO,,NWE,W 28-3,,0,0,,0,,,,,,0.0%,
17,1995,1995-09-25,4,26.278,SFO,@,DET,L 24-27,,0,0,,0,,,,,,0.0%,
18,1995,1995-10-01,5,26.284,SFO,,NYG,W 20-6,,1,6,6.00,0,0,0,0,,0,0.0%,
19,1995,1995-10-15,6,26.298,SFO,@,IND,L 17-18,,0,0,,0,,,,,,0.0%,
20,1996,1996-09-01,1,27.255,SFO,,NOR,W 27-11,,2,8,4.00,0,0,0,0,,0,0.0%,
21,1996,1996-09-08,2,27.262,SFO,,STL,W 34-0,,1,8,8.00,0,0,0,0,,0,0.0%,
22,1996,1996-09-22,3,27.276,SFO,@,CAR,L 7-23,,0,0,,0,0,0,0,,0,0.0%,
23,1996,1996-09-29,4,27.283,SFO,,ATL,W 39-17,,1,67,67.00,0,1,0,0,,0,0.0%,0.00
24,1996,1996-10-06,5,27.290,SFO,@,STL,W 28-11,,7,39,5.57,0,2,2,14,7.00,0,100.0%,7.00
25,1996,1996-10-14,6,27.298,SFO,@,GNB,L 20-23,,3,11,3.67,0,0,0,0,,0,0.0%,
26,1996,1996-10-20,7,27.304,SFO,,CIN,W 28-21,,1,-2,-2.00,0,0,0,0,,0,0.0%,
27,1996,1996-10-27,8,27.311,SFO,@,HOU,W 10-9,,1,0,0.00,0,0,0,0,,0,0.0%,
28,1996,1996-11-03,9,27.318,SFO,@,NOR,W 24-17,,1,6,6.00,0,0,0,0,,0,0.0%,
29,1996,1996-11-10,10,27.325,SFO,,DAL,L 17-20,,0,0,,0,,0,0,,0,0.0%,
30,1996,1996-11-17,11,27.332,SFO,,BAL,W 38-20,,0,0,,0,,0,0,,0,0.0%,
31,1996,1996-11-24,12,27.339,SFO,@,WAS,W 19-16,,0,0,,0,,0,0,,0,0.0%,
32,1996,1996-12-02,13,27.347,SFO,@,ATL,W 34-10,,5,13,2.60,0,1,0,0,,0,0.0%,0.00
33,1996,1996-12-08,14,27.353,SFO,,CAR,L 24-30,,0,0,,0,,0,0,,0,0.0%,
34,1996,1996-12-15,15,27.360,SFO,@,PIT,W 25-15,,0,0,,0,,0,0,,0,0.0%,
35,1996,1996-12-23,16,28.002,SFO,,DET,W 24-14,,2,14,7.00,0,0,0,0,,0,0.0%,
36,1997,1997-08-31,1,28.253,DEN,,KAN,W 19-3,,,,,,,0,0,,0,0.0%,
37,1997,1997-09-07,2,28.260,DEN,@,SEA,W 35-14,,,,,,,0,0,,0,0.0%,
38,1997,1997-09-14,3,28.267,DEN,,STL,W 35-14,,,,,,,0,0,,0,0.0%,
39,1997,1997-09-21,4,28.274,DEN,,CIN,W 38-20,,,,,,,0,0,,0,0.0%,
