ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1985,1985-09-08,1,24.025,IND,@,PIT,L 3-45,0,0,,0
2,1985,1985-09-15,2,24.032,IND,@,MIA,L 13-30,0,0,,0
3,1985,1985-09-22,3,24.039,IND,,DET,W 14-6,0,0,,0
4,1985,1985-09-29,4,24.046,IND,@,NYJ,L 20-25,0,0,,0
5,1985,1985-10-06,5,24.053,IND,,BUF,W 49-17,0,0,,0
6,1985,1985-10-13,6,24.060,IND,,DEN,L 10-15,0,0,,0
7,1985,1985-10-20,7,24.067,IND,@,BUF,L 9-21,0,0,,0
8,1985,1985-10-27,8,24.074,IND,,GNB,W 37-10,0,0,,0
9,1985,1985-11-03,9,24.081,IND,,NYJ,L 17-35,0,0,,0
10,1985,1985-11-10,10,24.088,IND,@,NWE,L 15-34,0,0,,0
11,1985,1985-11-17,11,24.095,IND,,MIA,L 20-34,0,0,,0
12,1985,1985-11-24,12,24.102,IND,@,KAN,L 7-20,0,0,,0
13,1985,1985-12-01,13,24.109,IND,,NWE,L 31-38,1,0,0.00,0
14,1985,1985-12-08,14,24.116,IND,@,CHI,L 10-17,0,0,,0
15,1985,1985-12-15,15,24.123,IND,@,TAM,W 31-23,0,0,,0
16,1985,1985-12-22,16,24.130,IND,,HOU,W 34-16,0,0,,0
17,1986,1986-09-07,1,25.024,IND,@,NWE,L 3-33,,,,
18,1986,1986-09-14,2,25.031,IND,@,MIA,L 10-30,,,,
19,1986,1986-09-21,3,25.038,IND,,RAM,L 7-24,,,,
20,1986,1986-09-28,4,25.045,IND,,NYJ,L 7-26,,,,
21,1986,1986-10-05,5,25.052,IND,@,SFO,L 14-35,,,,
22,1986,1986-10-12,6,25.059,IND,,NOR,L 14-17,,,,
23,1986,1986-10-19,7,25.066,IND,@,BUF,L 13-24,,,,
24,1986,1986-10-26,8,25.073,IND,,MIA,L 13-17,,,,
25,1986,1986-11-02,9,25.080,IND,,CLE,L 9-24,,,,
26,1986,1986-11-09,10,25.087,IND,,NWE,L 21-30,,,,
27,1986,1986-11-16,11,25.094,IND,@,NYJ,L 16-31,,,,
28,1986,1986-11-23,12,25.101,IND,@,HOU,L 17-31,,,,
29,1986,1986-11-30,13,25.108,IND,,SDG,L 3-17,,,,
30,1986,1986-12-07,14,25.115,IND,@,ATL,W 28-23,,,,
31,1986,1986-12-14,15,25.122,IND,,BUF,W 24-14,,,,
32,1986,1986-12-21,16,25.129,IND,@,RAI,W 30-24,,,,
33,1987,1987-09-13,1,26.030,IND,,CIN,L 21-23,,,,
34,1987,1987-09-20,2,26.037,IND,,MIA,L 10-23,,,,
35,1987,1987-10-25,6,26.072,IND,,NWE,W 30-16,,,,
36,1987,1987-11-29,11,26.107,IND,,HOU,W 51-27,,,,
37,1987,1987-12-06,12,26.114,IND,@,CLE,W 9-7,,,,
38,1987,1987-12-13,13,26.121,IND,,BUF,L 3-27,,,,
39,1987,1987-12-20,14,26.128,IND,@,SDG,W 20-7,,,,
40,1987,1987-12-27,15,26.135,IND,,TAM,W 24-6,,,,
41,1988,1988-09-04,1,27.021,IND,,HOU,L 14-17,,,,
42,1988,1988-09-11,2,27.028,IND,,CHI,L 13-17,,,,
43,1988,1988-09-19,3,27.036,IND,@,CLE,L 17-23,,,,
44,1988,1988-09-25,4,27.042,IND,,MIA,W 15-13,,,,
45,1988,1988-10-02,5,27.049,IND,@,NWE,L 17-21,,,,
46,1988,1988-10-09,6,27.056,IND,@,BUF,L 23-34,,,,
47,1988,1988-10-16,7,27.063,IND,,TAM,W 35-31,,,,
48,1988,1988-10-23,8,27.070,IND,@,SDG,W 16-0,,,,
49,1988,1988-10-31,9,27.078,IND,,DEN,W 55-23,,,,
50,1988,1988-11-06,10,27.084,IND,,NYJ,W 38-14,,,,
51,1988,1988-11-13,11,27.091,IND,@,GNB,W 20-13,,,,
52,1988,1988-11-20,12,27.098,IND,@,MIN,L 3-12,,,,
53,1988,1988-11-27,13,27.105,IND,,NWE,W 24-21,,,,
54,1988,1988-12-04,14,27.112,IND,@,MIA,W 31-28,,,,
55,1988,1988-12-10,15,27.118,IND,@,NYJ,L 16-34,,,,
56,1988,1988-12-18,16,27.126,IND,,BUF,W 17-14,,,,
57,1989,1989-10-15,6,28.062,IND,@,DEN,L 3-14,,,,
58,1989,1989-10-22,7,28.069,IND,@,CIN,W 23-12,,,,
59,1989,1989-10-29,8,28.076,IND,,NWE,L 20-23,,,,
60,1989,1989-11-05,9,28.083,IND,@,MIA,L 13-19,,,,
61,1989,1989-11-12,10,28.090,IND,@,BUF,L 7-30,,,,
62,1989,1989-11-19,11,28.097,IND,,NYJ,W 27-10,,,,
63,1989,1989-11-26,12,28.104,IND,,SDG,W 10-6,,,,
64,1989,1989-12-03,13,28.111,IND,@,NWE,L 16-22,,,,
65,1989,1989-12-10,14,28.118,IND,,CLE,W 23-17,,,,
66,1989,1989-12-17,15,28.125,NWE,@,PIT,L 10-28,,,,
67,1989,1989-12-24,16,28.132,NWE,,RAM,L 20-24,,,,
