ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2018,2018-09-09,1,23.043,JAX,@,NYG,W 20-15,,7,264,37.71,0
2,2018,2018-09-16,2,23.050,JAX,,NWE,W 31-20,,3,106,35.33,0
3,2018,2018-09-23,3,23.057,JAX,,TEN,L 6-9,,6,273,45.50,0
