ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1999,1999-10-03,4,27.057,ARI,@,DAL,L 7-35,,3,1,11,11.00,0,33.3%,3.67,1,15,15.00,0,4,59,14.75,0,0,0
2,1999,1999-10-10,5,27.064,ARI,,NYG,W 14-3,,1,0,0,,0,0.0%,0.00,0,0,,0,4,52,13.00,0,0,0
3,1999,1999-10-17,6,27.071,ARI,,WAS,L 10-24,,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0
4,1999,1999-10-31,7,27.085,ARI,,NWE,L 3-27,,0,0,0,,0,0.0%,,0,0,,0,3,49,16.33,0,0,0
5,1999,1999-11-07,8,27.092,ARI,@,NYJ,L 7-12,,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,0,0
6,1999,1999-11-14,9,27.099,ARI,,DET,W 23-19,,0,0,0,,0,0.0%,,0,0,,0,5,55,11.00,0,0,0
7,1999,1999-11-21,10,27.106,ARI,,DAL,W 13-9,,0,0,0,,0,0.0%,,0,0,,0,3,35,11.67,0,0,0
8,1999,1999-11-28,11,27.113,ARI,@,NYG,W 34-24,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,4,39,9.75,0,0,0
9,1999,1999-12-05,12,27.120,ARI,,PHI,W 21-17,,3,2,19,9.50,0,66.7%,6.33,0,0,,0,2,14,7.00,0,0,0
10,1999,1999-12-12,13,27.127,ARI,@,WAS,L 3-28,,0,0,0,,0,0.0%,,0,0,,0,2,8,4.00,0,0,0
11,1999,1999-12-19,14,27.134,ARI,,BUF,L 21-31,,0,0,0,,0,0.0%,,0,0,,0,2,45,22.50,0,0,0
12,1999,1999-12-26,15,27.141,ARI,@,ATL,L 14-37,,0,0,0,,0,0.0%,,0,0,,0,2,17,8.50,0,0,0
13,1999,2000-01-02,16,27.148,ARI,@,GNB,L 24-49,,1,1,9,9.00,1,100.0%,9.00,3,61,20.33,0,0,0,,0,1,6
14,2000,2000-09-03,1,28.027,ARI,@,NYG,L 16-21,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,1,16,16.00,0,0,0
15,2000,2000-09-10,2,28.034,ARI,,DAL,W 32-31,,1,1,19,19.00,0,100.0%,19.00,1,18,18.00,0,1,7,7.00,0,0,0
16,2000,2000-09-24,3,28.048,ARI,,GNB,L 3-29,,5,3,44,14.67,0,60.0%,8.80,0,0,,0,1,11,11.00,0,0,0
17,2000,2000-10-01,4,28.055,ARI,@,SFO,L 20-27,,6,3,30,10.00,0,50.0%,5.00,0,0,,0,5,32,6.40,0,0,0
18,2000,2000-10-08,5,28.062,ARI,,CLE,W 29-21,,0,0,0,,0,0.0%,,0,0,,0,5,26,5.20,0,0,0
19,2000,2000-10-15,6,28.069,ARI,,PHI,L 14-33,,2,1,18,18.00,0,50.0%,9.00,0,0,,0,2,8,4.00,0,0,0
20,2000,2000-10-22,7,28.076,ARI,@,DAL,L 7-48,,3,2,24,12.00,0,66.7%,8.00,0,0,,0,1,4,4.00,0,0,0
21,2000,2000-10-29,8,28.083,ARI,,NOR,L 10-21,,3,2,24,12.00,0,66.7%,8.00,0,0,,0,2,9,4.50,0,0,0
22,2000,2000-11-12,10,28.097,ARI,@,MIN,L 14-31,,,,,,,0.0%,,,,,,,,,,,
23,2000,2000-11-19,11,28.104,ARI,@,PHI,L 9-34,,0,0,0,,0,0.0%,,0,0,,0,2,33,16.50,0,0,0
24,2000,2000-11-26,12,28.111,ARI,,NYG,L 7-31,*,3,1,3,3.00,0,33.3%,1.00,0,0,,0,1,9,9.00,0,0,0
25,2000,2000-12-03,13,28.118,ARI,@,CIN,L 13-24,,0,0,0,,0,0.0%,,0,0,,0,4,19,4.75,0,0,0
26,2000,2000-12-10,14,28.125,ARI,@,JAX,L 10-44,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,1,11,11.00,0,0,0
27,2000,2000-12-17,15,28.132,ARI,,BAL,L 7-13,,2,2,31,15.50,0,100.0%,15.50,0,0,,0,3,31,10.33,0,0,0
28,2000,2000-12-24,16,28.139,ARI,@,WAS,L 3-20,,0,0,0,,0,0.0%,,0,0,,0,2,6,3.00,0,0,0
