ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2006,2006-12-10,13,23.286,CAR,,NYG,L 13-27,,2,2,31,15.50,0,100.0%,15.50,0,0,,0
2,2006,2006-12-17,14,23.293,CAR,,PIT,L 3-37,,3,1,6,6.00,0,33.3%,2.00,2,11,5.50,0
