ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-10,1,23.040,PIT,,TEN,W 13-10,,6,3,32,10.67,0,50.0%,5.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
2,2009,2009-09-20,2,23.050,PIT,@,CHI,L 14-17,,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,1,0
3,2009,2009-09-27,3,23.057,PIT,@,CIN,L 20-23,,8,7,102,14.57,0,87.5%,12.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
4,2009,2009-10-04,4,23.064,PIT,,SDG,W 38-28,,3,2,47,23.50,0,66.7%,15.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
5,2009,2009-10-11,5,23.071,PIT,@,DET,W 28-20,,5,2,52,26.00,1,40.0%,10.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
6,2009,2009-10-18,6,23.078,PIT,,CLE,W 27-14,,4,2,50,25.00,0,50.0%,12.50,1,21,21.00,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,1,0
7,2009,2009-10-25,7,23.085,PIT,,MIN,W 27-17,*,4,3,72,24.00,1,75.0%,18.00,2,19,9.50,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
8,2009,2009-11-09,8,23.100,PIT,@,DEN,W 28-10,,8,4,69,17.25,1,50.0%,8.63,1,3,3.00,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
9,2009,2009-11-15,9,23.106,PIT,,CIN,L 12-18,,5,1,16,16.00,0,20.0%,3.20,0,0,,0,0,0,,0,0,0,,,,,,1,26,26.00,0,,0,0,0.0,0,0
10,2009,2009-11-22,10,23.113,PIT,@,KAN,L 24-27,,3,2,47,23.50,0,66.7%,15.67,1,5,5.00,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,1,0
11,2009,2009-11-29,11,23.120,PIT,@,BAL,L 17-20,,4,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2009,2009-12-06,12,23.127,PIT,,OAK,L 24-27,,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
13,2009,2009-12-10,13,23.131,PIT,@,CLE,L 6-13,,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
14,2009,2009-12-20,14,23.141,PIT,,GNB,W 37-36,*,4,2,79,39.50,2,50.0%,19.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0.0,0,0
15,2009,2009-12-27,15,23.148,PIT,,BAL,W 23-20,*,6,3,83,27.67,0,50.0%,13.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
16,2009,2010-01-03,16,23.155,PIT,@,MIA,W 30-24,*,3,2,64,32.00,1,66.7%,21.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
17,2010,2010-09-12,1,24.042,PIT,,ATL,W 15-9,*,5,2,62,31.00,0,40.0%,12.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
18,2010,2010-09-19,2,24.049,PIT,@,TEN,W 19-11,*,4,2,25,12.50,0,50.0%,6.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
19,2010,2010-09-26,3,24.056,PIT,@,TAM,W 38-13,*,4,3,100,33.33,2,75.0%,25.00,1,-1,-1.00,0,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0.0,0,0
20,2010,2010-10-03,4,24.063,PIT,,BAL,L 14-17,*,6,2,24,12.00,0,33.3%,4.00,1,1,1.00,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
21,2010,2010-10-17,5,24.077,PIT,,CLE,W 28-10,*,5,3,90,30.00,1,60.0%,18.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
22,2010,2010-10-24,6,24.084,PIT,@,MIA,W 23-22,*,4,2,53,26.50,1,50.0%,13.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
23,2010,2010-10-31,7,24.091,PIT,@,NOR,L 10-20,*,4,3,43,14.33,0,75.0%,10.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
24,2010,2010-11-08,8,24.099,PIT,@,CIN,W 27-21,*,7,5,110,22.00,1,71.4%,15.71,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
25,2010,2010-11-14,9,24.105,PIT,,NWE,L 26-39,*,11,8,136,17.00,2,72.7%,12.36,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0.0,0,0
26,2010,2010-11-21,10,24.112,PIT,,OAK,W 35-3,*,6,3,116,38.67,1,50.0%,19.33,1,19,19.00,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
27,2010,2010-11-28,11,24.119,PIT,@,BUF,W 19-16,*,5,3,33,11.00,0,60.0%,6.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
28,2010,2010-12-05,12,24.126,PIT,@,BAL,W 13-10,*,7,5,76,15.20,0,71.4%,10.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
29,2010,2010-12-12,13,24.133,PIT,,CIN,W 23-7,*,9,5,78,15.60,0,55.6%,8.67,1,12,12.00,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
30,2010,2010-12-19,14,24.140,PIT,,NYJ,L 17-22,*,10,7,102,14.57,0,70.0%,10.20,1,8,8.00,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
31,2010,2010-12-23,15,24.144,PIT,,CAR,W 27-3,*,6,4,104,26.00,1,66.7%,17.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
32,2010,2011-01-02,16,24.154,PIT,@,CLE,W 41-9,*,5,3,105,35.00,1,60.0%,21.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
33,2011,2011-09-11,1,25.041,PIT,@,BAL,L 7-35,*,11,8,107,13.38,0,72.7%,9.73,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
34,2011,2011-09-18,2,25.048,PIT,,SEA,W 24-0,*,9,8,126,15.75,1,88.9%,14.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
35,2011,2011-09-25,3,25.055,PIT,@,IND,W 23-20,*,7,5,144,28.80,1,71.4%,20.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
36,2011,2011-10-02,4,25.062,PIT,@,HOU,L 10-17,*,4,4,77,19.25,0,100.0%,19.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
37,2011,2011-10-09,5,25.069,PIT,,TEN,W 38-17,*,7,6,82,13.67,1,85.7%,11.71,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,1,0
38,2011,2011-10-16,6,25.076,PIT,,JAX,W 17-13,*,6,2,76,38.00,1,33.3%,12.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
39,2011,2011-10-23,7,25.083,PIT,@,ARI,W 32-20,*,7,3,118,39.33,1,42.9%,16.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
40,2011,2011-10-30,8,25.090,PIT,,NWE,W 25-17,*,7,7,70,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
41,2011,2011-11-06,9,25.097,PIT,,BAL,L 20-23,*,6,4,68,17.00,1,66.7%,11.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
42,2011,2011-11-13,10,25.104,PIT,@,CIN,W 24-17,*,10,6,54,9.00,0,60.0%,5.40,2,31,15.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
43,2011,2011-11-27,11,25.118,PIT,@,KAN,W 13-9,,6,2,17,8.50,0,33.3%,2.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
44,2011,2011-12-04,12,25.125,PIT,,CIN,W 35-7,*,5,3,38,12.67,2,60.0%,7.60,1,-3,-3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0
45,2011,2011-12-08,13,25.129,PIT,,CLE,W 14-3,*,5,4,57,14.25,0,80.0%,11.40,1,21,21.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
46,2011,2011-12-19,14,25.140,PIT,@,SFO,L 3-20,*,12,5,66,13.20,0,41.7%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0
47,2011,2011-12-24,15,25.145,PIT,,STL,W 27-0,,7,4,82,20.50,0,57.1%,11.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
48,2011,2012-01-01,16,25.153,PIT,@,CLE,W 13-9,*,5,1,11,11.00,0,20.0%,2.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
49,2012,2012-09-09,1,26.039,PIT,@,DEN,L 19-31,*,6,4,37,9.25,1,66.7%,6.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
50,2012,2012-09-16,2,26.046,PIT,,NYJ,W 27-10,*,5,5,74,14.80,1,100.0%,14.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
51,2012,2012-09-23,3,26.053,PIT,@,OAK,L 31-34,*,11,8,123,15.38,1,72.7%,11.18,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
52,2012,2012-10-07,4,26.067,PIT,,PHI,W 16-14,*,8,2,17,8.50,0,25.0%,2.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
53,2012,2012-10-11,5,26.071,PIT,@,TEN,L 23-26,*,4,2,94,47.00,1,50.0%,23.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
54,2012,2012-10-21,6,26.081,PIT,@,CIN,W 24-17,*,15,8,52,6.50,0,53.3%,3.47,2,7,3.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
55,2012,2012-10-28,7,26.088,PIT,,WAS,W 27-12,*,9,7,62,8.86,0,77.8%,6.89,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
56,2012,2012-11-04,8,26.095,PIT,@,NYG,W 24-20,*,5,3,66,22.00,1,60.0%,13.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
57,2012,2012-11-12,9,26.103,PIT,,KAN,W 16-13,*,8,3,14,4.67,1,37.5%,1.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
58,2012,2012-11-18,10,26.109,PIT,,BAL,L 10-13,*,7,4,24,6.00,0,57.1%,3.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
59,2012,2012-11-25,11,26.116,PIT,@,CLE,L 14-20,*,7,1,9,9.00,0,14.3%,1.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
60,2012,2012-12-02,12,26.123,PIT,@,BAL,W 23-20,*,8,5,44,8.80,0,62.5%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
61,2012,2012-12-09,13,26.130,PIT,,SDG,L 24-34,*,11,7,112,16.00,2,63.6%,10.18,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0
62,2012,2012-12-16,14,26.137,PIT,@,DAL,L 24-27,*,10,4,95,23.75,0,40.0%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
63,2012,2012-12-23,15,26.144,PIT,,CIN,L 10-13,,5,1,13,13.00,0,20.0%,2.60,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
64,2013,2013-09-08,1,27.038,MIA,@,CLE,W 23-10,*,5,1,15,15.00,0,20.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
65,2013,2013-09-15,2,27.045,MIA,@,IND,W 24-20,*,11,9,115,12.78,1,81.8%,10.45,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
66,2013,2013-09-22,3,27.052,MIA,,ATL,W 27-23,*,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
67,2013,2013-09-30,4,27.060,MIA,@,NOR,L 17-38,*,7,3,24,8.00,0,42.9%,3.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0
68,2013,2013-10-06,5,27.066,MIA,,BAL,L 23-26,*,16,7,105,15.00,0,43.8%,6.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
69,2013,2013-10-20,6,27.080,MIA,,BUF,L 21-23,*,10,5,76,15.20,0,50.0%,7.60,1,12,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
70,2013,2013-10-27,7,27.087,MIA,@,NWE,L 17-27,*,10,3,41,13.67,0,30.0%,4.10,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
71,2013,2013-10-31,8,27.091,MIA,,CIN,W 22-20,*,8,6,82,13.67,0,75.0%,10.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
72,2013,2013-11-11,9,27.102,MIA,@,TAM,L 19-22,*,7,4,15,3.75,0,57.1%,2.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0
73,2013,2013-11-17,10,27.108,MIA,,SDG,W 20-16,*,6,4,39,9.75,0,66.7%,6.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
74,2013,2013-11-24,11,27.115,MIA,,CAR,L 16-20,*,10,5,127,25.40,1,50.0%,12.70,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
75,2013,2013-12-01,12,27.122,MIA,@,NYJ,W 23-3,*,9,7,82,11.71,1,77.8%,9.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,1,0
76,2013,2013-12-08,13,27.129,MIA,@,PIT,W 34-28,*,5,2,19,9.50,0,40.0%,3.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
77,2013,2013-12-15,14,27.136,MIA,,NWE,W 24-20,*,9,6,105,17.50,1,66.7%,11.67,1,13,13.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
78,2013,2013-12-22,15,27.143,MIA,@,BUF,L 0-19,*,11,4,38,9.50,0,36.4%,3.45,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0
79,2013,2013-12-29,16,27.150,MIA,,NYJ,L 7-20,*,12,5,25,5.00,1,41.7%,2.08,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,1,0
80,2014,2014-09-07,1,28.037,MIA,,NWE,W 33-20,*,11,7,81,11.57,1,63.6%,7.36,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,1,0
81,2014,2014-09-14,2,28.044,MIA,@,BUF,L 10-29,*,8,5,56,11.20,1,62.5%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
82,2014,2014-09-21,3,28.051,MIA,,KAN,L 15-34,*,12,5,74,14.80,0,41.7%,6.17,1,12,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
83,2014,2014-09-28,4,28.058,MIA,@,OAK,W 38-14,*,4,3,35,11.67,1,75.0%,8.75,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
84,2014,2014-10-12,5,28.072,MIA,,GNB,L 24-27,*,9,5,67,13.40,1,55.6%,7.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
85,2014,2014-10-19,6,28.079,MIA,@,CHI,W 27-14,*,8,5,46,9.20,1,62.5%,5.75,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
86,2014,2014-10-26,7,28.086,MIA,@,JAX,W 27-13,*,7,2,59,29.50,0,28.6%,8.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
87,2014,2014-11-02,8,28.093,MIA,,SDG,W 37-0,*,8,3,50,16.67,0,37.5%,6.25,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,0,0,0.0,0,0
