ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2011,2011-09-08,1,22.363,GNB,,NOR,W 42-34,,,,,,,0.0%,,,,,,,,
2,2011,2011-09-18,2,23.008,GNB,@,CAR,W 30-23,,,,,,,0.0%,,,,,,,,
3,2011,2011-09-25,3,23.015,GNB,@,CHI,W 27-17,,,,,,,0.0%,,,,,,,,
4,2011,2011-10-02,4,23.022,GNB,,DEN,W 49-23,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
5,2011,2011-10-09,5,23.029,GNB,@,ATL,W 25-14,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0.0,0,0
6,2011,2011-10-16,6,23.036,GNB,,STL,W 24-3,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
7,2011,2011-10-23,7,23.043,GNB,@,MIN,W 33-27,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
8,2011,2011-11-06,8,23.057,GNB,@,SDG,W 45-38,,,,,,,0.0%,,,,,,,,
9,2011,2011-11-14,9,23.065,GNB,,MIN,W 45-7,,,,,,,0.0%,,,,,,,,
10,2011,2011-12-11,13,23.092,GNB,,OAK,W 46-16,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
11,2011,2011-12-18,14,23.099,GNB,@,KAN,L 14-19,,,,,,,0.0%,,,,,,,,
12,2011,2011-12-25,15,23.106,GNB,,CHI,W 35-21,,,,,,,0.0%,,,,,,,,
13,2011,2012-01-01,16,23.113,GNB,,DET,W 45-41,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0.0,0,0
14,2012,2012-09-09,1,23.365,GNB,,SFO,L 22-30,,,,,,,0.0%,,,,,,,,
15,2012,2012-09-13,2,24.003,GNB,,CHI,W 23-10,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0.0,0,0
16,2012,2012-09-24,3,24.014,GNB,@,SEA,L 12-14,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0.0,0,0
17,2012,2012-10-07,5,24.027,GNB,@,IND,L 27-30,*,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0.0,0,0
18,2012,2012-10-21,7,24.041,GNB,@,STL,W 30-20,,,,,,,0.0%,,,,,,,,
19,2012,2012-10-28,8,24.048,GNB,,JAX,W 24-15,*,2,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
20,2012,2012-11-04,9,24.055,GNB,,ARI,W 31-17,,,,,,,0.0%,,,,,,,,
21,2012,2012-11-18,10,24.069,GNB,@,DET,W 24-20,,0,,,,,0.0%,,,,,,,,
22,2012,2012-11-25,11,24.076,GNB,@,NYG,L 10-38,,1,0,0,,0,0.0%,0.00,1,12,12.00,0,0.0,0,0
23,2012,2012-12-02,12,24.083,GNB,,MIN,W 23-14,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
24,2012,2012-12-09,13,24.090,GNB,,DET,W 27-20,,0,0,0,,0,0.0%,,1,12,12.00,0,0.0,0,0
25,2012,2012-12-23,15,24.104,GNB,,TEN,W 55-7,,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0.0,0,0
26,2012,2012-12-30,16,24.111,GNB,@,MIN,L 34-37,,2,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
27,2013,2013-09-08,1,24.363,JAX,,KAN,L 2-28,,,,,,,0.0%,,,,,,,,
28,2013,2013-09-15,2,25.005,JAX,@,OAK,L 9-19,,0,,,,,0.0%,,,,,,,,
29,2013,2013-09-22,3,25.012,JAX,@,SEA,L 17-45,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
30,2013,2013-10-06,5,25.026,JAX,@,STL,L 20-34,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,1,0
31,2013,2013-10-13,6,25.033,JAX,@,DEN,L 19-35,*,,,,,,0.0%,,,,,,,,
32,2013,2013-10-20,7,25.040,JAX,,SDG,L 6-24,,,,,,,0.0%,,,,,,,,
33,2013,2013-10-27,8,25.047,JAX,,SFO,L 10-42,,,,,,,0.0%,,,,,,,,
34,2013,2013-12-01,12,25.082,NWE,@,HOU,W 34-31,,,,,,,0.0%,,,,,,,,
35,2013,2013-12-29,16,25.110,NWE,,BUF,W 34-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
