ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks
1,2000,2000-10-08,6,24.144,MIA,,BUF,W 22-13,,
2,2000,2000-11-05,9,24.172,MIA,@,DET,W 23-8,,
3,2001,2001-09-09,1,25.115,MIA,@,TEN,W 31-23,,
4,2001,2001-09-23,2,25.129,MIA,,OAK,W 18-15,,
5,2001,2001-11-11,8,25.178,MIA,@,IND,W 27-24,,
6,2001,2001-11-18,9,25.185,MIA,,NYJ,L 0-24,*,
7,2001,2001-11-25,10,25.192,MIA,@,BUF,W 34-27,*,
8,2001,2001-12-02,11,25.199,MIA,,DEN,W 21-10,,
9,2001,2001-12-10,12,25.207,MIA,,IND,W 41-6,,
10,2001,2001-12-16,13,25.213,MIA,@,SFO,L 0-21,,
11,2001,2001-12-22,14,25.219,MIA,@,NWE,L 13-20,,0.5
12,2001,2001-12-30,15,25.227,MIA,,ATL,W 21-14,,
13,2001,2002-01-06,16,25.234,MIA,,BUF,W 34-7,*,
14,2002,2002-10-20,6,26.156,CHI,@,DET,L 20-23,,
15,2002,2002-10-27,7,26.163,CHI,@,MIN,L 7-25,,
16,2002,2002-11-03,8,26.170,CHI,,PHI,L 13-19,,
17,2002,2002-11-10,9,26.177,CHI,,NWE,L 30-33,,
18,2002,2002-11-18,10,26.185,CHI,@,STL,L 16-21,,
19,2002,2002-11-24,11,26.191,CHI,,DET,W 20-17,,
20,2002,2002-12-01,12,26.198,CHI,@,GNB,L 20-30,,
21,2002,2002-12-09,13,26.206,CHI,@,MIA,L 9-27,,
22,2002,2002-12-15,14,26.212,CHI,,NYJ,W 20-13,,
23,2002,2002-12-22,15,26.219,CHI,@,CAR,L 14-24,,
24,2002,2002-12-29,16,26.226,CHI,,TAM,L 0-15,,
