ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1974,1974-09-15,1,23.241,CHI,,DET,W 17-9,,,,,,,,,,,,
2,1974,1974-09-22,2,23.248,CHI,,NYJ,L 21-23,,,,,,,,,,,,
3,1974,1974-09-29,3,23.255,CHI,@,MIN,L 7-11,2,9,4.50,0,1,15,15.00,0,0,0,,0
4,1974,1974-10-06,4,23.262,CHI,,NOR,W 24-10,,,,,,,,,,,,
5,1974,1974-10-13,5,23.269,CHI,@,ATL,L 10-13,,,,,,,,,,,,
6,1974,1974-10-21,6,23.277,CHI,,GNB,W 10-9,,,,,,,,,,,,
7,1974,1974-10-27,7,23.283,CHI,@,BUF,L 6-16,,,,,,,,,,,,
8,1974,1974-11-03,8,23.290,CHI,,MIN,L 0-17,,,,,,,,,,,,
9,1974,1974-11-10,9,23.297,CHI,@,GNB,L 3-20,0,0,,0,0,0,,0,1,16,16.00,0
10,1974,1974-11-17,10,23.304,CHI,,SFO,L 0-34,2,11,5.50,0,0,0,,0,0,0,,0
11,1974,1974-11-24,11,23.311,CHI,@,DET,L 17-34,0,0,,0,0,0,,0,1,16,16.00,0
12,1974,1974-12-08,13,23.325,CHI,@,SDG,L 21-28,,,,,,,,,,,,
13,1974,1974-12-15,14,23.332,CHI,@,WAS,L 0-42,,,,,,,,,,,,
