ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1978,1978-09-03,1,24.080,SFO,@,CLE,L 7-24,,,,,,
2,1978,1978-09-17,3,24.094,SFO,@,HOU,L 19-20,,,,,,
3,1978,1978-09-24,4,24.101,SFO,@,NYG,L 10-27,1,17,17.00,0,0,0
4,1978,1978-10-01,5,24.108,SFO,,CIN,W 28-12,2,23,11.50,1,1,6
5,1978,1978-10-08,6,24.115,SFO,@,RAM,L 10-27,,,,,,
6,1978,1978-10-15,7,24.122,SFO,,NOR,L 7-14,2,25,12.50,0,0,0
7,1978,1978-10-22,8,24.129,SFO,,ATL,L 17-20,2,25,12.50,0,0,0
8,1978,1978-10-29,9,24.136,SFO,@,WAS,L 20-38,1,32,32.00,0,0,0
9,1978,1978-11-05,10,24.143,SFO,@,ATL,L 10-21,1,-7,-7.00,0,0,0
10,1978,1978-11-26,13,24.164,GNB,,MIN,T 10-10,,,,,,
11,1978,1978-12-10,15,24.178,GNB,@,CHI,L 0-14,,,,,,
