ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1999,1999-09-12,1,22.322,GNB,,OAK,W 28-24,,0,0,,0,0.0,,,4,157,39.25,0
2,2001,2001-09-09,1,24.319,JAX,,PIT,W 21-3,,1,0,0.00,0,0.0,,,6,274,45.67,0
3,2001,2001-09-23,2,24.333,JAX,,TEN,W 13-6,,0,0,,0,0.0,,,5,240,48.00,0
4,2001,2001-09-30,3,24.340,JAX,,CLE,L 14-23,,0,0,,0,0.0,,,6,287,47.83,0
5,2001,2001-10-07,4,24.347,JAX,@,SEA,L 15-24,,0,0,,0,0.0,,,4,178,44.50,0
6,2001,2001-10-18,5,24.358,JAX,,BUF,L 10-13,,1,0,0.00,0,0.0,,,5,225,45.00,0
7,2001,2001-10-28,6,25.003,JAX,@,BAL,L 17-18,,0,0,,0,0.0,,,3,130,43.33,0
8,2001,2001-11-04,7,25.010,JAX,@,TEN,L 24-28,,0,0,,0,0.0,,,5,221,44.20,0
9,2001,2001-11-11,8,25.017,JAX,,CIN,W 30-13,,0,0,,0,0.0,,,8,359,44.88,0
10,2001,2001-11-18,9,25.024,JAX,@,PIT,L 7-20,,0,0,,0,0.0,,,7,326,46.57,0
11,2001,2001-11-25,10,25.031,JAX,,BAL,L 21-24,,0,0,,0,0.0,,,7,283,40.43,0
12,2001,2001-12-03,11,25.039,JAX,,GNB,L 21-28,,0,0,,0,0.0,,,6,245,40.83,0
13,2001,2001-12-09,12,25.045,JAX,@,CIN,W 14-10,,0,0,,0,0.0,,,7,277,39.57,0
14,2001,2001-12-16,13,25.052,JAX,@,CLE,W 15-10,,0,0,,0,0.0,,,3,133,44.33,0
15,2001,2001-12-23,14,25.059,JAX,@,MIN,W 33-3,,0,0,,0,0.0,,,1,53,53.00,0
16,2001,2001-12-30,15,25.066,JAX,,KAN,L 26-30,,0,0,,0,0.0,,,4,171,42.75,0
17,2001,2002-01-06,16,25.073,JAX,@,CHI,L 13-33,,0,0,,0,0.0,,,5,175,35.00,0
18,2002,2002-09-08,1,25.318,JAX,,IND,L 25-28,,0,0,,0,0.0,,,3,156,52.00,0
19,2002,2002-09-15,2,25.325,JAX,@,KAN,W 23-16,,0,0,,0,0.0,,,4,162,40.50,0
20,2002,2002-09-29,3,25.339,JAX,,NYJ,W 28-3,,0,0,,0,0.0,,,5,266,53.20,0
21,2002,2002-10-06,4,25.346,JAX,,PHI,W 28-25,,0,0,,0,0.0,,,5,223,44.60,0
22,2002,2002-10-13,5,25.353,JAX,@,TEN,L 14-23,,0,0,,0,0.0,,,4,198,49.50,0
23,2002,2002-10-20,6,25.360,JAX,@,BAL,L 10-17,,0,0,,0,0.0,,,4,153,38.25,0
