ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1985,1985-09-08,1,24.137,NYG,,PHI,W 21-0,9,34,3.78,0,,1,1,1.00,0,,,0,0
2,1985,1985-09-15,2,24.144,NYG,@,GNB,L 20-23,2,3,1.50,0,,0,0,,0,,,0,0
3,1985,1985-09-22,3,24.151,NYG,,STL,W 27-17,3,6,2.00,0,,0,0,,0,,,0,0
4,1985,1985-09-29,4,24.158,NYG,@,PHI,W 16-10,0,0,,0,,1,9,9.00,0,,,0,0
5,1985,1985-10-06,5,24.165,NYG,,DAL,L 29-30,0,0,,0,,0,0,,0,,,0,
6,1985,1985-10-13,6,24.172,NYG,@,CIN,L 30-35,1,2,2.00,0,,2,19,9.50,0,,,0,0
7,1985,1985-10-20,7,24.179,NYG,,WAS,W 17-3,0,0,,0,,0,0,,0,,,0,
8,1985,1985-10-27,8,24.186,NYG,@,NOR,W 21-13,1,0,0.00,0,,1,7,7.00,0,,,0,0
9,1985,1985-11-03,9,24.193,NYG,,TAM,W 22-20,1,3,3.00,0,,0,0,,0,,,0,0
10,1985,1985-11-10,10,24.200,NYG,,RAM,W 24-19,0,0,,0,,0,0,,0,,,0,
11,1985,1985-11-18,11,24.208,NYG,@,WAS,L 21-23,1,0,0.00,0,,0,0,,0,,,0,0
12,1985,1985-11-24,12,24.214,NYG,@,STL,W 34-3,1,3,3.00,0,,0,0,,0,,,0,0
13,1985,1985-12-01,13,24.221,NYG,,CLE,L 33-35,2,7,3.50,0,,1,22,22.00,0,,,0,0
14,1985,1985-12-08,14,24.228,NYG,@,HOU,W 35-14,4,12,3.00,0,,1,17,17.00,0,,,0,0
15,1985,1985-12-15,15,24.235,NYG,@,DAL,L 21-28,0,0,,0,,1,6,6.00,0,,,0,0
16,1985,1985-12-21,16,24.241,NYG,,PIT,W 28-10,2,0,0.00,0,,0,0,,0,,,0,0
17,1986,1986-09-08,1,25.137,NYG,@,DAL,L 28-31,3,8,2.67,0,,0,0,,0,,,0,0
18,1986,1986-09-14,2,25.143,NYG,,SDG,W 20-7,8,23,2.88,0,,1,4,4.00,0,,,0,0
19,1986,1986-09-21,3,25.150,NYG,@,RAI,W 14-9,3,12,4.00,0,,0,0,,0,,,0,0
20,1986,1986-09-28,4,25.157,NYG,,NOR,W 20-17,4,12,3.00,0,,2,7,3.50,0,,,0,0
21,1986,1986-10-05,5,25.164,NYG,@,STL,W 13-6,2,9,4.50,0,,1,3,3.00,0,,,0,0
22,1986,1986-10-12,6,25.171,NYG,,PHI,W 35-3,7,43,6.14,0,,1,3,3.00,0,,,0,0
23,1986,1986-10-19,7,25.178,NYG,@,SEA,L 12-17,10,35,3.50,0,,1,-2,-2.00,0,,,0,0
24,1986,1986-10-27,8,25.186,NYG,,WAS,W 27-20,2,7,3.50,0,,0,0,,0,,,0,0
25,1986,1986-11-02,9,25.192,NYG,,DAL,W 17-14,2,10,5.00,0,,0,0,,0,,,0,0
26,1986,1986-11-09,10,25.199,NYG,@,PHI,W 17-14,7,31,4.43,0,,0,0,,0,,,0,0
27,1986,1986-11-16,11,25.206,NYG,@,MIN,W 22-20,3,1,0.33,0,,3,14,4.67,0,,,0,0
28,1986,1986-11-23,12,25.213,NYG,,DEN,W 19-16,3,1,0.33,0,,2,13,6.50,0,,,0,0
29,1986,1986-12-01,13,25.221,NYG,@,SFO,W 21-17,1,1,1.00,0,,3,13,4.33,0,,,0,0
30,1986,1986-12-07,14,25.227,NYG,@,WAS,W 24-14,2,4,2.00,0,,1,8,8.00,0,,,0,0
31,1986,1986-12-14,15,25.234,NYG,,STL,W 27-7,8,34,4.25,0,,0,0,,0,,,0,0
32,1986,1986-12-20,16,25.240,NYG,,GNB,W 55-24,7,29,4.14,0,,1,4,4.00,0,,,0,0
33,1987,1987-09-14,1,26.143,NYG,@,CHI,L 19-34,2,4,2.00,0,,1,7,7.00,0,,,0,0
34,1987,1987-09-20,2,26.149,NYG,,DAL,L 14-16,2,3,1.50,0,,0,0,,0,,,0,0
35,1987,1987-10-25,6,26.184,NYG,,STL,W 30-7,5,17,3.40,0,,0,0,,0,,,0,0
36,1987,1987-11-02,7,26.192,NYG,@,DAL,L 24-33,0,0,,0,,0,0,,0,,,0,
37,1987,1987-11-08,8,26.198,NYG,,NWE,W 17-10,0,0,,0,,0,0,,0,,,0,
