ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1985,1985-09-15,2,22.074,DAL,@,DET,L 21-26,,,
2,1985,1985-09-22,3,22.081,DAL,,CLE,W 20-7,,,
3,1985,1985-09-29,4,22.088,DAL,@,HOU,W 17-10,,,
4,1985,1985-10-06,5,22.095,DAL,@,NYG,W 30-29,,,
5,1985,1985-10-13,6,22.102,DAL,,PIT,W 27-13,,,
6,1985,1985-10-20,7,22.109,DAL,@,PHI,L 14-16,,,
7,1985,1985-10-27,8,22.116,DAL,,ATL,W 24-10,,,
8,1985,1985-11-04,9,22.124,DAL,@,STL,L 10-21,,,
9,1985,1985-11-17,11,22.137,TAM,@,NYJ,L 28-62,,,
10,1985,1985-11-24,12,22.144,TAM,,DET,W 19-16,,,
11,1985,1985-12-01,13,22.151,TAM,@,GNB,L 0-21,,,
12,1985,1985-12-08,14,22.158,TAM,@,MIN,L 7-26,,,
13,1985,1985-12-15,15,22.165,TAM,,IND,L 23-31,,,
14,1985,1985-12-22,16,22.172,TAM,,GNB,L 17-20,,,
15,1986,1986-09-07,1,23.066,TAM,,SFO,L 7-31,,,
16,1986,1986-09-14,2,23.073,TAM,,MIN,L 10-23,,,
17,1986,1986-09-21,3,23.080,TAM,@,DET,W 24-20,,,
18,1986,1986-10-05,5,23.094,TAM,@,RAM,L 20-26,,,
19,1986,1986-10-12,6,23.101,TAM,,STL,L 19-30,,,
20,1986,1986-10-19,7,23.108,TAM,@,NOR,L 7-38,,,
21,1986,1986-10-26,8,23.115,TAM,@,KAN,L 20-27,,,
22,1986,1986-11-09,10,23.129,TAM,,CHI,L 3-23,1,0,0
23,1986,1986-12-21,16,23.171,TAM,@,STL,L 17-21,,,
