ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-12-05,12,24.021,MIN,,BUF,W 38-14,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0.0%,,1,30,30.00,0,0,0,0.0,0,0
2,2010,2010-12-13,13,24.029,MIN,,NYG,L 3-21,,2,5,40.00,8,0,0,47.9,0,0,1.60,1.60,1,16,16.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
3,2010,2010-12-20,14,24.036,MIN,,CHI,L 14-40,,15,26,57.69,129,0,2,38.8,3,21,4.96,1.50,6,38,6.33,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,0,0
4,2010,2010-12-28,15,24.044,MIN,@,PHI,W 24-14,*,17,26,65.38,195,0,0,87.8,2,19,7.50,7.50,6,31,5.17,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,0,0
5,2010,2011-01-02,16,24.049,MIN,@,DET,L 13-20,*,20,32,62.50,145,0,1,60.0,3,8,4.53,3.13,5,35,7.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
6,2011,2011-09-11,1,24.301,MIN,@,SDG,L 17-24,,0,0,,0,0,0,,0,0,,,1,-2,-2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
7,2011,2011-09-25,3,24.315,MIN,,DET,L 23-26,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,
8,2011,2011-10-02,4,24.322,MIN,@,KAN,L 17-22,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,
9,2011,2011-10-16,6,24.336,MIN,@,CHI,L 10-39,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
10,2011,2011-10-30,8,24.350,MIN,@,CAR,W 24-21,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,
11,2011,2011-11-14,9,25.000,MIN,@,GNB,L 7-45,,0,0,,0,0,0,,0,0,,,1,6,6.00,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,0
12,2011,2011-12-04,12,25.020,MIN,,DEN,L 32-35,*,1,1,100.00,8,0,0,100.0,0,0,8.00,8.00,1,4,4.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
13,2011,2011-12-11,13,25.027,MIN,@,DET,L 28-34,,12,23,52.17,84,1,0,75.3,1,15,3.65,4.52,7,109,15.57,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,0,0
14,2011,2011-12-18,14,25.034,MIN,,NOR,L 20-42,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,0,0.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
15,2011,2011-12-24,15,25.040,MIN,@,WAS,W 33-26,,4,5,80.00,84,2,0,158.3,1,3,16.80,24.80,5,34,6.80,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,0,0
16,2011,2012-01-01,16,25.048,MIN,,CHI,L 13-17,,17,32,53.13,200,0,2,46.4,1,3,6.25,3.44,4,2,0.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
17,2012,2012-10-07,5,25.328,MIN,,TEN,W 30-7,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
18,2013,2013-09-08,1,26.298,MIN,@,DET,L 24-34,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,
19,2013,2013-09-15,2,26.305,MIN,@,CHI,L 30-31,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,
20,2013,2013-09-22,3,26.312,MIN,,CLE,L 27-31,,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
21,2013,2013-09-29,4,26.319,MIN,,PIT,W 34-27,,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,1,0
22,2013,2013-10-13,5,26.333,MIN,,CAR,L 10-35,,0,0,,0,0,0,,0,0,,,0,0,,0,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0,0.0,0,0
23,2013,2013-10-21,6,26.341,MIN,@,NYG,L 7-23,,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
24,2013,2013-10-27,7,26.347,MIN,,GNB,L 31-44,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,
25,2013,2013-11-03,8,26.354,MIN,@,DAL,L 23-27,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,
26,2013,2013-11-07,9,26.358,MIN,,WAS,W 34-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,1,9,9.00,0,0,0,0.0,0,0
27,2013,2013-11-17,10,27.003,MIN,@,SEA,L 20-41,,0,0,,0,0,0,,0,0,,,0,0,,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,0.0,0,0
28,2013,2013-11-24,11,27.010,MIN,@,GNB,T 26-26,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,
29,2013,2013-12-01,12,27.017,MIN,,CHI,W 23-20,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,
30,2013,2013-12-08,13,27.024,MIN,@,BAL,L 26-29,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,
31,2013,2013-12-15,14,27.031,MIN,,PHI,W 48-30,,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,1,0
32,2013,2013-12-22,15,27.038,MIN,@,CIN,L 14-42,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,
33,2013,2013-12-29,16,27.045,MIN,,DET,W 14-13,*,,,,,,,,,,,,,,,,0,,,,,0.0%,,,,,,,,,,
34,2014,2014-10-26,8,27.346,CAR,,SEA,L 9-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,1,27,27.00,0,0,0,0.0,0,0
35,2014,2014-10-30,9,27.350,CAR,,NOR,L 10-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,1,26,26.00,0,0,0,0.0,0,0
36,2014,2014-11-10,10,27.361,CAR,@,PHI,L 21-45,,0,0,,0,0,0,,0,0,,,0,0,,0,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0,0.0,0,0
37,2014,2014-11-16,11,28.002,CAR,,ATL,L 17-19,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,
38,2014,2014-12-07,13,28.023,CAR,@,NOR,W 41-10,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,
39,2014,2014-12-21,15,28.037,CAR,,CLE,W 17-13,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,
40,2014,2014-12-28,16,28.044,CAR,@,ATL,W 34-3,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
41,2015,2015-09-13,1,28.303,CAR,@,JAX,W 20-9,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
42,2015,2015-09-20,2,28.310,CAR,,HOU,W 24-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
43,2015,2015-09-27,3,28.317,CAR,,NOR,W 27-22,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,1,15,15.00,0,0,0,0.0,0,0
44,2015,2015-10-04,4,28.324,CAR,@,TAM,W 37-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
45,2015,2015-10-18,5,28.338,CAR,@,SEA,W 27-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
46,2015,2015-10-25,6,28.345,CAR,,PHI,W 27-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
47,2015,2015-11-02,7,28.353,CAR,,IND,W 29-26,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
48,2015,2015-11-08,8,28.359,CAR,,GNB,W 37-29,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,0,0,0,,0,0.0%,,1,25,25.00,0,0,0,0.0,0,0
49,2015,2015-11-15,9,29.001,CAR,@,TEN,W 27-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
50,2015,2015-11-22,10,29.008,CAR,,WAS,W 44-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,1,23,23.00,0,0,0,0.0,0,0
51,2015,2015-11-26,11,29.012,CAR,@,DAL,W 33-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
52,2015,2015-12-06,12,29.022,CAR,@,NOR,W 41-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
53,2015,2015-12-13,13,29.029,CAR,,ATL,W 38-0,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
54,2015,2015-12-20,14,29.036,CAR,@,NYG,W 38-35,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,3,64,21.33,0,0,0,0.0,0,0
55,2015,2015-12-27,15,29.043,CAR,@,ATL,L 13-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
