ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2011,2011-09-11,1,22.138,CLE,,CIN,L 17-27,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
2,2011,2011-09-18,2,22.145,CLE,@,IND,W 27-19,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
3,2011,2011-09-25,3,22.152,CLE,,MIA,W 17-16,,1,23,23.00,0,0,0,,0,0.0,0,0,0,0,0
4,2011,2011-10-02,4,22.159,CLE,,TEN,L 13-31,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
5,2011,2011-10-16,5,22.173,CLE,@,OAK,L 17-24,,,,,,,,,,,,,,,
6,2011,2011-10-23,6,22.180,CLE,,SEA,W 6-3,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
7,2011,2011-10-30,7,22.187,CLE,@,SFO,L 10-20,,0,0,,0,0,0,,0,0.0,1,1,0,0,0
8,2011,2011-11-06,8,22.194,CLE,@,HOU,L 12-30,,0,0,,0,0,0,,0,0.0,1,1,0,0,0
9,2011,2011-11-13,9,22.201,CLE,,STL,L 12-13,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
10,2011,2011-11-20,10,22.208,CLE,,JAX,W 14-10,,,,,,,,,,,,,,,
11,2011,2011-11-27,11,22.215,CLE,@,CIN,L 20-23,,,,,,,,,,,,,,,
12,2011,2011-12-04,12,22.222,CLE,,BAL,L 10-24,,,,,,,,,,,,,,,
13,2011,2011-12-08,13,22.226,CLE,@,PIT,L 3-14,,1,17,17.00,0,0,0,,0,0.0,0,0,0,0,0
14,2011,2011-12-18,14,22.236,CLE,@,ARI,L 17-20,,1,32,32.00,0,0,0,,0,0.0,1,0,1,5,0
15,2011,2011-12-24,15,22.242,CLE,@,BAL,L 14-20,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
16,2011,2012-01-01,16,22.250,CLE,,PIT,L 9-13,,0,0,,0,0,0,,0,0.0,2,1,0,0,0
17,2012,2012-09-09,1,23.136,CLE,,PHI,L 16-17,,0,0,,0,0,0,,0,0.0,7,0,0,0,0
18,2012,2012-09-16,2,23.143,CLE,@,CIN,L 27-34,*,0,0,,0,0,0,,0,0.0,7,0,0,0,0
19,2012,2012-09-23,3,23.150,CLE,,BUF,L 14-24,*,0,0,,0,0,0,,0,0.0,3,0,0,0,0
20,2012,2012-09-27,4,23.154,CLE,@,BAL,L 16-23,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
21,2012,2012-10-07,5,23.164,CLE,@,NYG,L 27-41,,0,0,,0,0,0,,0,0.0,6,0,0,0,0
22,2012,2012-10-14,6,23.171,CLE,,CIN,W 34-24,,0,0,,0,0,0,,0,0.0,8,2,0,0,0
23,2012,2012-10-21,7,23.178,CLE,@,IND,L 13-17,,0,0,,0,0,0,,0,0.0,6,1,0,0,0
24,2012,2012-10-28,8,23.185,CLE,,SDG,W 7-6,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
25,2012,2012-11-04,9,23.192,CLE,,BAL,L 15-25,,0,0,,0,0,0,,0,0.0,3,0,0,0,0
26,2012,2012-11-18,10,23.206,CLE,@,DAL,L 20-23,*,0,0,,0,0,0,,0,0.0,6,2,0,0,0
27,2012,2012-11-25,11,23.213,CLE,,PIT,W 20-14,*,0,0,,0,0,0,,0,0.0,1,2,0,0,0
28,2012,2012-12-02,12,23.220,CLE,@,OAK,W 20-17,,0,0,,0,0,0,,0,0.0,3,0,0,0,0
29,2012,2012-12-09,13,23.227,CLE,,KAN,W 30-7,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
30,2012,2012-12-16,14,23.234,CLE,,WAS,L 21-38,,,,,,,,,,,,,,,
31,2012,2012-12-23,15,23.241,CLE,@,DEN,L 12-34,*,0,0,,0,0,0,,0,0.0,8,1,0,0,0
32,2012,2012-12-30,16,23.248,CLE,@,PIT,L 10-24,*,0,0,,0,0,0,,0,0.0,1,0,0,0,0
33,2013,2013-09-08,1,24.135,CLE,,MIA,L 10-23,,0,0,,0,0,0,,0,0.0,6,1,0,0,0
34,2013,2013-09-15,2,24.142,CLE,@,BAL,L 6-14,*,0,0,,0,0,0,,0,0.0,7,2,0,0,0
35,2013,2013-09-22,3,24.149,CLE,@,MIN,W 31-27,*,0,0,,0,0,0,,0,0.0,4,0,0,0,0
36,2013,2013-09-29,4,24.156,CLE,,CIN,W 17-6,*,0,0,,0,0,0,,0,0.0,2,0,1,5,0
37,2013,2013-10-03,5,24.160,CLE,,BUF,W 37-24,*,0,0,,0,0,0,,0,1.0,6,0,0,0,0
38,2013,2013-10-13,6,24.170,CLE,,DET,L 17-31,*,0,0,,0,0,0,,0,0.0,4,0,0,0,0
39,2013,2013-10-20,7,24.177,CLE,@,GNB,L 13-31,*,0,0,,0,0,0,,0,0.0,2,1,0,0,0
40,2013,2013-10-27,8,24.184,CLE,@,KAN,L 17-23,*,0,0,,0,0,0,,0,0.0,3,0,0,0,0
41,2013,2013-11-03,9,24.191,CLE,,BAL,W 24-18,*,0,0,,0,0,0,,0,0.0,3,0,0,0,0
42,2013,2013-11-17,10,24.205,CLE,@,CIN,L 20-41,*,0,0,,0,0,0,,0,0.0,2,3,0,0,0
43,2013,2013-11-24,11,24.212,CLE,,PIT,L 11-27,*,0,0,,0,0,0,,0,0.0,3,1,0,0,0
44,2013,2013-12-01,12,24.219,CLE,,JAX,L 28-32,*,0,0,,0,0,0,,0,0.0,4,0,0,0,0
45,2013,2013-12-08,13,24.226,CLE,@,NWE,L 26-27,*,0,0,,0,0,0,,0,0.0,2,1,0,0,0
46,2013,2013-12-15,14,24.233,CLE,,CHI,L 31-38,*,0,0,,0,0,0,,0,0.0,2,1,0,0,0
47,2013,2013-12-22,15,24.240,CLE,@,NYJ,L 13-24,*,0,0,,0,0,0,,0,0.0,4,0,0,0,0
48,2013,2013-12-29,16,24.247,CLE,@,PIT,L 7-20,*,0,0,,0,0,0,,0,0.0,1,0,0,0,0
49,2014,2014-09-07,1,25.134,CLE,@,PIT,L 27-30,*,0,0,,0,0,0,,0,0.0,3,3,0,0,0
50,2014,2014-09-14,2,25.141,CLE,,NOR,W 26-24,*,0,0,,0,0,0,,0,0.0,3,1,0,0,0
51,2014,2014-09-21,3,25.148,CLE,,BAL,L 21-23,*,0,0,,0,0,0,,0,0.0,2,2,0,0,0
52,2014,2014-10-05,4,25.162,CLE,@,TEN,W 29-28,*,0,0,,0,0,0,,0,0.0,3,1,0,0,0
53,2014,2014-10-12,5,25.169,CLE,,PIT,W 31-10,*,0,0,,0,0,0,,0,0.0,3,0,1,-2,0
54,2014,2014-10-19,6,25.176,CLE,@,JAX,L 6-24,*,0,0,,0,0,0,,0,0.0,3,0,1,6,0
55,2014,2014-10-26,7,25.183,CLE,,OAK,W 23-13,*,0,0,,0,0,0,,0,0.0,5,1,0,0,0
56,2014,2014-11-02,8,25.190,CLE,,TAM,W 22-17,*,0,0,,0,0,0,,0,0.0,7,2,0,0,0
57,2014,2014-11-06,9,25.194,CLE,@,CIN,W 24-3,*,0,0,,0,0,0,,0,0.0,2,1,2,30,0
58,2014,2014-11-16,10,25.204,CLE,,HOU,L 7-23,*,0,0,,0,0,0,,0,0.0,4,0,0,0,0
59,2014,2014-11-23,11,25.211,CLE,@,ATL,W 26-24,*,0,0,,0,0,0,,0,0.0,3,0,0,0,0
60,2014,2014-11-30,12,25.218,CLE,@,BUF,L 10-26,*,0,0,,0,0,0,,0,0.0,5,0,0,0,0
61,2014,2014-12-07,13,25.225,CLE,,IND,L 24-25,*,0,0,,0,0,0,,0,0.0,4,1,0,0,0
62,2014,2014-12-14,14,25.232,CLE,,CIN,L 0-30,*,0,0,,0,0,0,,0,0.0,1,0,0,0,0
63,2014,2014-12-21,15,25.239,CLE,@,CAR,L 13-17,*,0,0,,0,0,0,,0,0.0,2,0,0,0,0
64,2014,2014-12-28,16,25.246,CLE,@,BAL,L 10-20,*,0,0,,0,0,0,,0,0.0,5,0,0,0,0
65,2015,2015-09-13,1,26.140,NYJ,,CLE,W 31-10,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
66,2015,2015-09-21,2,26.148,NYJ,@,IND,W 20-7,,0,0,,0,0,0,,0,0.0,7,1,0,0,0
67,2015,2015-09-27,3,26.154,NYJ,,PHI,L 17-24,*,0,0,,0,0,0,,0,0.0,3,1,0,0,0
68,2015,2015-10-04,4,26.161,NYJ,@,MIA,W 27-14,*,0,0,,0,0,0,,0,0.0,4,0,0,0,0
69,2015,2015-10-18,5,26.175,NYJ,,WAS,W 34-20,,0,0,,0,0,0,,0,0.0,1,1,0,0,0
70,2015,2015-10-25,6,26.182,NYJ,@,NWE,L 23-30,*,0,0,,0,0,0,,0,0.0,2,1,0,0,0
