ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1968,1968-10-13,5,22.356,DEN,@,NYJ,W 21-13,2,43,21.50,0,0,0,0,0,0,,0
2,1968,1968-10-27,7,23.004,DEN,,MIA,W 21-14,1,31,31.00,0,0,0,0,0,0,,0
3,1968,1968-11-10,9,23.018,DEN,,OAK,L 7-43,1,20,20.00,0,0,0,0,0,0,,0
4,1968,1968-11-17,10,23.025,DEN,@,HOU,L 17-38,1,24,24.00,0,0,0,0,0,0,,0
5,1968,1968-11-24,11,23.032,DEN,,BUF,W 34-32,1,67,67.00,0,1,16,0,0,0,,0
6,1968,1968-12-01,12,23.039,DEN,,SDG,L 23-47,1,9,9.00,0,0,0,0,0,0,,0
7,1969,1969-09-14,1,23.326,DEN,,BOS,W 35-7,1,0,0.00,0,1,0,0,0,0,,0
8,1969,1969-10-05,4,23.347,DEN,,KAN,L 13-26,0,0,,0,0,0,0,6,250,41.67,0
9,1969,1969-10-12,5,23.354,DEN,,OAK,L 14-24,0,0,,0,0,0,0,6,210,35.00,1
10,1969,1969-10-19,6,23.361,DEN,@,CIN,W 30-23,0,0,,0,0,0,0,3,137,45.67,0
11,1969,1969-10-26,7,24.003,DEN,@,HOU,L 21-24,0,0,,0,0,0,0,8,274,34.25,0
12,1969,1969-11-16,10,24.024,DEN,,HOU,T 20-20,0,0,,0,0,0,0,9,394,43.78,0
13,1969,1969-11-23,11,24.031,DEN,@,SDG,L 24-45,0,0,,0,0,0,0,4,151,37.75,0
14,1969,1969-11-27,12,24.035,DEN,@,KAN,L 17-31,0,0,,0,0,0,0,3,104,34.67,0
15,1969,1969-12-07,13,24.045,DEN,@,MIA,L 24-27,0,0,,0,0,0,0,6,247,41.17,0
16,1969,1969-12-14,14,24.052,DEN,,CIN,W 27-16,0,0,,0,0,0,0,2,101,50.50,0
17,1970,1970-09-21,1,24.333,NYJ,@,CLE,L 21-31,,,,,,,,,,,
18,1970,1970-09-27,2,24.339,NYJ,@,BOS,W 31-21,0,0,,0,1,8,0,0,0,,0
19,1970,1970-10-04,3,24.346,NYJ,@,BUF,L 31-34,,,,,,,,,,,
20,1970,1970-10-10,4,24.352,NYJ,,MIA,L 6-20,,,,,,,,,,,
21,1970,1970-10-18,5,24.360,NYJ,,BAL,L 22-29,0,0,,0,1,0,0,0,0,,0
22,1970,1970-10-25,6,25.002,NYJ,,BUF,L 6-10,0,0,,0,1,3,0,0,0,,0
23,1970,1970-11-01,7,25.009,NYJ,,NYG,L 10-22,,,,,,,,,,,
24,1970,1970-11-08,8,25.016,NYJ,@,PIT,L 17-21,,,,,,,,,,,
25,1970,1970-11-15,9,25.023,NYJ,@,RAM,W 31-20,,,,,,,,,,,
26,1970,1970-11-22,10,25.030,NYJ,,BOS,W 17-3,,,,,,,,,,,
27,1970,1970-11-29,11,25.037,NYJ,,MIN,W 20-10,,,,,,,,,,,
28,1970,1970-12-06,12,25.044,NYJ,,OAK,L 13-14,,,,,,,,,,,
29,1970,1970-12-13,13,25.051,NYJ,@,MIA,L 10-16,,,,,,,,,,,
30,1970,1970-12-19,14,25.057,NYJ,@,BAL,L 20-35,,,,,,,,,,,
31,1971,1971-09-19,1,25.331,NYJ,@,BAL,L 0-22,,,,,,,,,,,
32,1971,1971-09-27,2,25.339,NYJ,@,STL,L 10-17,,,,,,,,,,,
33,1971,1971-10-03,3,25.345,NYJ,@,MIA,W 14-10,,,,,,,,,,,
34,1971,1971-10-10,4,25.352,NYJ,@,NWE,L 0-20,,,,,,,,,,,
35,1971,1971-10-24,6,26.001,NYJ,,MIA,L 14-30,,,,,,,,,,,
36,1971,1971-10-31,7,26.008,NYJ,@,SDG,L 21-49,,,,,,,,,,,
37,1971,1971-11-07,8,26.015,NYJ,,KAN,W 13-10,0,0,,0,1,0,0,0,0,,0
38,1971,1971-11-14,9,26.022,NYJ,,BAL,L 13-14,,,,,,,,,,,
39,1971,1971-11-21,10,26.029,NYJ,@,BUF,W 20-7,0,0,,0,1,2,0,0,0,,0
40,1971,1971-11-28,11,26.036,NYJ,,SFO,L 21-24,,,,,,,,,,,
41,1971,1971-12-04,12,26.042,NYJ,@,DAL,L 10-52,,,,,,,,,,,
42,1972,1972-09-17,1,26.330,NYJ,@,BUF,W 41-24,,,,,,,,,,,
43,1972,1972-09-24,2,26.337,NYJ,@,BAL,W 44-34,,,,,,,,,,,
44,1972,1972-10-01,3,26.344,NYJ,@,HOU,L 20-26,,,,,,,,,,,
45,1972,1972-10-08,4,26.351,NYJ,,MIA,L 17-27,,,,,,,,,,,
46,1972,1972-10-15,5,26.358,NYJ,@,NWE,W 41-13,,,,,,,,,,,
47,1972,1972-10-22,6,26.365,NYJ,,BAL,W 24-20,,,,,,,,,,,
48,1972,1972-10-29,7,27.006,NYJ,,NWE,W 34-10,,,,,,,,,,,
49,1972,1972-11-05,8,27.013,NYJ,,WAS,L 17-35,0,0,,0,1,25,0,0,0,,0
50,1972,1972-11-12,9,27.020,NYJ,,BUF,W 41-3,,,,,,,,,,,
51,1972,1972-11-19,10,27.027,NYJ,@,MIA,L 24-28,,,,,,,,,,,
52,1972,1972-11-23,11,27.031,NYJ,@,DET,L 20-37,,,,,,,,,,,
53,1972,1972-12-03,12,27.041,NYJ,,NOR,W 18-17,,,,,,,,,,,
54,1972,1972-12-11,13,27.049,NYJ,@,OAK,L 16-24,,,,,,,,,,,
55,1972,1972-12-17,14,27.055,NYJ,,CLE,L 10-26,,,,,,,,,,,
