ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1958,1958-10-19,4,22.099,RAM,@,CHI,L 10-31,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,
2,1958,1958-10-26,5,22.106,RAM,,DET,L 24-41,,1,2,50.00,6,0,1,16.7,0,0,3.00,-19.50,1,11,11.00,0,0,0,,0,0,
3,1958,1958-11-09,7,22.120,RAM,,SFO,W 56-7,,3,8,37.50,26,1,1,46.9,0,0,3.25,0.13,3,27,9.00,0,0,0,,0,0,
4,1958,1958-11-23,9,22.134,RAM,@,BAL,L 7-34,,1,3,33.33,2,0,1,2.8,0,0,0.67,-14.33,1,7,7.00,0,0,0,,0,0,
5,1959,1959-09-26,1,23.076,RAM,,NYG,L 21-23,,1,2,50.00,49,0,0,95.8,0,0,24.50,24.50,3,10,3.33,0,0,0,,0,0,
6,1959,1959-10-04,2,23.084,RAM,@,SFO,L 0-34,*,5,10,50.00,26,0,0,56.2,0,0,2.60,2.60,2,3,1.50,0,0,0,,0,0,
7,1959,1959-10-11,3,23.091,RAM,@,CHI,W 28-21,,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00,2,0,0.00,0,0,0,,0,0,
8,1959,1959-10-18,4,23.098,RAM,@,GNB,W 45-6,,2,2,100.00,7,0,0,81.2,0,0,3.50,3.50,1,5,5.00,0,0,0,,0,0,
9,1959,1959-11-01,6,23.112,RAM,,CHI,L 21-26,,4,15,26.67,68,1,1,40.4,0,0,4.53,2.87,1,-4,-4.00,0,0,0,,0,0,
10,1959,1959-11-08,7,23.119,RAM,,SFO,L 16-24,,15,24,62.50,234,0,0,94.8,0,0,9.75,9.75,3,21,7.00,1,0,0,,0,1,
