ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,1996,1996-09-01,1,22.324,PHI,@,WAS,W 17-14,,,,,,,0.0%,,,,,,,,,
2,1996,1996-09-09,2,22.332,PHI,@,GNB,L 13-39,,,,,,,0.0%,,,,,,,,,
3,1996,1996-09-15,3,22.338,PHI,,DET,W 24-17,,,,,,,0.0%,,,,,,,,,
4,1996,1996-09-22,4,22.345,PHI,@,ATL,W 33-18,,0,0,0,,0,0.0%,,0,0,0.0,,,1,30,0
5,1996,1996-09-30,5,22.353,PHI,,DAL,L 19-23,,0,0,0,,0,0.0%,,0,0,1.0,,,0,0,0
6,1996,1996-10-13,6,23.000,PHI,@,NYG,W 19-10,,,,,,,0.0%,,,,,,,,,
7,1996,1996-10-20,7,23.007,PHI,,MIA,W 35-28,,0,0,0,,0,0.0%,,0,0,0.0,,,1,11,0
8,1996,1996-10-27,8,23.014,PHI,,CAR,W 20-9,,,,,,,0.0%,,,,,,,,,
9,1996,1996-11-03,9,23.021,PHI,@,DAL,W 31-21,,,,,,,0.0%,,,,,,,,,
10,1996,1996-11-10,10,23.028,PHI,,BUF,L 17-24,,0,0,0,,0,0.0%,,0,0,0.0,,,1,0,0
11,1996,1996-11-17,11,23.035,PHI,,WAS,L 21-26,,,,,,,0.0%,,,,,,,,,
12,1996,1996-11-24,12,23.042,PHI,@,ARI,L 30-36,,,,,,,0.0%,,,,,,,,,
13,1996,1996-12-01,13,23.049,PHI,,NYG,W 24-0,,,,,,,0.0%,,,,,,,,,
14,1996,1996-12-05,14,23.053,PHI,@,IND,L 10-37,,,,,,,0.0%,,,,,,,,,
15,1997,1997-08-31,1,23.322,PHI,@,NYG,L 17-31,,,,,,,0.0%,,,,,,,,,
16,1997,1997-09-07,2,23.329,PHI,,GNB,W 10-9,,,,,,,0.0%,,,,,,,,,
17,1997,1997-09-15,3,23.337,PHI,@,DAL,L 20-21,,,,,,,0.0%,,,,,,,,,
18,1997,1997-09-28,4,23.350,PHI,@,MIN,L 19-28,,,,,,,0.0%,,,,,,,,,
19,1997,1997-10-05,5,23.357,PHI,,WAS,W 24-10,,,,,,,0.0%,,,,,,,,,
20,1997,1997-10-12,6,23.364,PHI,@,JAX,L 21-38,,,,,,,0.0%,,,,,,,,,
21,1997,1997-10-26,8,24.013,PHI,,DAL,W 13-12,,,,,,,0.0%,,,,,,,,,
22,1997,1997-11-02,9,24.020,PHI,@,ARI,L 21-31,,0,0,0,,0,0.0%,,0,0,0.0,,,1,0,0
23,1997,1997-11-10,10,24.028,PHI,,SFO,L 12-24,,,,,,,0.0%,,,,,,,,,
24,1997,1997-11-16,11,24.034,GNB,@,IND,L 38-41,,,,,,,0.0%,,,,,,,,,
25,1997,1997-11-23,12,24.041,PHI,,PIT,W 23-20,,,,,,,0.0%,,,,,,,,,
26,1997,1997-11-30,13,24.048,PHI,,CIN,W 44-42,,,,,,,0.0%,,,,,,,,,
27,1997,1997-12-07,14,24.055,PHI,,NYG,L 21-31,,0,0,0,,0,0.0%,,1,6,0.0,,,1,64,1
28,1997,1997-12-14,15,24.062,PHI,@,ATL,L 17-20,,,,,,,0.0%,,,,,,,,,
29,1997,1997-12-21,16,24.069,PHI,@,WAS,L 32-35,,0,0,0,,0,0.0%,,0,0,0.0,,,1,12,0
30,1998,1998-09-06,1,24.328,PHI,,SEA,L 0-38,,,,,,,0.0%,,,,,,,,,
31,1998,1998-09-13,2,24.335,PHI,@,ATL,L 12-17,,,,,,,0.0%,,,,,,,,,
32,1998,1998-09-20,3,24.342,PHI,@,ARI,L 3-17,,,,,,,0.0%,,,,,,,,,
33,1998,1998-09-27,4,24.349,PHI,,KAN,L 21-24,,,,,,,0.0%,,,,,,,,,
34,1998,1998-10-04,5,24.356,PHI,@,DEN,L 16-41,,,,,,,0.0%,,,,,,,,,
35,1998,1998-10-11,6,24.363,PHI,,WAS,W 17-12,,0,0,0,,0,0.0%,,0,0,0.0,,,1,9,0
36,1998,1998-11-08,9,25.026,PHI,,DET,W 10-9,,0,0,0,,0,0.0%,,0,0,1.0,,,0,0,0
37,1998,1998-11-15,10,25.033,PHI,@,WAS,L 3-28,,,,,,,0.0%,,,,,,,,,
38,1998,1998-11-22,11,25.040,PHI,@,NYG,L 0-20,,0,0,0,,0,0.0%,,0,0,0.0,,,1,30,0
39,1998,1998-11-29,12,25.047,PHI,@,GNB,L 16-24,,,,,,,0.0%,,,,,,,,,
40,1998,1998-12-03,13,25.051,PHI,,STL,W 17-14,,,,,,,0.0%,,,,,,,,,
41,1998,1998-12-13,14,25.061,PHI,,ARI,L 17-20,,,,,,,0.0%,,,,,,,,,
42,1998,1998-12-20,15,25.068,PHI,@,DAL,L 9-13,,,,,,,0.0%,,,,,,,,,
43,1998,1998-12-27,16,25.075,PHI,,NYG,L 10-20,,,,,,,0.0%,,,,,,,,,
44,1999,1999-09-12,1,25.334,PHI,,ARI,L 24-25,*,0,0,0,,0,0.0%,,0,0,0.0,,,1,23,0
45,1999,1999-09-19,2,25.341,PHI,,TAM,L 5-19,*,0,0,0,,0,0.0%,,0,0,0.0,,,1,37,0
46,1999,1999-09-26,3,25.348,PHI,@,BUF,L 0-26,*,0,0,0,,0,0.0%,,0,0,0.0,,,1,0,0
47,1999,1999-10-03,4,25.355,PHI,@,NYG,L 15-16,*,0,,,,,0.0%,,,,,,,,,
48,1999,1999-10-10,5,25.362,PHI,,DAL,W 13-10,*,0,,,,,0.0%,,,,,,,,,
49,1999,1999-10-17,6,26.004,PHI,@,CHI,W 20-16,*,0,,,,,0.0%,,,,,,,,,
50,1999,1999-10-24,7,26.011,PHI,@,MIA,L 13-16,*,0,0,0,,0,0.0%,,1,6,0.0,,,1,67,1
51,1999,1999-10-31,8,26.018,PHI,,NYG,L 17-23,*,0,0,0,,0,0.0%,,0,0,0.5,,,0,0,0
52,1999,1999-11-07,9,26.025,PHI,@,CAR,L 7-33,*,0,,,,,0.0%,,,,,,,,,
53,1999,1999-11-14,10,26.032,PHI,,WAS,W 35-28,*,0,,,,,0.0%,,,,,,,,,
54,1999,1999-11-21,11,26.039,PHI,,IND,L 17-44,*,0,,,,,0.0%,,,,,,,,,
55,1999,1999-11-28,12,26.046,PHI,@,WAS,L 17-20,*,0,,,,,0.0%,,,,,,,,,
56,1999,1999-12-05,13,26.053,PHI,@,ARI,L 17-21,*,0,,,,,0.0%,,,,,,,,,
57,1999,1999-12-12,14,26.060,PHI,@,DAL,L 10-20,*,0,,,,,0.0%,,,,,,,,,
58,1999,1999-12-19,15,26.067,PHI,,NWE,W 24-9,*,0,0,0,,0,0.0%,,0,0,1.0,,,0,0,0
59,1999,2000-01-02,16,26.081,PHI,,STL,W 38-31,*,0,,,,,0.0%,,,,,,,,,
60,2000,2000-09-03,1,26.326,PHI,@,DAL,W 41-14,*,0,,,,,0.0%,,,,,,,,,
61,2000,2000-09-10,2,26.333,PHI,,NYG,L 18-33,*,0,,,,,0.0%,,,,,,,,,
62,2000,2000-09-17,3,26.340,PHI,@,GNB,L 3-6,,0,0,0,,0,0.0%,,0,0,0.0,,,1,0,0
63,2000,2000-10-15,7,27.002,PHI,@,ARI,W 33-14,*,0,,,,,0.0%,,,,,,,,,
64,2000,2000-10-22,8,27.009,PHI,,CHI,W 13-9,*,0,0,0,,0,0.0%,,0,0,0.0,,,1,30,0
65,2000,2000-10-29,9,27.016,PHI,@,NYG,L 7-24,*,0,,,,,0.0%,,,,,,,,,
66,2000,2000-11-05,10,27.023,PHI,,DAL,W 16-13,*,0,0,0,,0,0.0%,,0,0,0.0,,,1,0,0
67,2000,2000-11-12,11,27.030,PHI,@,PIT,W 26-23,,0,,,,,0.0%,,,,,,,,,
