ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2016,2016-09-12,1,22.027,LAR,@,SFO,L 0-28,,0,0,0,,0,0.0%,,0,0,,0
2,2016,2016-09-18,2,22.033,LAR,,SEA,W 9-3,,0,0,0,,0,0.0%,,0,0,,0
3,2016,2016-09-25,3,22.040,LAR,@,TAM,W 37-32,,1,0,0,,0,0.0%,0.00,0,0,,0
4,2016,2016-10-02,4,22.047,LAR,@,ARI,W 17-13,,0,0,0,,0,0.0%,,0,0,,0
5,2016,2016-10-09,5,22.054,LAR,,BUF,L 19-30,,0,0,0,,0,0.0%,,3,62,20.67,0
6,2016,2016-10-16,6,22.061,LAR,@,DET,L 28-31,,0,0,0,,0,0.0%,,0,0,,0
7,2016,2016-10-23,7,22.068,LAR,,NYG,L 10-17,,1,0,0,,0,0.0%,0.00,0,0,,0
8,2016,2016-11-06,8,22.082,LAR,,CAR,L 10-13,,0,0,0,,0,0.0%,,0,0,,0
9,2016,2016-11-13,9,22.089,LAR,@,NYJ,W 9-6,,0,0,0,,0,0.0%,,0,0,,0
10,2016,2016-11-20,10,22.096,LAR,,MIA,L 10-14,,0,0,0,,0,0.0%,,0,0,,0
11,2016,2016-11-27,11,22.103,LAR,@,NOR,L 21-49,,0,0,0,,0,0.0%,,0,0,,0
12,2016,2016-12-04,12,22.110,LAR,@,NWE,L 10-26,,1,0,0,,0,0.0%,0.00,0,0,,0
13,2016,2016-12-11,13,22.117,LAR,,ATL,L 14-42,,1,1,16,16.00,0,100.0%,16.00,6,118,19.67,0
14,2016,2016-12-15,14,22.121,LAR,@,SEA,L 3-24,,4,1,6,6.00,0,25.0%,1.50,0,0,,0
15,2016,2017-01-01,16,22.138,LAR,,ARI,L 6-44,,1,1,15,15.00,0,100.0%,15.00,0,0,,0
16,2017,2017-10-15,6,23.060,LAR,@,JAX,W 27-17,,0,0,0,,0,0.0%,,0,0,,0
17,2017,2017-11-19,10,23.095,LAR,@,MIN,L 7-24,,1,1,12,12.00,0,100.0%,12.00,0,0,,0
18,2017,2017-11-26,11,23.102,LAR,,NOR,W 26-20,,0,0,0,,0,0.0%,,0,0,,0
19,2017,2017-12-03,12,23.109,LAR,@,ARI,W 32-16,,0,0,0,,0,0.0%,,1,15,15.00,0
20,2017,2017-12-10,13,23.116,LAR,,PHI,L 35-43,,1,1,6,6.00,0,100.0%,6.00,0,0,,0
21,2017,2017-12-17,14,23.123,LAR,@,SEA,W 42-7,,0,0,0,,0,0.0%,,0,0,,0
22,2017,2017-12-24,15,23.130,LAR,@,TEN,W 27-23,,1,0,0,,0,0.0%,0.00,0,0,,0
23,2017,2017-12-31,16,23.137,LAR,,SFO,L 13-34,*,4,3,75,25.00,0,75.0%,18.75,0,0,,0
24,2018,2018-09-10,1,24.025,LAR,@,OAK,W 33-13,,0,0,0,,0,0.0%,,0,0,,0
