ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-09-12,1,22.022,DET,@,CHI,W 20-16,*,15,36,2.40,0,2,1,34,34.00,0,50.0%,17.00,0,0,0.0,,
2,2004,2004-09-19,2,22.029,DET,,HOU,W 28-16,*,12,57,4.75,0,1,1,13,13.00,0,100.0%,13.00,0,0,0.0,,
3,2004,2004-09-26,3,22.036,DET,,PHI,L 13-30,*,4,8,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,,
4,2004,2004-10-17,5,22.057,DET,,GNB,L 10-38,,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,0.0,,
5,2004,2004-10-24,6,22.064,DET,@,NYG,W 28-13,*,13,65,5.00,1,1,0,0,,0,0.0%,0.00,1,6,0.0,,
6,2004,2004-10-31,7,22.071,DET,@,DAL,L 21-31,*,11,36,3.27,0,5,4,11,2.75,1,80.0%,2.20,1,6,0.0,,
7,2004,2004-11-07,8,22.078,DET,,WAS,L 10-17,*,12,20,1.67,0,1,1,3,3.00,0,100.0%,3.00,0,0,0.0,,
8,2004,2004-11-14,9,22.085,DET,@,JAX,L 17-23,*,19,81,4.26,0,7,2,7,3.50,0,28.6%,1.00,0,0,0.0,,
9,2004,2004-11-21,10,22.092,DET,@,MIN,L 19-22,*,19,100,5.26,0,3,3,0,0.00,0,100.0%,0.00,0,0,0.0,,
10,2004,2004-11-25,11,22.096,DET,,IND,L 9-41,*,12,99,8.25,0,4,3,3,1.00,0,75.0%,0.75,0,0,0.0,,
11,2004,2004-12-05,12,22.106,DET,,ARI,W 26-12,*,26,196,7.54,1,5,4,22,5.50,0,80.0%,4.40,1,6,0.0,,
12,2004,2004-12-12,13,22.113,DET,@,GNB,L 13-16,*,33,156,4.73,1,0,0,0,,0,0.0%,,1,6,0.0,,
