ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1991,1991-09-01,1,22.071,DEN,,CIN,W 45-14,,0,0,,0,,,,,,,0,0,,0,,
2,1991,1991-09-08,2,22.078,DEN,@,RAI,L 13-16,,0,0,,0,,,0,0,,0,2,11,5.50,0,0,0
3,1991,1991-10-06,6,22.106,DEN,@,HOU,L 14-42,,3,32,10.67,0,,,0,0,,0,0,0,,0,0,0
4,1991,1991-10-20,7,22.120,DEN,,KAN,W 19-16,,3,69,23.00,1,,,0,0,,0,0,0,,0,1,6
5,1991,1991-10-27,8,22.127,DEN,@,NWE,W 9-6,,3,52,17.33,0,,,0,0,,0,1,24,24.00,0,0,0
6,1991,1991-11-03,9,22.134,DEN,,PIT,W 20-13,,1,11,11.00,0,,,0,0,,0,1,30,30.00,0,0,0
7,1991,1991-11-10,10,22.141,DEN,,RAI,L 16-17,,1,38,38.00,0,,,0,0,,0,1,21,21.00,0,0,0
8,1991,1991-11-17,11,22.148,DEN,@,KAN,W 24-20,,1,14,14.00,0,,,0,0,,0,0,0,,0,0,0
9,1991,1991-11-24,12,22.155,DEN,@,SEA,L 10-13,,3,34,11.33,0,,,0,0,,0,1,7,7.00,0,0,0
10,1991,1991-12-01,13,22.162,DEN,,NWE,W 20-3,,3,37,12.33,0,,,0,0,,0,1,27,27.00,0,0,0
11,1991,1991-12-08,14,22.169,DEN,@,CLE,W 17-7,,1,7,7.00,0,,,0,0,,0,0,0,,0,0,0
12,1991,1991-12-15,15,22.176,DEN,,PHO,W 24-19,,1,10,10.00,0,,,0,0,,0,0,0,,0,0,0
13,1991,1991-12-22,16,22.183,DEN,@,SDG,W 17-14,,1,13,13.00,0,,,0,0,,0,0,0,,0,0,0
14,1992,1992-09-06,1,23.076,DEN,,RAI,W 17-13,4,2,38,19.00,0,50.0%,9.50,0,0,,0,0,0,,0,0,0
15,1992,1992-09-13,2,23.083,DEN,,SDG,W 21-13,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0,,0,0,0
16,1992,1992-09-20,3,23.090,DEN,@,PHI,L 0-30,4,1,5,5.00,0,25.0%,1.25,0,0,,0,0,0,,0,0,0
17,1992,1992-09-27,4,23.097,DEN,@,CLE,W 12-0,3,1,15,15.00,0,33.3%,5.00,0,0,,0,0,0,,0,0,0
18,1992,1992-10-04,5,23.104,DEN,,KAN,W 20-19,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0
