ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,def_int,def_int_yds,def_int_td
1,1975,1975-09-21,1,22.126,CIN,,CLE,W 24-17,,,,,,,,,,,,,,,
2,1975,1975-09-28,2,22.133,CIN,@,NOR,W 21-0,,0,0,,0,0,0,,0,0,,,1,26,0
3,1975,1975-10-05,3,22.140,CIN,@,HOU,W 21-19,,,,,,,,,,,,,,,
4,1975,1975-10-12,4,22.147,CIN,,NWE,W 27-10,,,,,,,,,,,,,,,
5,1975,1975-10-19,5,22.154,CIN,,OAK,W 14-10,,,,,,,,,,,,,,,
6,1975,1975-10-26,6,22.161,CIN,@,ATL,W 21-14,,,,,,,,,,,,,,,
7,1975,1975-11-02,7,22.168,CIN,,PIT,L 24-30,,,,,,,,,,,,,,,
8,1975,1975-11-09,8,22.175,CIN,@,DEN,W 17-16,,,,,,,,,,,,,,,
9,1975,1975-11-17,9,22.183,CIN,,BUF,W 33-24,,,,,,,,,,,,,,,
10,1975,1975-11-23,10,22.189,CIN,@,CLE,L 23-35,,,,,,,,,,,,,,,
11,1975,1975-11-30,11,22.196,CIN,,HOU,W 23-19,,,,,,,,,,,,,,,
12,1975,1975-12-07,12,22.203,CIN,@,PHI,W 31-0,,,,,,,,,,,,,,,
13,1975,1975-12-13,13,22.209,CIN,@,PIT,L 14-35,,,,,,,,,,,,,,,
14,1975,1975-12-21,14,22.217,CIN,,SDG,W 47-17,,,,,,,,,,,,,,,
15,1976,1976-10-03,4,23.138,TAM,@,BAL,L 17-42,,,,,,,,,,,,,,,
16,1976,1976-10-10,5,23.145,TAM,@,CIN,L 0-21,,,,,,,,,,,,,,,
17,1976,1976-10-17,6,23.152,TAM,,SEA,L 10-13,,,,,,,,,,,,,,,
18,1976,1976-10-24,7,23.159,TAM,,MIA,L 20-23,,,,,,,,,,,,,,,
19,1976,1976-10-31,8,23.166,TAM,,KAN,L 19-28,,,,,,,,,,,,,,,
20,1976,1976-11-07,9,23.173,TAM,@,DEN,L 13-48,,,,,,,,,,,,,,,
21,1976,1976-11-14,10,23.180,TAM,@,NYJ,L 0-34,,,,,,,,,,,,,,,
22,1976,1976-11-21,11,23.187,TAM,,CLE,L 7-24,,1,1,100.00,-7,0,0,79.2,0,0,-7.00,-7.00,0,0,0
23,1976,1976-11-28,12,23.194,TAM,@,OAK,L 16-49,,,,,,,,,,,,,,,
24,1976,1976-12-05,13,23.201,TAM,@,PIT,L 0-42,,,,,,,,,,,,,,,
25,1976,1976-12-12,14,23.208,TAM,,NWE,L 14-31,,,,,,,,,,,,,,,
26,1977,1977-09-25,2,24.130,KAN,,SDG,L 7-23,,,,,,,,,,,,,,,
27,1977,1977-10-03,3,24.138,KAN,,OAK,L 28-37,,,,,,,,,,,,,,,
28,1977,1977-10-09,4,24.144,KAN,@,DEN,L 7-23,,,,,,,,,,,,,,,
29,1977,1977-10-16,5,24.151,KAN,,BAL,L 6-17,,,,,,,,,,,,,,,
30,1977,1977-10-23,6,24.158,KAN,@,SDG,W 21-16,,,,,,,,,,,,,,,
31,1977,1977-10-30,7,24.165,KAN,@,CLE,L 7-44,,,,,,,,,,,,,,,
32,1977,1977-11-06,8,24.172,KAN,,GNB,W 20-10,,,,,,,,,,,,,,,
33,1977,1977-11-13,9,24.179,KAN,@,CHI,L 27-28,,,,,,,,,,,,,,,
34,1977,1977-11-20,10,24.186,KAN,,DEN,L 7-14,,,,,,,,,,,,,,,
35,1977,1977-11-27,11,24.193,KAN,@,HOU,L 20-34,,,,,,,,,,,,,,,
36,1977,1977-12-04,12,24.200,KAN,,CIN,L 7-27,,,,,,,,,,,,,,,
37,1977,1977-12-11,13,24.207,KAN,,SEA,L 31-34,,,,,,,,,,,,,,,
38,1977,1977-12-18,14,24.214,KAN,@,OAK,L 20-21,,,,,,,,,,,,,,,
