ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2016,2016-09-18,2,23.195,SDG,,JAX,W 38-14,,4,13,3.25,0,1,0,0,,0,0.0%,0.00
2,2016,2016-09-25,3,23.202,SDG,@,IND,L 22-26,,0,0,,0,0,0,0,,0,0.0%,
3,2016,2016-10-02,4,23.209,SDG,,NOR,L 34-35,,0,0,,0,0,0,0,,0,0.0%,
4,2016,2016-10-13,6,23.220,SDG,,DEN,W 21-13,,2,5,2.50,0,0,0,0,,0,0.0%,
5,2016,2016-10-23,7,23.230,SDG,@,ATL,W 33-30,,2,13,6.50,0,0,0,0,,0,0.0%,
6,2016,2016-10-30,8,23.237,SDG,@,DEN,L 19-27,,3,12,4.00,0,0,0,0,,0,0.0%,
7,2016,2016-11-06,9,23.244,SDG,,TEN,W 43-35,,4,15,3.75,0,2,1,4,4.00,0,50.0%,2.00
8,2016,2016-11-13,10,23.251,SDG,,MIA,L 24-31,,0,0,,0,0,0,0,,0,0.0%,
9,2016,2016-11-27,11,23.265,SDG,@,HOU,W 21-13,,1,-3,-3.00,0,0,0,0,,0,0.0%,
10,2016,2016-12-04,12,23.272,SDG,,TAM,L 21-28,,4,15,3.75,0,0,0,0,,0,0.0%,
11,2016,2016-12-11,13,23.279,SDG,@,CAR,L 16-28,,16,55,3.44,0,6,6,23,3.83,0,100.0%,3.83
12,2016,2016-12-18,14,23.286,SDG,,OAK,L 16-19,*,15,39,2.60,0,3,2,14,7.00,0,66.7%,4.67
13,2016,2016-12-24,15,23.292,SDG,@,CLE,L 17-20,*,9,28,3.11,0,4,4,29,7.25,0,100.0%,7.25
