ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1969,1969-09-21,1,27.228,DAL,,STL,W 24-3,*,7,15,46.67,220,1,0,115.3,0,0,14.67,16.00,4,22,5.50,1,0,0,,0,1,6
2,1969,1969-10-05,3,27.242,DAL,@,PHI,W 38-7,,5,8,62.50,60,0,1,45.8,0,0,7.50,1.88,2,22,11.00,0,0,0,,0,0,0
3,1969,1969-10-12,4,27.249,DAL,@,ATL,W 24-17,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,5,1.67,0,0,0,,0,0,0
4,1969,1969-10-19,5,27.256,DAL,,PHI,W 49-14,,3,8,37.50,45,0,1,17.2,0,0,5.63,0.00,5,4,0.80,0,0,0,,0,0,0
5,1969,1969-11-02,7,27.270,DAL,@,CLE,L 10-42,,6,11,54.55,74,0,0,75.6,0,0,6.73,6.73,1,7,7.00,0,0,0,,0,0,0
6,1969,1969-12-13,13,27.311,DAL,,BAL,W 27-10,,2,4,50.00,22,0,0,66.7,0,0,5.50,5.50,0,0,,0,0,0,,0,0,0
7,1970,1970-09-20,1,28.227,DAL,@,PHI,W 17-7,*,11,15,73.33,115,1,1,89.6,0,0,7.67,6.00,6,51,8.50,0,0,0,,0,0,0
8,1970,1970-09-27,2,28.234,DAL,,NYG,W 28-10,*,13,23,56.52,133,1,1,69.7,0,0,5.78,4.70,7,54,7.71,0,0,0,,0,0,0
9,1970,1970-10-04,3,28.241,DAL,@,STL,L 7-20,*,2,6,33.33,16,0,2,2.8,0,0,2.67,-12.33,3,23,7.67,0,0,0,,0,0,0
10,1970,1970-10-18,5,28.255,DAL,@,MIN,L 13-54,,9,16,56.25,109,0,3,37.8,0,0,6.81,-1.63,3,17,5.67,0,0,0,,0,0,0
11,1970,1970-11-16,9,28.284,DAL,,STL,L 0-38,,2,8,25.00,61,0,1,19.3,0,0,7.63,2.00,2,33,16.50,0,0,0,,0,0,0
12,1970,1970-11-22,10,28.290,DAL,@,WAS,W 45-21,,2,5,40.00,26,0,0,57.1,0,0,5.20,5.20,1,9,9.00,0,0,0,,0,0,0
13,1970,1970-12-06,12,28.304,DAL,,WAS,W 34-0,,3,4,75.00,66,0,0,116.7,0,0,16.50,16.50,1,1,1.00,0,0,0,,0,0,0
