ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1958,1958-10-12,3,22.088,WAS,,NYG,L 14-21,2,71,35.50,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
2,1958,1958-10-19,4,22.095,WAS,,GNB,W 37-21,2,62,31.00,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,
3,1958,1958-11-02,6,22.109,WAS,@,PIT,L 16-24,4,54,13.50,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
4,1958,1958-11-09,7,22.116,WAS,,CRD,W 45-31,2,30,15.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
5,1958,1958-11-16,8,22.123,WAS,,CLE,L 10-20,2,32,16.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
6,1958,1958-11-30,10,22.137,WAS,@,CLE,L 14-21,3,42,14.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
7,1958,1958-12-14,12,22.151,WAS,,PHI,W 20-0,3,105,35.00,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,
8,1959,1959-09-27,1,23.073,WAS,@,CRD,L 21-49,6,123,20.50,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
9,1959,1959-10-04,2,23.080,WAS,@,PIT,W 23-17,3,106,35.33,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,
10,1959,1959-10-11,3,23.087,WAS,,CRD,W 23-14,3,77,25.67,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,
11,1959,1959-10-18,4,23.094,WAS,,PIT,L 6-27,1,7,7.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
12,1959,1959-10-25,5,23.101,WAS,@,CLE,L 7-34,4,85,21.25,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,
13,1959,1959-11-01,6,23.108,WAS,@,PHI,L 23-30,2,58,29.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
14,1959,1959-11-08,7,23.115,WAS,,BAL,W 27-24,6,88,14.67,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,
15,1959,1959-11-15,8,23.122,WAS,,CLE,L 17-31,1,35,35.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
16,1959,1959-11-29,10,23.136,WAS,@,NYG,L 14-45,1,15,15.00,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,
17,1959,1959-12-06,11,23.143,WAS,,PHI,L 14-34,5,108,21.60,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,
18,1959,1959-12-13,12,23.150,WAS,,NYG,L 10-24,3,32,10.67,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
19,1960,1960-09-25,1,24.071,WAS,@,BAL,L 0-20,2,35,17.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
20,1960,1960-10-09,2,24.085,WAS,,DAL,W 26-14,2,42,21.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
21,1960,1960-10-16,3,24.092,WAS,@,NYG,T 24-24,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
22,1960,1960-10-23,4,24.099,WAS,,PIT,T 27-27,6,92,15.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
23,1960,1960-10-30,5,24.106,WAS,,CLE,L 10-31,2,33,16.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
24,1960,1960-11-06,6,24.113,WAS,@,STL,L 7-44,3,46,15.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
25,1960,1960-11-13,7,24.120,WAS,@,PHI,L 13-19,5,55,11.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
26,1960,1960-11-20,8,24.127,WAS,,STL,L 14-26,2,21,10.50,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
27,1960,1960-11-27,9,24.134,WAS,@,PIT,L 10-22,4,78,19.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
28,1960,1960-12-04,10,24.141,WAS,@,CLE,L 16-27,6,45,7.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
29,1960,1960-12-18,12,24.155,WAS,,PHI,L 28-38,5,35,7.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
30,1961,1961-09-17,1,25.063,WAS,@,SFO,L 3-35,1,17,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
31,1961,1961-09-24,2,25.070,WAS,@,PHI,L 7-14,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
32,1961,1961-10-01,3,25.077,WAS,,NYG,L 21-24,4,37,9.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
33,1961,1961-10-08,4,25.084,WAS,@,CLE,L 7-31,2,59,29.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
34,1961,1961-10-15,5,25.091,WAS,@,PIT,L 0-20,2,24,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
35,1961,1961-10-22,6,25.098,WAS,,STL,L 0-24,1,-10,-10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
36,1961,1961-10-29,7,25.105,WAS,,PHI,L 24-27,2,28,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
37,1961,1961-11-05,8,25.112,WAS,@,NYG,L 0-53,2,32,16.00,0,1,-8,-8.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
38,1961,1961-11-12,9,25.119,WAS,,CLE,L 6-17,5,65,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
39,1961,1961-11-19,10,25.126,WAS,@,DAL,T 28-28,10,168,16.80,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
40,1961,1961-11-26,11,25.133,WAS,,BAL,L 6-27,0,0,,0,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
41,1961,1961-12-03,12,25.140,WAS,@,STL,L 24-38,4,67,16.75,0,1,13,13.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
42,1961,1961-12-10,13,25.147,WAS,,PIT,L 14-30,4,66,16.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
43,1961,1961-12-17,14,25.154,WAS,,DAL,W 34-24,2,74,37.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
44,1962,1962-09-16,1,26.062,WAS,@,DAL,T 35-35,1,19,19.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
45,1962,1962-09-23,2,26.069,WAS,@,CLE,W 17-16,1,21,21.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
46,1962,1962-09-30,3,26.076,WAS,,STL,W 24-14,4,51,12.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
47,1962,1962-10-07,4,26.083,WAS,,RAM,W 20-14,2,25,12.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
48,1962,1962-10-21,6,26.097,WAS,@,PHI,W 27-21,1,18,18.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
49,1962,1962-10-28,7,26.104,WAS,@,NYG,L 34-49,1,17,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
50,1962,1962-11-11,9,26.118,WAS,,CLE,W 17-9,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
51,1962,1962-11-18,10,26.125,WAS,@,PIT,L 21-23,4,97,24.25,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,3,105,35.00,0
