ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2011,2011-09-11,1,22.248,PHI,@,STL,W 31-13,,0,0,,0,0,0,,0,0,,,3,109,36.33,0
2,2011,2011-09-18,2,22.255,PHI,@,ATL,L 31-35,,0,0,,0,0,0,,0,0,,,4,179,44.75,0
3,2011,2011-09-25,3,22.262,PHI,,NYG,L 16-29,,0,0,,0,0,0,,0,0,,,2,90,45.00,0
4,2011,2011-10-02,4,22.269,PHI,,SFO,L 23-24,,0,0,,0,0,0,,0,0,,,2,87,43.50,0
5,2011,2011-10-09,5,22.276,PHI,@,BUF,L 24-31,,0,0,,0,0,0,,0,0,,,2,72,36.00,0
6,2011,2011-10-16,6,22.283,PHI,@,WAS,W 20-13,,0,0,,0,0,0,,0,0,,,3,131,43.67,0
7,2011,2011-10-30,7,22.297,PHI,,DAL,W 34-7,,0,0,,0,0,0,,0,0,,,2,92,46.00,0
8,2011,2011-11-07,8,22.305,PHI,,CHI,L 24-30,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,71,35.50,0
9,2011,2011-11-13,9,22.311,PHI,,ARI,L 17-21,,0,0,,0,0,0,,0,0,,,8,342,42.75,0
10,2011,2011-11-20,10,22.318,PHI,@,NYG,W 17-10,,0,0,,0,0,0,,0,0,,,6,261,43.50,0
11,2011,2011-11-27,11,22.325,PHI,,NWE,L 20-38,,0,0,,0,0,0,,0,0,,,5,199,39.80,0
12,2011,2011-12-01,12,22.329,PHI,@,SEA,L 14-31,,0,0,,0,0,0,,0,0,,,4,185,46.25,0
13,2011,2011-12-11,13,22.339,PHI,@,MIA,W 26-10,,0,0,,0,0,0,,0,0,,,9,419,46.56,1
14,2011,2011-12-18,14,22.346,PHI,,NYJ,W 45-19,,0,0,,0,0,0,,0,0,,,4,136,34.00,0
15,2011,2011-12-24,15,22.352,PHI,@,DAL,W 20-7,,0,0,,0,0,0,,0,0,,,6,256,42.67,0
16,2011,2012-01-01,16,22.360,PHI,,WAS,W 34-10,,0,0,,0,0,0,,0,0,,,4,201,50.25,0
17,2012,2012-09-09,1,23.247,PHI,@,CLE,W 17-16,,0,0,,0,0,0,,0,0,,,6,330,55.00,0
18,2012,2012-09-16,2,23.254,PHI,,BAL,W 24-23,,0,0,,0,0,0,,0,0,,,5,196,39.20,0
19,2012,2012-09-23,3,23.261,PHI,@,ARI,L 6-27,,0,0,,0,0,0,,0,0,,,5,250,50.00,0
