ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-11,1,22.093,DAL,@,SDG,W 28-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,3,58,19.33,0,0,0,0.0,,
2,2005,2005-10-02,4,22.114,DAL,@,OAK,L 13-19,,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
3,2005,2005-10-16,6,22.128,DAL,,NYG,W 16-13,,11,30,2.73,0,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
4,2005,2005-10-23,7,22.135,DAL,@,SEA,L 10-13,,22,95,4.32,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,3,,,0,0,,0,0,0,0.0,,
5,2005,2005-10-30,8,22.142,DAL,,ARI,W 34-13,*,27,127,4.70,2,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,,,,0,0,,0,2,12,0.0,,
6,2005,2005-11-14,9,22.157,DAL,@,PHI,W 21-20,*,13,46,3.54,1,4,3,0,0.00,0,75.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
7,2005,2005-11-20,10,22.163,DAL,,DET,W 20-7,,15,53,3.53,2,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,2,12,0.0,,
8,2005,2005-11-24,11,22.167,DAL,,DEN,L 21-24,,9,28,3.11,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
9,2005,2005-12-04,12,22.177,DAL,@,NYG,L 10-17,,2,8,4.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
10,2005,2005-12-11,13,22.184,DAL,,KAN,W 31-28,,15,82,5.47,0,2,2,32,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
11,2005,2005-12-18,14,22.191,DAL,@,WAS,L 7-35,,10,30,3.00,0,4,4,26,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
12,2005,2005-12-24,15,22.197,DAL,@,CAR,W 24-20,,6,20,3.33,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
13,2005,2006-01-01,16,22.205,DAL,,STL,L 10-20,,6,18,3.00,0,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
14,2006,2006-09-10,1,23.092,DAL,@,JAX,L 17-24,,3,13,4.33,0,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
